Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2019,3366,17.0,Pont du Gard,Gap,Matteo Trentin  (Mitchelton - Scott),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,18.0,Embrun,Valloire,Nairo Quintana  (Movistar Team),Julian Alaphilippe,Peter Sagan,Romain Bardet,Egan Bernal Gomez,
2019,3366,19.0,Saint-Jean-de-Maurienne,Tignes,,Egan Bernal Gomez,Peter Sagan,Romain Bardet,David Gaudu,
2019,3366,20.0,Albertville,Val Thorens,Vincenzo Nibali  (Bahrain - Merida),Egan Bernal Gomez,Peter Sagan,Romain Bardet,David Gaudu,
2019,3366,21.0,Rambouillet,Paris Champs-Élysées,Caleb Ewan  (Lotto Soudal),Egan Bernal Gomez,Peter Sagan,Romain Bardet,Egan Bernal Gomez,
2018,3349,1.0,Noirmoutier-en-l'Île,Fontenay-le-Comte,Fernando Gaviria Rendon  (Quick - Step Floors),Fernando Gaviria Rendon,Marcel Kittel,Kévin Ledanois,Dylan Groenewegen,
2018,3349,2.0,Mouilleron-Saint-Germain,La Roche-sur-Yon,Peter Sagan  (Bora - Hansgrohe),Peter Sagan,Alexander Kristoff,Dion Smith,Fernando Gaviria Rendon,
2018,3349,3.0,Cholet,Cholet,Bmc Racing Team,Greg Van Avermaet,Peter Sagan,Dion Smith,Soren Kragh Andersen,
2018,3349,4.0,La Baule,Sarzeau,Fernando Gaviria Rendon  (Quick - Step Floors),Greg Van Avermaet,Peter Sagan,Dion Smith,Soren Kragh Andersen,
2018,3349,5.0,Lorient,Quimper,Peter Sagan  (Bora - Hansgrohe),Greg Van Avermaet,Peter Sagan,Toms Skujins,Soren Kragh Andersen,
2018,3349,6.0,Brest,Mûr-de-Bretagne Guerlédan,Daniel Martin  (Uae Team Emirates),Greg Van Avermaet,Peter Sagan,Toms Skujins,Soren Kragh Andersen,
