Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1985,137,JAN BOGAERT,142,VERANDALUX-NISSAN-DRIES-ROSSIN,116h 35' 58'',+ 03h 11' 35'',,,4109,24,time,419758,11495
1985,138,PHILIPPE LAURAIRE,59,FAGOR,116h 39' 23'',+ 03h 15' 00'',,,4109,24,time,419963,11700
1985,139,GIULIANO PAVANELLO,169,SANTINI-SELLE ITALIA-CONTI-GALLI,116h 41' 03'',+ 03h 16' 40'',,,4109,24,time,420063,11800
1985,140,PETER PIETERS,126,ZOR,116h 50' 07'',+ 03h 25' 44'',,,4109,24,time,420607,12344
1985,141,PAUL SHERWEN,106,LA REDOUTE,116h 52' 36'',+ 03h 28' 13'',,,4109,24,time,420756,12493
1985,142,PATRICK ONNOCKX,137,LOTTO-EDDY MERCKX-CAMPAGNOLO,116h 53' 48'',+ 03h 29' 25'',,,4109,24,time,420828,12565
1985,143,ROBERTO BRESSAN,162,SANTINI-SELLE ITALIA-CONTI-GALLI,117h 09' 43'',+ 03h 45' 20'',,,4109,24,time,421783,13520
1985,144,MANRICO RONCHIATO,170,SANTINI-SELLE ITALIA-CONTI-GALLI,117h 38' 11'',+ 04h 13' 48'',,,4109,24,time,423491,15228
1986,1,GREG LEMOND,7,LA VIE CLAIRE-WONDER-RADAR,110h 35' 19'',-,,,4094,24,time,398119,0
1986,2,BERNARD HINAULT,1,LA VIE CLAIRE-WONDER-RADAR,110h 38' 29'',+ 00h 03' 10'',,,4094,24,time,398309,190
1986,3,URS ZIMMERMANN,20,CARRERA JEANS,110h 46' 13'',+ 00h 10' 54'',,,4094,24,time,398773,654
1986,4,ANDREW ''ANDY'' HAMPSTEN,5,LA VIE CLAIRE-WONDER-RADAR,110h 54' 03'',+ 00h 18' 44'',,,4094,24,time,399243,1124
1986,5,ERIC CARITOUX,131,FAGOR,110h 59' 55'',+ 00h 24' 36'',,,4094,24,time,399595,1476
1986,6,RONAN PENSEC,89,PEUGEOT-SHELL,111h 01' 18'',+ 00h 25' 59'',,,4094,24,time,399678,1559
1986,7,NIKI RUTTIMAN,8,LA VIE CLAIRE-WONDER-RADAR,111h 06' 11'',+ 00h 30' 52'',,,4094,24,time,399971,1852
1986,8,ALVARO PINO,121,ZOR-BH,111h 08' 19'',+ 00h 33' 00'',,,4094,24,time,400099,1980
1986,9,STEVEN ROOKS,55,PDM,111h 08' 41'',+ 00h 33' 22'',,,4094,24,time,400121,2002
1986,10,YVON MADIOT,48,SYSTEME U,111h 08' 46'',+ 00h 33' 27'',,,4094,24,time,400126,2007
1986,11,SAMUEL CABRERA,73,REYNOLDS-TS BATTERIES,111h 10' 47'',+ 00h 35' 28'',,,4094,24,time,400247,2128
1986,12,JEAN-FRANÇOIS BERNARD,4,LA VIE CLAIRE-WONDER-RADAR,111h 11' 04'',+ 00h 35' 45'',,,4094,24,time,400264,2145
1986,13,PASCAL SIMON,81,PEUGEOT-SHELL,111h 13' 03'',+ 00h 37' 44'',,,4094,24,time,400383,2264
1986,14,EDUARDO CHOZAS OLMO,187,TEKA,111h 14' 07'',+ 00h 38' 48'',,,4094,24,time,400447,2328
1986,15,REYNEL MONTOYA,158,POSTOBON,111h 20' 55'',+ 00h 45' 36'',,,4094,24,time,400855,2736
1986,16,CHARLY MOTTET,50,SYSTEME U,111h 21' 17'',+ 00h 45' 58'',,,4094,24,time,400877,2758
1986,17,THIERRY CLAVEYROLAT,141,RMO-MERAL-MAVIC,111h 21' 19'',+ 00h 46' 00'',,,4094,24,time,400879,2760
1986,18,MARINO LEJARETTA,161,SEAT-ORBEA,111h 24' 28'',+ 00h 49' 09'',,,4094,24,time,401068,2949
1986,19,JEAN-CLAUDE BAGOT,132,FAGOR,111h 26' 57'',+ 00h 51' 38'',,,4094,24,time,401217,3098
1986,21,PATROCINIO JIMENEZ,65,CAFÉ DE COLOMBIA-PILAS VARTA,111h 31' 01'',+ 00h 55' 42'',,,4094,24,time,401461,3342
1986,22,LUIS ''LUCHO'' HERRERA,61,CAFÉ DE COLOMBIA-PILAS VARTA,111h 31' 19'',+ 00h 56' 00'',,,4094,24,time,401479,3360
1986,23,STEVE BAUER,2,LA VIE CLAIRE-WONDER-RADAR,111h 31' 21'',+ 00h 56' 02'',,,4094,24,time,401481,3362
1986,24,JOOP ZOETEMELK,91,KWANTUM HALLEN-DECOSOL,111h 32' 23'',+ 00h 57' 04'',,,4094,24,time,401543,3424
1986,25,JÉSUS BLANCO-VILLAR,185,TEKA,111h 38' 35'',+ 01h 03' 16'',,,4094,24,time,401915,3796
1986,26,JEAN-RENÉ BERNAUDEAU,133,FAGOR,111h 39' 15'',+ 01h 03' 56'',,,4094,24,time,401955,3836
1986,27,ALFONSO FLORES,64,CAFÉ DE COLOMBIA-PILAS VARTA,111h 41' 13'',+ 01h 05' 54'',,,4094,24,time,402073,3954
1986,28,BERNARD GAVILLET,46,SYSTEME U,111h 43' 36'',+ 01h 08' 17'',,,4094,24,time,402216,4097
1986,29,PETER STEVENHAAGEN,57,PDM,111h 45' 59'',+ 01h 10' 40'',,,4094,24,time,402359,4240
1986,30,JOKIN MUJIKA,165,SEAT-ORBEA,111h 46' 20'',+ 01h 11' 01'',,,4094,24,time,402380,4261
1986,31,ANSELMO FUERTE,126,ZOR-BH,111h 47' 32'',+ 01h 12' 13'',,,4094,24,time,402452,4333
1986,32,PRIMOZ CERIN,194,MALVOR-BOTTECCHIA-SIDI,111h 49' 59'',+ 01h 14' 40'',,,4094,24,time,402599,4480
1986,33,JOSÉ ANTONIO AGUDELO GOMEZ,182,TEKA,111h 50' 32'',+ 01h 15' 13'',,,4094,24,time,402632,4513
1986,34,DAG OTTO LAURITZEN,87,PEUGEOT-SHELL,111h 51' 06'',+ 01h 15' 47'',,,4094,24,time,402666,4547
1986,35,ROBERT FOREST,85,PEUGEOT-SHELL,111h 51' 38'',+ 01h 16' 19'',,,4094,24,time,402698,4579
1986,36,PELLO RUIZ-CABESTANY,168,SEAT-ORBEA,111h 51' 41'',+ 01h 16' 22'',,,4094,24,time,402701,4582
1986,37,EDDY SCHEPERS,19,CARRERA JEANS,111h 53' 39'',+ 01h 18' 20'',,,4094,24,time,402819,4700
1986,38,FEDERICO ECHAVE,188,TEKA,111h 54' 12'',+ 01h 18' 53'',,,4094,24,time,402852,4733
1986,39,PHIL ANDERSON,32,PANASONIC,111h 55' 00'',+ 01h 19' 41'',,,4094,24,time,402900,4781
1986,40,JÉSUS RODRIGUEZ-MAGRO,128,ZOR-BH,111h 55' 28'',+ 01h 20' 09'',,,4094,24,time,402928,4809
1986,41,SILVANO CONTINI,171,GIS-GELATI,111h 57' 37'',+ 01h 22' 18'',,,4094,24,time,403057,4938
1986,42,MARTIN RAMIREZ,139,FAGOR,111h 57' 45'',+ 01h 22' 26'',,,4094,24,time,403065,4946
1986,43,HENDRIK DEVOS,113,HITACHI-MARC-SPLENDOR,112h 00' 02'',+ 01h 24' 43'',,,4094,24,time,403202,5083
1986,44,CHARLY BERARD,3,LA VIE CLAIRE-WONDER-RADAR,112h 04' 21'',+ 01h 29' 02'',,,4094,24,time,403461,5342
1986,45,DOMINIQUE GARDE,23,KAS-MAVIC,112h 04' 30'',+ 01h 29' 11'',,,4094,24,time,403470,5351
1986,46,MARTIN EARLEY,135,FAGOR,112h 05' 49'',+ 01h 30' 30'',,,4094,24,time,403549,5430
1986,47,GILLES MAS,148,RMO-MERAL-MAVIC,112h 07' 15'',+ 01h 31' 56'',,,4094,24,time,403635,5516
1986,48,STEPHEN ROCHE,11,CARRERA JEANS,112h 07' 49'',+ 01h 32' 30'',,,4094,24,time,403669,5550
1986,49,ERICH MAECHLER,16,CARRERA JEANS,112h 08' 04'',+ 01h 32' 45'',,,4094,24,time,403684,5565
1986,50,HERIBERTO Uran,160,POSTOBON,112h 11' 54'',+ 01h 36' 35'',,,4094,24,time,403914,5795
1986,51,JAN NEVENS,108,JOKER-EMERXIL-EDDY MERCKX,112h 12' 34'',+ 01h 37' 15'',,,4094,24,time,403954,5835
1986,52,JOHAN VAN DER VELDE,38,PANASONIC,112h 13' 14'',+ 01h 37' 55'',,,4094,24,time,403994,5875
1986,53,CARLOS HERNANDEZ,77,REYNOLDS-TS BATTERIES,112h 13' 32'',+ 01h 38' 13'',,,4094,24,time,404012,5893
1986,54,GUY NULENS,35,PANASONIC,112h 14' 27'',+ 01h 39' 08'',,,4094,24,time,404067,5948
1986,55,CARLOS JARAMILLO,154,POSTOBON,112h 15' 07'',+ 01h 39' 48'',,,4094,24,time,404107,5988
1986,56,JEAN-CLAUDE LECLERCQ,27,KAS-MAVIC,112h 16' 02'',+ 01h 40' 43'',,,4094,24,time,404162,6043
1986,57,JEAN-CLAUDE GARDE,24,KAS-MAVIC,112h 16' 16'',+ 01h 40' 57'',,,4094,24,time,404176,6057
1986,58,JEAN-PHILIPPE VANDENBRANDE,119,HITACHI-MARC-SPLENDOR,112h 16' 42'',+ 01h 41' 23'',,,4094,24,time,404202,6083
1986,59,JUAN-CARLOS ROZAS,129,ZOR-BH,112h 17' 10'',+ 01h 41' 51'',,,4094,24,time,404230,6111
1986,60,ENRIQUE ALBERTO AJA CAGIGAS,183,TEKA,112h 17' 51'',+ 01h 42' 32'',,,4094,24,time,404271,6152
1986,61,GÉRARD VELDSCHOLTEN,60,PDM,112h 18' 16'',+ 01h 42' 57'',,,4094,24,time,404296,6177
1986,62,BERNARD VALLET,150,RMO-MERAL-MAVIC,112h 18' 31'',+ 01h 43' 12'',,,4094,24,time,404311,6192
1986,63,BOB ROLL,208,SEVEN ELEVEN-HOONVED,112h 18' 45'',+ 01h 43' 26'',,,4094,24,time,404325,6206
1986,64,DIRK DE WOLF,114,HITACHI-MARC-SPLENDOR,112h 19' 36'',+ 01h 44' 17'',,,4094,24,time,404376,6257
1986,65,TWAN POELS,96,KWANTUM HALLEN-DECOSOL,112h 19' 36'',+ 01h 44' 17'',,,4094,24,time,404376,6257
1986,66,ENNIO VANOTTI,180,GIS-GELATI,112h 20' 39'',+ 01h 45' 20'',,,4094,24,time,404439,6320
1986,67,PAUL HAGHEDOOREN,104,JOKER-EMERXIL-EDDY MERCKX,112h 23' 18'',+ 01h 47' 59'',,,4094,24,time,404598,6479
1986,68,FRANÇOIS LEMARCHAND,137,FAGOR,112h 24' 24'',+ 01h 49' 05'',,,4094,24,time,404664,6545
1986,69,LUDO PEETERS,95,KWANTUM HALLEN-DECOSOL,112h 24' 30'',+ 01h 49' 11'',,,4094,24,time,404670,6551
1986,70,NICO EMONDS,93,KWANTUM HALLEN-DECOSOL,112h 24' 38'',+ 01h 49' 19'',,,4094,24,time,404678,6559
1986,71,MANUEL CARDENAS ESPEITIA,186,TEKA,112h 25' 30'',+ 01h 50' 11'',,,4094,24,time,404730,6611
1986,72,GUIDO VAN CALSTER,130,ZOR-BH,112h 26' 01'',+ 01h 50' 42'',,,4094,24,time,404761,6642
1986,73,BRUNO LEALI,15,CARRERA JEANS,112h 27' 08'',+ 01h 51' 49'',,,4094,24,time,404828,6709
1986,74,BEAT BREU,13,CARRERA JEANS,112h 27' 13'',+ 01h 51' 54'',,,4094,24,time,404833,6714
1986,75,INAKI GASTON,25,KAS-MAVIC,112h 27' 54'',+ 01h 52' 35'',,,4094,24,time,404874,6755
1986,76,DOMINIQUE ARNAUD,72,REYNOLDS-TS BATTERIES,112h 29' 13'',+ 01h 53' 54'',,,4094,24,time,404953,6834
1986,77,JORGEN PEDERSEN,17,CARRERA JEANS,112h 29' 51'',+ 01h 54' 32'',,,4094,24,time,404991,6872
1986,78,JOS HAEX,116,HITACHI-MARC-SPLENDOR,112h 29' 57'',+ 01h 54' 38'',,,4094,24,time,404997,6878
1986,79,JULIAN GOROSPE,75,REYNOLDS-TS BATTERIES,112h 31' 30'',+ 01h 56' 11'',,,4094,24,time,405090,6971
1986,80,JEFF PIERCE,207,SEVEN ELEVEN-HOONVED,112h 32' 16'',+ 01h 56' 57'',,,4094,24,time,405136,7017
1986,81,MAARTEN DUCROT,92,KWANTUM HALLEN-DECOSOL,112h 33' 21'',+ 01h 58' 02'',,,4094,24,time,405201,7082
1986,82,ACACIO DA SILVA,195,MALVOR-BOTTECCHIA-SIDI,112h 33' 24'',+ 01h 58' 05'',,,4094,24,time,405204,7085
1986,83,NESTOR MORA,159,POSTOBON,112h 33' 45'',+ 01h 58' 26'',,,4094,24,time,405225,7106
1986,84,GERRIE KNETEMANN,54,PDM,112h 33' 47'',+ 01h 58' 28'',,,4094,24,time,405227,7108
1986,85,DOMINIQUE GAIGNE,45,SYSTEME U,112h 34' 46'',+ 01h 59' 27'',,,4094,24,time,405286,7167
1986,86,MARCO-ANTONIO LEON,66,CAFÉ DE COLOMBIA-PILAS VARTA,112h 36' 08'',+ 02h 00' 49'',,,4094,24,time,405368,7249
1986,87,VICENTE RIDAURA,167,SEAT-ORBEA,112h 36' 18'',+ 02h 00' 59'',,,4094,24,time,405378,7259
1986,88,CHRISTOPHE LAVAINNE,47,SYSTEME U,112h 36' 19'',+ 02h 01' 00'',,,4094,24,time,405379,7260
1986,89,ERIC VAN LANCKER,39,PANASONIC,112h 37' 12'',+ 02h 01' 53'',,,4094,24,time,405432,7313
1986,90,JAN VAN WIJK,59,PDM,112h 37' 54'',+ 02h 02' 35'',,,4094,24,time,405474,7355
1986,91,ALESSANDRO POZZI,177,GIS-GELATI,112h 38' 58'',+ 02h 03' 39'',,,4094,24,time,405538,7419
1986,92,GUIDO BONTEMPI,12,CARRERA JEANS,112h 38' 58'',+ 02h 03' 39'',,,4094,24,time,405538,7419
1986,93,RÉGIS SIMON,149,RMO-MERAL-MAVIC,112h 40' 25'',+ 02h 05' 06'',,,4094,24,time,405625,7506
1986,94,FRANCISCO-JOSÉ ANTEQUERA,122,ZOR-BH,112h 40' 27'',+ 02h 05' 08'',,,4094,24,time,405627,7508
1986,95,ALAIN VIGNERON,9,LA VIE CLAIRE-WONDER-RADAR,112h 40' 27'',+ 02h 05' 08'',,,4094,24,time,405627,7508
1986,96,RON KIEFEL,205,SEVEN ELEVEN-HOONVED,112h 41' 57'',+ 02h 06' 38'',,,4094,24,time,405717,7598
1986,97,PHILIPPE LELEU,6,LA VIE CLAIRE-WONDER-RADAR,112h 42' 22'',+ 02h 07' 03'',,,4094,24,time,405742,7623
1986,98,ERIC BOYER,44,SYSTEME U,112h 42' 46'',+ 02h 07' 27'',,,4094,24,time,405766,7647
1986,99,JÖRG MULLER,21,KAS-MAVIC,112h 43' 05'',+ 02h 07' 46'',,,4094,24,time,405785,7666
1986,100,FRÉDÉRIC VICHOT,30,KAS-MAVIC,112h 43' 34'',+ 02h 08' 15'',,,4094,24,time,405814,7695
1986,101,GERRIT SOLLEVELD,99,KWANTUM HALLEN-DECOSOL,112h 44' 19'',+ 02h 09' 00'',,,4094,24,time,405859,7740
1986,102,WIM VAN EYNDE,109,JOKER-EMERXIL-EDDY MERCKX,112h 46' 05'',+ 02h 10' 46'',,,4094,24,time,405965,7846
1986,103,LUC ROOSEN,98,KWANTUM HALLEN-DECOSOL,112h 46' 07'',+ 02h 10' 48'',,,4094,24,time,405967,7848
1986,104,RUDY ROGIERS,118,HITACHI-MARC-SPLENDOR,112h 46' 28'',+ 02h 11' 09'',,,4094,24,time,405988,7869
1986,105,JAN WIJNANTS,120,HITACHI-MARC-SPLENDOR,112h 46' 33'',+ 02h 11' 14'',,,4094,24,time,405993,7874
1986,106,ISRAËL CORREDOR,153,POSTOBON,112h 47' 23'',+ 02h 12' 04'',,,4094,24,time,406043,7924
1986,107,FRÉDERIC BRUN,82,PEUGEOT-SHELL,112h 48' 30'',+ 02h 13' 11'',,,4094,24,time,406110,7991
1986,108,THIERRY MARIE,49,SYSTEME U,112h 48' 43'',+ 02h 13' 24'',,,4094,24,time,406123,8004
1986,109,FRANCESCO ROSSIGNOLI,18,CARRERA JEANS,112h 49' 15'',+ 02h 13' 56'',,,4094,24,time,406155,8036
1986,110,ADRI VAN DER POEL,100,KWANTUM HALLEN-DECOSOL,112h 49' 39'',+ 02h 14' 20'',,,4094,24,time,406179,8060
1986,111,ERIC LOUVEL,88,PEUGEOT-SHELL,112h 50' 00'',+ 02h 14' 41'',,,4094,24,time,406200,8081
1986,112,SEAN YATES,90,PEUGEOT-SHELL,112h 50' 39'',+ 02h 15' 20'',,,4094,24,time,406239,8120
1986,113,MICHEL DERNIES,103,JOKER-EMERXIL-EDDY MERCKX,112h 50' 48'',+ 02h 15' 29'',,,4094,24,time,406248,8129
1986,114,RAÚL ALCALÁ,202,SEVEN ELEVEN-HOONVED,112h 51' 12'',+ 02h 15' 53'',,,4094,24,time,406272,8153
1986,115,JAIME VILAMAJO,170,SEAT-ORBEA,112h 52' 00'',+ 02h 16' 41'',,,4094,24,time,406320,8201
1986,116,FRANK HOSTE,136,FAGOR,112h 52' 25'',+ 02h 17' 06'',,,4094,24,time,406345,8226
1986,117,JÉSUS HERNANDEZ-UBEDA,78,REYNOLDS-TS BATTERIES,112h 52' 45'',+ 02h 17' 26'',,,4094,24,time,406365,8246
1986,118,ANDRÉ CHAPPUIS,144,RMO-MERAL-MAVIC,112h 52' 55'',+ 02h 17' 36'',,,4094,24,time,406375,8256
1986,119,JEAN-LUC VANDENBROUCKE,29,KAS-MAVIC,112h 53' 17'',+ 02h 17' 58'',,,4094,24,time,406397,8278
1986,120,ALEX STIEDA,210,SEVEN ELEVEN-HOONVED,112h 55' 06'',+ 02h 19' 47'',,,4094,24,time,406506,8387
1986,121,JOSÉ-LUIS LAGUIA,71,REYNOLDS-TS BATTERIES,112h 55' 07'',+ 02h 19' 48'',,,4094,24,time,406507,8388
1986,122,RUDY DHAENENS,115,HITACHI-MARC-SPLENDOR,112h 55' 17'',+ 02h 19' 58'',,,4094,24,time,406517,8398
1986,123,MARC GOMEZ,74,REYNOLDS-TS BATTERIES,112h 56' 32'',+ 02h 21' 13'',,,4094,24,time,406592,8473
1986,124,ALAIN BONDUE,43,SYSTEME U,112h 57' 22'',+ 02h 22' 03'',,,4094,24,time,406642,8523
1986,125,ERIC VANDERAERDEN,37,PANASONIC,112h 57' 49'',+ 02h 22' 30'',,,4094,24,time,406669,8550
1986,126,ANTONIO ESPARZA,162,SEAT-ORBEA,112h 58' 04'',+ 02h 22' 45'',,,4094,24,time,406684,8565
1986,127,GUIDO WINTERBERG,10,LA VIE CLAIRE-WONDER-RADAR,113h 02' 45'',+ 02h 27' 26'',,,4094,24,time,406965,8846
1986,129,JOS LIECKENS,105,JOKER-EMERXIL-EDDY MERCKX,113h 04' 40'',+ 02h 29' 21'',,,4094,24,time,407080,8961
1986,130,FRANCIS CASTAING,143,RMO-MERAL-MAVIC,113h 17' 15'',+ 02h 41' 56'',,,4094,24,time,407835,9716
1986,131,PAUL KIMMAGE,147,RMO-MERAL-MAVIC,113h 19' 25'',+ 02h 44' 06'',,,4094,24,time,407965,9846
1986,132,ENNIO SALVADOR,178,GIS-GELATI,113h 31' 10'',+ 02h 55' 51'',,,4094,24,time,408670,10551
1987,1,STEPHEN ROCHE,11,CARRERA JEANS,115h 27' 42'',-,,,4231,26,time,415662,0
1987,2,PEDRO DELGADO,51,PDM,115h 28' 22'',+ 00h 00' 40'',,,4231,26,time,415702,40
1987,3,JEAN-FRANÇOIS BERNARD,1,TOSHIBA-LOOK-LA VIE CLAIRE,115h 29' 55'',+ 00h 02' 13'',,,4231,26,time,415795,133
1987,4,CHARLY MOTTET,68,SYSTEME U,115h 34' 22'',+ 00h 06' 40'',,,4231,26,time,416062,400
1987,5,LUIS ''LUCHO'' HERRERA,131,CAFÉ DE COLOMBIA,115h 37' 14'',+ 00h 09' 32'',,,4231,26,time,416234,572
1987,6,FABIO PARRA,137,CAFÉ DE COLOMBIA,115h 44' 35'',+ 00h 16' 53'',,,4231,26,time,416675,1013
1987,7,LAURENT FIGNON,61,SYSTEME U,115h 46' 06'',+ 00h 18' 24'',,,4231,26,time,416766,1104
1987,8,ANSELMO FUERTE,41,B.H.,115h 46' 15'',+ 00h 18' 33'',,,4231,26,time,416775,1113
1987,9,RAÚL ALCALÁ,192,SEVEN ELEVEN-HOONVED,115h 49' 31'',+ 00h 21' 49'',,,4231,26,time,416971,1309
1987,10,MARINO LEJARETTA,111,CAJA RURAL-ORBEA,115h 53' 55'',+ 00h 26' 13'',,,4231,26,time,417235,1573
1987,11,CLAUDE CRIQUIELION,21,HITACHI-MARC-ROSSIN-MAVIC,115h 58' 14'',+ 00h 30' 32'',,,4231,26,time,417494,1832
1987,12,FEDERICO ECHAVE,46,B.H.,115h 58' 48'',+ 00h 31' 06'',,,4231,26,time,417528,1866
1987,13,MARTIN RAMIREZ,139,CAFÉ DE COLOMBIA,116h 04' 37'',+ 00h 36' 55'',,,4231,26,time,417877,2215
1987,14,GÉRARD ZADROBILEK,219,SUPERMERCATI BRIANZOLI-CHATEAU D'AX,116h 08' 17'',+ 00h 40' 35'',,,4231,26,time,418097,2435
1987,15,LUCIANO LORO,164,DEL TONGO-COLNAGO,116h 11' 34'',+ 00h 43' 52'',,,4231,26,time,418294,2632
1987,16,ANDREW ''ANDY'' HAMPSTEN,191,SEVEN ELEVEN-HOONVED,116h 11' 49'',+ 00h 44' 07'',,,4231,26,time,418309,2647
1987,17,JEAN-RENÉ BERNAUDEAU,123,FAGOR,116h 14' 58'',+ 00h 47' 16'',,,4231,26,time,418498,2836
1987,18,RAFAËL ACEVEDO PORRAS,132,CAFÉ DE COLOMBIA,116h 18' 15'',+ 00h 50' 33'',,,4231,26,time,418695,3033
1987,19,ROBERT MILLAR,155,PANASONIC-ISOSTAR,116h 18' 29'',+ 00h 50' 47'',,,4231,26,time,418709,3047
1987,20,DENIS ROUX,37,Z-PEUGEOT,116h 19' 55'',+ 00h 52' 13'',,,4231,26,time,418795,3133
1987,21,ERIK BREUKINK,152,PANASONIC-ISOSTAR,116h 21' 17'',+ 00h 53' 35'',,,4231,26,time,418877,3215
1987,22,PEDRO MUNOZ,121,FAGOR,116h 27' 09'',+ 00h 59' 27'',,,4231,26,time,419229,3567
1987,23,ERIC CARITOUX,124,FAGOR,116h 33' 15'',+ 01h 05' 33'',,,4231,26,time,419595,3933
1987,24,OMAR HERNANDEZ,94,RYALCAO-MANZANA-POSTOBON,116h 41' 52'',+ 01h 14' 10'',,,4231,26,time,420112,4450
1987,25,EDUARDO CHOZAS OLMO,84,TEKA,116h 42' 41'',+ 01h 14' 59'',,,4231,26,time,420161,4499
1987,26,NICO BREU,182,JOKER-EMERXIL-EDDY MERCKX,116h 47' 44'',+ 01h 20' 02'',,,4231,26,time,420464,4802
1987,27,PHIL ANDERSON,151,PANASONIC-ISOSTAR,116h 48' 25'',+ 01h 20' 43'',,,4231,26,time,420505,4843
1987,28,GILLES SANDERS,179,KAS-MIKO-MAVIC,116h 48' 39'',+ 01h 20' 57'',,,4231,26,time,420519,4857
1987,29,JESPER SKIBBY,206,ROLAND-SKALA-CHIORI-COLNAGO,116h 48' 55'',+ 01h 21' 13'',,,4231,26,time,420535,4873
1987,30,EDDY SCHEPERS,18,CARRERA JEANS,116h 49' 55'',+ 01h 22' 13'',,,4231,26,time,420595,4933
1987,31,GUIDO VAN CALSTER,49,B.H.,116h 54' 29'',+ 01h 26' 47'',,,4231,26,time,420869,5207
1987,32,GILLES MAS,106,RMO-MERAL-MAVIC,116h 54' 30'',+ 01h 26' 48'',,,4231,26,time,420870,5208
1987,33,JEAN-CLAUDE BAGOT,122,FAGOR,116h 54' 58'',+ 01h 27' 16'',,,4231,26,time,420898,5236
1987,34,MARTIAL GAYANT,63,SYSTEME U,116h 56' 59'',+ 01h 29' 17'',,,4231,26,time,421019,5357
1987,35,JOSÉ-SALVADOR SANCHIS,119,CAJA RURAL-ORBEA,116h 57' 48'',+ 01h 30' 06'',,,4231,26,time,421068,5406
1987,36,JUAN-CARLOS CASTILLO,135,CAFÉ DE COLOMBIA,117h 00' 43'',+ 01h 33' 01'',,,4231,26,time,421243,5581
1987,37,BRUNO CORNILLET,33,Z-PEUGEOT,117h 01' 19'',+ 01h 33' 37'',,,4231,26,time,421279,5617
1987,38,ROBERT FOREST,126,FAGOR,115h 27' 41'',-,,,4231,26,time,415661,0
1987,39,DAG OTTO LAURITZEN,196,SEVEN ELEVEN-HOONVED,117h 03' 34'',+ 01h 35' 52'',,,4231,26,time,421414,5752
1987,40,CHRISTOPHE LAVAINNE,64,SYSTEME U,117h 03' 54'',+ 01h 36' 12'',,,4231,26,time,421434,5772
1987,41,JOKIN MUJIKA,116,CAJA RURAL-ORBEA,117h 03' 57'',+ 01h 36' 15'',,,4231,26,time,421437,5775
1987,42,JÉRÔME SIMON,38,Z-PEUGEOT,117h 04' 07'',+ 01h 36' 25'',,,4231,26,time,421447,5785
1987,43,JOSÉ-LUIS LAGUIA,53,PDM,117h 06' 09'',+ 01h 38' 27'',,,4231,26,time,421569,5907
1987,44,MARCO-ANTONIO LEON,136,CAFÉ DE COLOMBIA,117h 07' 22'',+ 01h 39' 40'',,,4231,26,time,421642,5980
1987,45,PETER STEVENHAAGEN,57,PDM,117h 09' 32'',+ 01h 41' 50'',,,4231,26,time,421772,6110
1987,46,JULIO-CÉSAR CADENA,134,CAFÉ DE COLOMBIA,117h 11' 53'',+ 01h 44' 11'',,,4231,26,time,421913,6251
1987,47,MARC MADIOT,65,SYSTEME U,117h 14' 28'',+ 01h 46' 46'',,,4231,26,time,422068,6406
1987,48,GERT-JAN THEUNISSE,58,PDM,117h 20' 47'',+ 01h 53' 05'',,,4231,26,time,422447,6785
1987,49,ROLF GOLZ,142,SUPERCONFEX-KWANTUM-YOKO-COLNAGO,117h 22' 06'',+ 01h 54' 24'',,,4231,26,time,422526,6864
1987,50,JEAN-CLAUDE LECLERCQ,7,TOSHIBA-LOOK-LA VIE CLAIRE,117h 22' 22'',+ 01h 54' 40'',,,4231,26,time,422542,6880
1987,51,FABIAN FUCHS,24,HITACHI-MARC-ROSSIN-MAVIC,117h 22' 53'',+ 01h 55' 11'',,,4231,26,time,422573,6911
1987,52,ROQUE DE LA CRUZ,112,CAJA RURAL-ORBEA,117h 23' 18'',+ 01h 55' 36'',,,4231,26,time,422598,6936
1987,53,PASCAL SIMON,31,Z-PEUGEOT,117h 26' 01'',+ 01h 58' 19'',,,4231,26,time,422761,7099
1987,54,DOMINIQUE GARDE,5,TOSHIBA-LOOK-LA VIE CLAIRE,117h 26' 46'',+ 01h 59' 04'',,,4231,26,time,422806,7144
1987,55,SILVANO CONTINI,162,DEL TONGO-COLNAGO,117h 26' 57'',+ 01h 59' 15'',,,4231,26,time,422817,7155
1987,56,ERIC VAN LANCKER,158,PANASONIC-ISOSTAR,117h 27' 28'',+ 01h 59' 46'',,,4231,26,time,422848,7186
1987,57,BERNARD GAVILLET,62,SYSTEME U,117h 28' 00'',+ 02h 00' 18'',,,4231,26,time,422880,7218
1987,58,ENRIQUE ALBERTO AJA CAGIGAS,82,TEKA,117h 28' 30'',+ 02h 00' 48'',,,4231,26,time,422910,7248
1987,59,CHARLY BERARD,4,TOSHIBA-LOOK-LA VIE CLAIRE,117h 29' 13'',+ 02h 01' 31'',,,4231,26,time,422953,7291
1987,60,BERNARD VALLET,108,RMO-MERAL-MAVIC,117h 32' 21'',+ 02h 04' 39'',,,4231,26,time,423141,7479
1987,61,GUY NULENS,156,PANASONIC-ISOSTAR,117h 33' 28'',+ 02h 05' 46'',,,4231,26,time,423208,7546
1987,62,KIM ANDERSEN,2,TOSHIBA-LOOK-LA VIE CLAIRE,117h 33' 30'',+ 02h 05' 48'',,,4231,26,time,423210,7548
1987,63,NESTOR MORA,97,RYALCAO-MANZANA-POSTOBON,117h 33' 49'',+ 02h 06' 07'',,,4231,26,time,423229,7567
