Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1909,16,JULES DELOFFRE,33,NIL-SUPRA,252h 00' 00'',-,,,4497,14,points,907200,0
1909,17,JOSEPH HABIERRE,154,ISOLES,296h 00' 00'',-,,,4497,14,points,1065600,0
1909,18,ILDEBRANDO GAMBERINI,39,FELSINA,305h 00' 00'',-,,,4497,14,points,1098000,0
1909,19,ALFRED LE BARS,102,ISOLES,317h 00' 00'',-,,,4497,14,points,1141200,0
1909,20,EMILE LACHAISE,216,ISOLES,327h 00' 00'',-,,,4497,14,points,1177200,0
1909,21,LUCIEN LEMAN,146,ISOLES,341h 00' 00'',-,,,4497,14,points,1227600,0
1909,22,LÉON RABOT,127,ISOLES,343h 00' 00'',-,,,4497,14,points,1234800,0
1909,23,GEORGES OUDIN,247,ISOLES,345h 00' 00'',-,,,4497,14,points,1242000,0
1909,24,AMÉDÉE DUTIRON,185,ISOLES,351h 00' 00'',-,,,4497,14,points,1263600,0
1909,26,PIERRE LANGLADE,222,ISOLES,404h 00' 00'',-,,,4497,14,points,1454400,0
1909,27,ANGELO MAGNANOLI,40,FELSINA,407h 00' 00'',-,,,4497,14,points,1465200,0
1909,28,ANTOINE WATTELIER,256,ISOLES,411h 00' 00'',-,,,4497,14,points,1479600,0
1909,29,ALFRED VAIDIS,155,ISOLES,450h 00' 00'',-,,,4497,14,points,1620000,0
1909,30,HENRI ALAVOINE,212,ISOLES,467h 00' 00'',-,,,4497,14,points,1681200,0
1909,31,PAUL BOILLAT,128,ISOLES,471h 00' 00'',-,,,4497,14,points,1695600,0
1909,32,AMLETO BELLONI,208,ISOLES,477h 00' 00'',-,,,4497,14,points,1717200,0
1909,33,RENÉ CHAUDE,122,ISOLES,479h 00' 00'',-,,,4497,14,points,1724400,0
1909,34,JOSEPH LEBLANC,238,ISOLES,481h 00' 00'',-,,,4497,14,points,1731600,0
1909,35,AUGUSTE DENIZOT,183,ISOLES,484h 00' 00'',-,,,4497,14,points,1742400,0
1909,36,AUGUSTE DUFOUR,196,ISOLES,491h 00' 00'',-,,,4497,14,points,1767600,0
1909,37,ANTOINE FAURE,137,ISOLES,495h 00' 00'',-,,,4497,14,points,1782000,0
1909,38,ALBERT LAGARNIER,103,ISOLES,518h 00' 00'',-,,,4497,14,points,1864800,0
1909,39,RODOLPHE MEILI,158,ISOLES,548h 00' 00'',-,,,4497,14,points,1972800,0
1909,40,LOUIS GARDENT,164,ISOLES,549h 00' 00'',-,,,4497,14,points,1976400,0
1909,41,ROGER RIVIERE,104,ISOLES,556h 00' 00'',-,,,4497,14,points,2001600,0
1909,42,FRANÇOIS ROCHE,235,ISOLES,561h 00' 00'',-,,,4497,14,points,2019600,0
1909,43,LUCIEN COLIN,175,ISOLES,569h 00' 00'',-,,,4497,14,points,2048400,0
1909,44,ANDRÉ HERBELIN,130,ISOLES,573h 00' 00'',-,,,4497,14,points,2062800,0
1909,45,JEAN PERRUCA,159,ISOLES,579h 00' 00'',-,,,4497,14,points,2084400,0
1909,46,EUGÈNE LEROY,108,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,47,CAMILLE MATHIEU,150,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,48,CHARLES PONSON,160,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,49,PAUL PIETROIS,132,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,50,LOUIS DI MARIA,182,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
