Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
67,CATALINA SOTO CAMPOS,85.0,LABORAL KUTXA - FUNDACION EUSKADI,25h 49' 39'',+ 01h 13' 32'',,,2024,946,8,time,92979,4412
68,LAURA TOMASI,86.0,LABORAL KUTXA - FUNDACION EUSKADI,25h 50' 02'',+ 01h 13' 55'',,,2024,946,8,time,93002,4435
69,SILVIA PERSICO,121.0,UAE TEAM ADQ,25h 50' 34'',+ 01h 14' 27'',,,2024,946,8,time,93034,4467
70,SARAH ROY,146.0,COFIDIS WOMEN TEAM,25h 51' 59'',+ 01h 15' 52'',,,2024,946,8,time,93119,4552
71,AUDREY DE KEERSMAEKER,185.0,LOTTO DSTNY LADIES,25h 52' 22'',+ 01h 16' 15'',,,2024,946,8,time,93142,4575
72,LINDA RIEDMANN,65.0,TEAM VISMA | LEASE A BIKE,25h 53' 48'',+ 01h 17' 41'',,,2024,946,8,time,93228,4661
73,ANNA VAN WERSCH,187.0,LOTTO DSTNY LADIES,25h 55' 02'',+ 01h 18' 55'',,,2024,946,8,time,93302,4735
74,ELIZABETH DEIGNAN,34.0,LIDL - TREK,25h 55' 14'',+ 01h 19' 07'',,00' 20'',2024,946,8,time,93314,4747
75,ANOUSKA KOSTER,196.0,UNO-X MOBILITY,25h 55' 43'',+ 01h 19' 36'',,,2024,946,8,time,93343,4776
76,EMMA NORSGAARD BJERG,113.0,MOVISTAR TEAM,25h 56' 53'',+ 01h 20' 46'',,,2024,946,8,time,93413,4846
77,SORAYA PALADIN,15.0,CANYON//SRAM RACING,25h 57' 38'',+ 01h 21' 31'',,,2024,946,8,time,93458,4891
78,ELIZABETH HOLDEN,125.0,UAE TEAM ADQ,25h 57' 55'',+ 01h 21' 48'',,,2024,946,8,time,93475,4908
79,SOPHIE VON BERSWORDT,67.0,TEAM VISMA | LEASE A BIKE,25h 58' 09'',+ 01h 22' 02'',,,2024,946,8,time,93489,4922
80,KAROLINA KUMIEGA,122.0,UAE TEAM ADQ,25h 58' 43'',+ 01h 22' 36'',,,2024,946,8,time,93523,4956
81,ANNIINA AHTOSALO,192.0,UNO-X MOBILITY,25h 59' 03'',+ 01h 22' 56'',06',,2024,946,8,time,93543,4976
82,MIKAYLA HARVEY,124.0,UAE TEAM ADQ,26h 01' 42'',+ 01h 25' 35'',,,2024,946,8,time,93702,5135
83,SANDRA ALONSO,92.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 02' 02'',+ 01h 25' 55'',,,2024,946,8,time,93722,5155
84,CORALIE DEMAY,55.0,FDJ-SUEZ,26h 08' 06'',+ 01h 31' 59'',,,2024,946,8,time,94086,5519
85,IURANI BLANCO CALBET,82.0,LABORAL KUTXA - FUNDACION EUSKADI,26h 08' 31'',+ 01h 32' 24'',,,2024,946,8,time,94111,5544
86,JULIE DE WILDE,132.0,FENIX-DECEUNINCK,26h 09' 47'',+ 01h 33' 40'',,,2024,946,8,time,94187,5620
87,AGNIESZKA SKALNIAK-SOJKA,16.0,CANYON//SRAM RACING,26h 10' 08'',+ 01h 34' 01'',,,2024,946,8,time,94208,5641
88,CARINA SCHREMPF,135.0,FENIX-DECEUNINCK,26h 10' 19'',+ 01h 34' 12'',,,2024,946,8,time,94219,5652
89,ALICE TOWERS,17.0,CANYON//SRAM RACING,26h 10' 49'',+ 01h 34' 42'',,,2024,946,8,time,94249,5682
90,MARTHE TRUYEN,137.0,FENIX-DECEUNINCK,26h 12' 26'',+ 01h 36' 19'',,,2024,946,8,time,94346,5779
91,NIKOLA NOSKOVÁ,145.0,COFIDIS WOMEN TEAM,26h 13' 51'',+ 01h 37' 44'',,,2024,946,8,time,94431,5864
92,ROMY KASPER,153.0,HUMAN POWERED HEALTH,26h 14' 43'',+ 01h 38' 36'',,,2024,946,8,time,94483,5916
93,AUDREY CORDON RAGOT,151.0,HUMAN POWERED HEALTH,26h 16' 19'',+ 01h 40' 12'',,,2024,946,8,time,94579,6012
94,MARIA GIULIA CONFALONIERI,194.0,UNO-X MOBILITY,26h 18' 17'',+ 01h 42' 10'',,,2024,946,8,time,94697,6130
95,MAUREEN ARENS,183.0,LOTTO DSTNY LADIES,26h 18' 39'',+ 01h 42' 32'',,,2024,946,8,time,94719,6152
96,KATHRIN SCHWEINBERGER,97.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 20' 28'',+ 01h 44' 21'',,,2024,946,8,time,94828,6261
97,LOTTA HENTTALA,104.0,EF - OATLY - CANNONDALE,26h 20' 34'',+ 01h 44' 27'',,,2024,946,8,time,94834,6267
98,NINA BERTON,94.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 20' 36'',+ 01h 44' 29'',,,2024,946,8,time,94836,6269
99,RACHELE BARBIERI,23.0,TEAM DSM-FIRMENICH POSTNL,26h 21' 35'',+ 01h 45' 28'',,,2024,946,8,time,94895,6328
100,CRISTINA TONETTI,87.0,LABORAL KUTXA - FUNDACION EUSKADI,26h 22' 23'',+ 01h 46' 16'',,,2024,946,8,time,94943,6376
