Tour de France 2009

Number of stages 21
Distance (km) 3 460
Average speed 40.315

All about year 2009

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.              Team                  Times           Gap       B P
87   INIGO CUESTA                      2          CERVELO TEST TEAM             88h 05' 14''  + 02h 16' 39''
88   JÉRÔME PINEAU                     156        QUICK STEP                    88h 06' 11''  + 02h 17' 36''
89   GREG VAN AVERMAET                 16         SILENCE - LOTTO               88h 08' 49''  + 02h 20' 14''
90   THIERRY HUPOND                    196        SKIL-SHIMANO                  88h 11' 33''  + 02h 22' 58''
91   FABIAN CANCELLARA                 33         TEAM SAXO BANK                88h 12' 30''  + 02h 23' 55''
92   ALIAKSANDR KUSCHYNSKI             94         LIQUIGAS                      88h 12' 33''  + 02h 23' 58''
93   JOHAN VAN SUMMEREN                18         SILENCE - LOTTO               88h 14' 13''  + 02h 25' 38''
94   LEONARDO DUQUE                    124        COFIDIS LE CREDIT EN LIGNE    88h 14' 27''  + 02h 25' 52''
95   ALESSANDRO BALLAN                 131        LAMPRE - N.G.C                88h 14' 57''  + 02h 26' 22''
96   STIJN VANDENBERGH                 169        TEAM KATUSHA                  88h 15' 09''  + 02h 26' 34''
97   HEINRICH HAUSSLER                 5          CERVELO TEST TEAM             88h 17' 10''  + 02h 28' 35''
98   MARTIJN MAASKANT                  55         GARMIN - SLIPSTREAM           88h 18' 28''  + 02h 29' 53''
99   OSCAR FREIRE                      44         RABOBANK                      88h 28' 00''  + 02h 39' 25''
100  FILIPPO POZZATO                   167        TEAM KATUSHA                  88h 28' 14''  + 02h 39' 39''
101  MICKAEL DELAGE                    12         SILENCE - LOTTO               88h 30' 55''  + 02h 42' 20''
102  JUAN ANTONIO FLECHA GIANNONI      43         RABOBANK                      88h 31' 20''  + 02h 42' 45''
103  MICHAEL ROGERS                    79         TEAM COLUMBIA - HTC           88h 31' 32''  + 02h 42' 57''
104  SÉBASTIEN ROSSELER                157        QUICK STEP                    88h 31' 57''  + 02h 43' 22''
105  BINGEN FERNANDEZ                  125        COFIDIS LE CREDIT EN LIGNE    88h 34' 03''  + 02h 45' 28''
106  THOR HUSHOVD                      6          CERVELO TEST TEAM             88h 34' 35''  + 02h 46' 00''
107  JUAN JOSÉ OROZ UGALDE             65         EUSKALTEL - EUSKADI           88h 34' 52''  + 02h 46' 17''
108  JUSSI VEIKKANEN                   109        FRANCAISE DES JEUX            88h 35' 56''  + 02h 47' 21''
109  SIMON SPILAK                      139        LAMPRE - N.G.C                88h 40' 59''  + 02h 52' 24''
110  DANIELE RIGHI                     136        LAMPRE - N.G.C                88h 41' 19''  + 02h 52' 44''
111  KOEN DE KORT                      193        SKIL-SHIMANO                  88h 42' 00''  + 02h 53' 25''
112  FUMIYUKI BEPPU                    192        SKIL-SHIMANO                  88h 43' 56''  + 02h 55' 21''
113  SIMON GESCHKE                     194        SKIL-SHIMANO                  88h 44' 03''  + 02h 55' 28''
114  MATTEO TOSATTO                    158        QUICK STEP                    88h 47' 03''  + 02h 58' 28''
115  ARNAUD COYOT                      114        CAISSE D’EPARGNE              88h 47' 45''  + 02h 59' 10''
116  BRIAN VANDBORG                    97         LIQUIGAS                      88h 48' 32''  + 02h 59' 57''
117  ALEXANDRE PICHOT                  147        BBOX BOUYGUES TELECOM         88h 50' 36''  + 03h 02' 01''
118  STEF CLEMENT                      42         RABOBANK                      88h 50' 46''  + 03h 02' 11''
119  ANTHONY GESLIN                    103        FRANCAISE DES JEUX            88h 51' 01''  + 03h 02' 26''
120  ALESSANDRO VANOTTI                98         LIQUIGAS                      88h 52' 35''  + 03h 04' 00''
121  JULIAN DEAN                       52         GARMIN - SLIPSTREAM           88h 53' 16''  + 03h 04' 41''
122  NIKOLAY TRUSSOV                   168        TEAM KATUSHA                  88h 53' 45''  + 03h 05' 10''
123  STAF SCHEIRLINCKX                 15         SILENCE - LOTTO               88h 53' 46''  + 03h 05' 11''
124  STUART O'GRADY                    35         TEAM SAXO BANK                88h 57' 14''  + 03h 08' 39''
125  MARKUS FOTHEN                     183        TEAM MILRAM                   89h 01' 20''  + 03h 12' 45''
126  GERALD CIOLEK                     182        TEAM MILRAM                   89h 03' 47''  + 03h 15' 12''
127  BRETT DANIEL LANCASTER            8          CERVELO TEST TEAM             89h 04' 08''  + 03h 15' 33''
128  WILLIAM BONNET                    143        BBOX BOUYGUES TELECOM         89h 05' 04''  + 03h 16' 29''
129  YUKIYA ARASHIRO                   142        BBOX BOUYGUES TELECOM         89h 05' 19''  + 03h 16' 44''
130  ALBERT TIMMER                     198        SKIL-SHIMANO                  89h 05' 25''  + 03h 16' 50''
131  MARK CAVENDISH                    71         TEAM COLUMBIA - HTC           89h 10' 29''  + 03h 21' 54''
132  MAURO SANTAMBROGIO                137        LAMPRE - N.G.C                89h 12' 04''  + 03h 23' 29''
133  LLOYD MONDORY                     86         AG2R LA MONDIALE              89h 14' 14''  + 03h 25' 39''
134  BERT GRABSCH                      73         TEAM COLUMBIA - HTC           89h 15' 41''  + 03h 27' 06''
135  DANIELE BENNATI                   92         LIQUIGAS                      89h 15' 49''  + 03h 27' 14''
136  STÉPHANE AUGE                     122        COFIDIS LE CREDIT EN LIGNE    89h 15' 53''  + 03h 27' 18''
137  FABIAN WEGMANN                    188        TEAM MILRAM                   89h 18' 29''  + 03h 29' 54''
138  GREGORY RAST                      28         ASTANA                        89h 18' 42''  + 03h 30' 07''
139  SAMUEL DUMOULIN                   123        COFIDIS LE CREDIT EN LIGNE    89h 18' 58''  + 03h 30' 23''
140  MIKHAIL IGNATYEV                  164        TEAM KATUSHA                  89h 20' 44''  + 03h 32' 09''
141  DANNY PATE                        57         GARMIN - SLIPSTREAM           89h 21' 14''  + 03h 32' 39''
142  BENOÎT VAUGRENARD                 108        FRANCAISE DES JEUX            89h 23' 10''  + 03h 34' 35''
143  SAÏD HADDOU                       145        BBOX BOUYGUES TELECOM         89h 23' 30''  + 03h 34' 55''
144  CYRIL LEMOINE                     191        SKIL-SHIMANO                  89h 24' 49''  + 03h 36' 14''
145  MARCO BANDIERA                    132        LAMPRE - N.G.C                89h 27' 49''  + 03h 39' 14''
146  MARCIN SAPA                       138        LAMPRE - N.G.C                89h 30' 21''  + 03h 41' 46''
147  FABIO SABATINI                    96         LIQUIGAS                      89h 30' 46''  + 03h 42' 11''
148  DMITRIY MURAVYEV                  25         ASTANA                        89h 31' 50''  + 03h 43' 15''
149  MARK RENSHAW                      78         TEAM COLUMBIA - HTC           89h 34' 55''  + 03h 46' 20''
150  BERNHARD EISEL                    72         TEAM COLUMBIA - HTC           89h 36' 18''  + 03h 47' 43''
151  TYLER FARRAR                      53         GARMIN - SLIPSTREAM           89h 36' 48''  + 03h 48' 13''
152  NIKI TERPSTRA                     186        TEAM MILRAM                   89h 37' 13''  + 03h 48' 38''
153  STEVEN DE JONGH                   154        QUICK STEP                    89h 37' 56''  + 03h 49' 21''
154  JONATHAN HIVERT                   195        SKIL-SHIMANO                  89h 38' 14''  + 03h 49' 39''
155  ANDREAS KLIER                     7          CERVELO TEST TEAM             89h 42' 43''  + 03h 54' 08''
156  YAUHENI HUTAROVICH                104        FRANCAISE DES JEUX            90h 05' 02''  + 04h 16' 27''

Next rankings
