Tour de France 2012

Number of stages 20
Distance (km) 3 497
Average speed 39.883

All about year 2012

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.               Team                  Times           Gap       B P
114  FEDERICO CANUTI                   53         LIQUIGAS-CANNONDALE            90h 33' 28''  + 02h 58' 41''
115  KRIS BOECKMANS                    122        VACANSOLEIL-DCM                90h 37' 44''  + 03h 02' 57''
116  MAXIM IGLINSKIY                   185        ASTANA PRO TEAM                90h 38' 25''  + 03h 03' 38''
117  BADEN COOKE                       203        ORICA GREENEDGE                90h 39' 17''  + 03h 04' 30''
118  ALESSANDRO VANOTTI                59         LIQUIGAS-CANNONDALE            90h 39' 26''  + 03h 04' 39''
119  JOAN HORRACH                      135        KATUSHA TEAM                   90h 41' 14''  + 03h 06' 27''
120  MATTHEW HARLEY GOSS               204        ORICA GREENEDGE                90h 41' 42''  + 03h 06' 55''
121  NICK NUYENS                       176        TEAM SAXO BANK-TINKOFF BANK    90h 43' 16''  + 03h 08' 29''
122  SÉBASTIEN HINAULT                 75         AG2R LA MONDIALE               90h 43' 44''  + 03h 08' 57''
123  ANDRÉ GREIPEL                     114        LOTTO-BELISOL TEAM             90h 43' 49''  + 03h 09' 02''
124  GREGORY HENDERSON                 116        LOTTO-BELISOL TEAM             90h 47' 53''  + 03h 13' 06''
125  BERT GRABSCH                      195        OMEGA PHARMA-QUICK STEP        90h 47' 53''  + 03h 13' 06''
126  ANTHONY ROUX                      147        FDJ-BIGMAT                     90h 51' 25''  + 03h 16' 38''
127  ANDERS LUND                       174        TEAM SAXO BANK-TINKOFF BANK    90h 51' 54''  + 03h 17' 07''
128  NICOLAS EDET                      84         COFIDIS LE CREDIT EN LIGNE     90h 52' 03''  + 03h 17' 16''
129  BORUT BOZIC                       182        ASTANA PRO TEAM                90h 52' 31''  + 03h 17' 44''
130  LUIS ANGEL MATE MARDONES          87         COFIDIS LE CREDIT EN LIGNE     90h 52' 58''  + 03h 18' 11''
131  JEAN MARC MARINO                  98         SAUR-SOJASUN                   90h 53' 07''  + 03h 18' 20''
132  MARCEL SIEBERG                    118        LOTTO-BELISOL TEAM             90h 54' 23''  + 03h 19' 36''
133  CEDRIC PINEAU                     145        FDJ-BIGMAT                     90h 55' 11''  + 03h 20' 24''
134  PABLO URTASUN PEREZ               38         EUSKALTEL - EUSKADI            90h 56' 21''  + 03h 21' 34''
135  ROY CURVERS                       212        TEAM ARGOS-SHIMANO             90h 58' 31''  + 03h 23' 44''
136  CYRIL LEMOINE                     96         SAUR-SOJASUN                   90h 58' 42''  + 03h 23' 55''
137  JONATHAN CANTWELL                 171        TEAM SAXO BANK-TINKOFF BANK    90h 59' 55''  + 03h 25' 08''
138  YANN HUGUET                       216        TEAM ARGOS-SHIMANO             91h 01' 30''  + 03h 26' 43''
139  YOHANN GENE                       25         TEAM EUROPCAR                  91h 01' 45''  + 03h 26' 58''
140  JUAN JOSE HAEDO                   172        TEAM SAXO BANK-TINKOFF BANK    91h 02' 15''  + 03h 27' 28''
141  PATRICK GRETSCH                   215        TEAM ARGOS-SHIMANO             91h 02' 36''  + 03h 27' 49''
142  MARK CAVENDISH                    103        SKY PROCYCLING                 91h 03' 23''  + 03h 28' 36''
143  KARSTEN KROON                     173        TEAM SAXO BANK-TINKOFF BANK    91h 03' 43''  + 03h 28' 56''
144  BRAM TANKINK                      156        RABOBANK CYCLING TEAM          91h 06' 11''  + 03h 31' 24''
145  ALIAKSANDR KUCHYNSKI              136        KATUSHA TEAM                   91h 13' 11''  + 03h 38' 24''
146  BERNHARD EISEL                    104        SKY PROCYCLING                 91h 13' 35''  + 03h 38' 48''
147  JOHAN VAN SUMMEREN                67         GARMIN-SHARP                   91h 14' 48''  + 03h 40' 01''
148  ALBERT TIMMER                     218        TEAM ARGOS-SHIMANO             91h 15' 24''  + 03h 40' 37''
149  JULIEN FOUCHARD                   85         COFIDIS LE CREDIT EN LIGNE     91h 17' 18''  + 03h 42' 31''
150  SEBASTIAN LANGEVELD               207        ORICA GREENEDGE                91h 24' 59''  + 03h 50' 12''
151  TYLER FARRAR                      63         GARMIN-SHARP                   91h 29' 32''  + 03h 54' 45''
152  JAN GHYSELINCK                    86         COFIDIS LE CREDIT EN LIGNE     91h 31' 51''  + 03h 57' 04''
153  JIMMY ENGOULVENT                  93         SAUR-SOJASUN                   91h 32' 23''  + 03h 57' 36''

Next rankings
