Tour de France 2014

Number of stages 21
Distance (km) 3 659
Average speed 40.662

All about year 2014

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.                Team                    Times           Gap       B P
99   SÉBASTIEN MINARD                  87         AG2R LA MONDIALE                  93h 41' 29''  + 03h 42' 23''
100  GATIS SMUKULIS                    27         TEAM KATUSHA                      93h 42' 31''  + 03h 43' 25''
101  GREGORY RAST                      165        TREK FACTORY RACING               93h 42' 43''  + 03h 43' 37''
102  CEDRIC PINEAU                     126        FDJ.FR                            93h 43' 28''  + 03h 44' 22''
103  FLORIAN VACHON                    219        BRETAGNE - SECHE ENVIRONNEMENT    93h 43' 46''  + 03h 44' 40''
104  BRYAN COQUARD                     153        TEAM EUROPCAR                     93h 43' 51''  + 03h 44' 45''
105  DAVID LOPEZ GARCIA                4          TEAM SKY                          93h 44' 19''  + 03h 45' 13''
106  SEP VANMARCKE                     68         BELKIN PRO CYCLING                93h 45' 00''  + 03h 45' 54''
107  ALEXANDRE PICHOT                  156        TEAM EUROPCAR                     93h 45' 41''  + 03h 46' 35''
108  JENS VOIGT                        168        TREK FACTORY RACING               93h 45' 43''  + 03h 46' 37''
109  JULIEN SIMON                      178        COFIDIS, SOLUTIONS CREDITS        93h 46' 02''  + 03h 46' 56''
110  CYRIL LEMOINE                     174        COFIDIS, SOLUTIONS CREDITS        93h 46' 22''  + 03h 47' 16''
111  JURGEN ROELANDTS                  138        LOTTO-BELISOL                     93h 51' 45''  + 03h 52' 39''
112  MACIEJ BODNAR                     52         CANNONDALE                        93h 51' 58''  + 03h 52' 52''
113  SIMON CLARKE                      183        ORICA GREENEDGE                   93h 54' 44''  + 03h 55' 38''
114  BENAT INTXAUSTI ELORRIAGA         15         MOVISTAR TEAM                     93h 54' 59''  + 03h 55' 53''
115  JEAN-MARC BIDEAU                  212        BRETAGNE - SECHE ENVIRONNEMENT    93h 57' 14''  + 03h 58' 08''
116  ROY CURVERS                       102        TEAM GIANT-SHIMANO                93h 57' 29''  + 03h 58' 23''
117  MAARTEN WYNANTS                   69         BELKIN PRO CYCLING                94h 00' 15''  + 04h 01' 09''
118  FABIO SABATINI                    58         CANNONDALE                        94h 00' 27''  + 04h 01' 21''
119  MATTEO TOSATTO                    39         TINKOFF-SAXO                      94h 00' 59''  + 04h 01' 53''
120  CHRISTOPHE RIBLON                 89         AG2R LA MONDIALE                  94h 03' 06''  + 04h 04' 00''
121  CHRISTIAN MEIER                   187        ORICA GREENEDGE                   94h 04' 19''  + 04h 05' 13''
122  LUKE DURBRIDGE                    184        ORICA GREENEDGE                   94h 05' 05''  + 04h 05' 59''
123  JOHN DEGENKOLB                    104        TEAM GIANT-SHIMANO                94h 05' 48''  + 04h 06' 42''
124  JOSÉ PIMENTA COSTA MENDES         207        TEAM NETAPP-ENDURA                94h 06' 40''  + 04h 07' 34''
125  ALEXANDER KRISTOFF                23         TEAM KATUSHA                      94h 10' 52''  + 04h 11' 46''
126  BERNHARD EISEL                    2          TEAM SKY                          94h 12' 27''  + 04h 13' 21''
127  ALEX HOWES                        94         GARMIN - SHARP                    94h 17' 49''  + 04h 18' 43''
128  YOHANN GENE                       155        TEAM EUROPCAR                     94h 18' 17''  + 04h 19' 11''
129  MAXIM IGLINSKIY                   45         ASTANA PRO TEAM                   94h 21' 13''  + 04h 22' 07''
130  DMITRIY GRUZDEV                   44         ASTANA PRO TEAM                   94h 21' 39''  + 04h 22' 33''
131  SVEIN TUFT                        188        ORICA GREENEDGE                   94h 21' 58''  + 04h 22' 52''
132  ARNAUD GERARD                     216        BRETAGNE - SECHE ENVIRONNEMENT    94h 23' 21''  + 04h 24' 15''
133  THOMAS LEEZER                     65         BELKIN PRO CYCLING                94h 23' 27''  + 04h 24' 21''
134  MICHAEL MØRKØV                    35         TINKOFF-SAXO                      94h 25' 35''  + 04h 26' 29''
135  KRISTIJAN KOREN                   55         CANNONDALE                        94h 28' 20''  + 04h 29' 14''
136  LUCA PAOLINI                      24         TEAM KATUSHA                      94h 28' 49''  + 04h 29' 43''
137  JACK BAUER                        93         GARMIN - SHARP                    94h 29' 03''  + 04h 29' 57''
138  ARMINDO FONSECA                   215        BRETAGNE - SECHE ENVIRONNEMENT    94h 29' 58''  + 04h 30' 52''
139  ROGER KLUGE                       196        IAM CYCLING                       94h 32' 51''  + 04h 33' 45''
140  SEBASTIAN LANGEVELD               96         GARMIN - SHARP                    94h 33' 35''  + 04h 34' 29''
141  RAMUNAS NAVARDAUSKAS              97         GARMIN - SHARP                    94h 36' 48''  + 04h 37' 42''
142  MARK RENSHAW                      77         OMEGA PHARMA-QUICK STEP           94h 38' 09''  + 04h 39' 03''
143  MICKAEL DELAGE                    123        FDJ.FR                            94h 38' 46''  + 04h 39' 40''
144  ANDREAS SCHILLINGER               208        TEAM NETAPP-ENDURA                94h 39' 12''  + 04h 40' 06''
145  MARCEL SIEBERG                    139        LOTTO-BELISOL                     94h 40' 27''  + 04h 41' 21''
146  ALBERT TIMMER                     108        TEAM GIANT-SHIMANO                94h 41' 34''  + 04h 42' 28''
147  ALESSANDRO VANOTTI                48         ASTANA PRO TEAM                   94h 41' 54''  + 04h 42' 48''
148  ALESSANDRO PETACCHI               76         OMEGA PHARMA-QUICK STEP           94h 43' 53''  + 04h 44' 47''
149  ANDRÉ GREIPEL                     135        LOTTO-BELISOL                     94h 44' 00''  + 04h 44' 54''
150  ROMAIN FEILLU                     214        BRETAGNE - SECHE ENVIRONNEMENT    94h 44' 10''  + 04h 45' 04''
151  ZAKKARI DEMPSTER                  204        TEAM NETAPP-ENDURA                94h 44' 10''  + 04h 45' 04''
152  BENOIT JARRIER                    218        BRETAGNE - SECHE ENVIRONNEMENT    94h 45' 34''  + 04h 46' 28''
153  DANNY PATE                        6          TEAM SKY                          94h 46' 58''  + 04h 47' 52''
154  MARCUS BURGHARDT                  143        BMC RACING TEAM                   94h 47' 46''  + 04h 48' 40''
155  TOM VEELERS                       109        TEAM GIANT-SHIMANO                94h 52' 29''  + 04h 53' 23''
156  ADRIEN PETIT                      177        COFIDIS, SOLUTIONS CREDITS        94h 57' 26''  + 04h 58' 20''
157  VLADIMIR ISAICHEV                 22         TEAM KATUSHA                      94h 57' 36''  + 04h 58' 30''
158  WILLIAM BONNET                    122        FDJ.FR                            94h 59' 03''  + 04h 59' 57''
159  ARNAUD DEMARE                     121        FDJ.FR                            94h 59' 35''  + 05h 00' 29''
160  JEAN MARC MARINO                  57         CANNONDALE                        95h 02' 52''  + 05h 03' 46''
161  MARCEL KITTEL                     101        TEAM GIANT-SHIMANO                95h 05' 33''  + 05h 06' 27''
162  ELIA VIVIANI                      59         CANNONDALE                        95h 09' 46''  + 05h 10' 40''
163  DAVIDE CIMOLAI                    112        LAMPRE - MERIDA                   95h 11' 04''  + 05h 11' 58''
164  CHENG JI                          107        TEAM GIANT-SHIMANO                96h 01' 30''  + 06h 02' 24''

Next rankings
