TDF 1998

Number of stages 21
Distance (km) 3 875
Average speed 39.983

All about year 1998

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank           Rider          Rider No.                   Team                       Times           Gap       B P
75    MIRCO CREPALDI          143        TEAM POLTI                              95h 04' 51''  + 02h 15' 05''
76    DIEGO FERRARI           153        ASICS - CGA                             95h 05' 32''  + 02h 15' 46''
77    XAVIER JAN              125        LA FRANCAISE DES JEUX                   95h 05' 37''  + 02h 15' 51''
78    PASCAL LINO             201        BIG.MAT - AUBER 93                      95h 05' 59''  + 02h 16' 13''
79    FABIO ROSCIOLI          155        ASICS - CGA                             95h 07' 39''  + 02h 17' 53''
80    CHRISTIAN HENN          5          TEAM DEUTSCHE TELEKOM                   95h 09' 38''  + 02h 19' 52''
81    VIATCHESLAV DJAVANIAN   205        BIG.MAT - AUBER 93                      95h 11' 17''  + 02h 21' 31''
82    ROSSANO BRASI           142        TEAM POLTI                              95h 11' 56''  + 02h 22' 10''
83    JENS VOIGT              89         GAN                                     95h 15' 00''  + 02h 25' 14''
84    PASCAL DERAME           184        US POSTAL SERVICE                       95h 16' 11''  + 02h 26' 25''
85    TOM STEELS              36         MAPEI - BRICOBI                         95h 16' 16''  + 02h 26' 30''
86    EROS POLI               85         GAN                                     95h 21' 42''  + 02h 31' 56''
87    ALEXEI SIVAKOV          209        BIG.MAT - AUBER 93                      95h 23' 05''  + 02h 33' 19''
88    AART VIERHOUTEN         58         RABOBANK                                95h 24' 52''  + 02h 35' 06''
89    LEON VAN BON            55         RABOBANK                                95h 26' 18''  + 02h 36' 32''
90    PAOLO FORNACIARI        115        SAECO MACCHINE DA CAFFE - CANNONDALE    95h 27' 36''  + 02h 37' 50''
91    MASSIMILIANO MORI       117        SAECO MACCHINE DA CAFFE - CANNONDALE    95h 27' 58''  + 02h 38' 12''
92    BART LEYSEN             33         MAPEI - BRICOBI                         95h 29' 29''  + 02h 39' 43''
93    FRANCESCO FRATTINI      4          TEAM DEUTSCHE TELEKOM                   95h 33' 02''  + 02h 43' 16''
94    FRANCK BOUYER           122        LA FRANCAISE DES JEUX                   95h 33' 31''  + 02h 43' 45''
95    MARIO TRAVERSONI        29         MERCATONE UNO - BIANCHI                 95h 34' 28''  + 02h 44' 42''
96    DAMIEN NAZON            128        LA FRANCAISE DES JEUX                   96h 02' 01''  + 03h 12' 15''

Next rankings
