Tour de France 1987

Number of stages 25
Distance (km) 4 231
Average speed 36.645

All about year 1987

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider             Rider No.                   Team                      Times            Gap       B P
120   ALESSANDRO PIOVANI            166        DEL TONGO-COLNAGO                      118h 46' 39''  + 03h 18' 57''
121   JAN WIJNANTS                  29         HITACHI-MARC-ROSSIN-MAVIC              118h 47' 01''  + 03h 19' 19''
122   HERMAN FRISON                 204        ROLAND-SKALA-CHIORI-COLNAGO            118h 47' 19''  + 03h 19' 37''
123   ANDRÉ CHAPPUIS                102        RMO-MERAL-MAVIC                        118h 49' 00''  + 03h 21' 18''
124   JELLE NIJDAM                  144        SUPERCONFEX-KWANTUM-YOKO-COLNAGO       118h 49' 00''  + 03h 21' 18''
125   PATRICK VERSCHUEREN           209        ROLAND-SKALA-CHIORI-COLNAGO            118h 50' 47''  + 03h 23' 05''
126   WIM VAN EYNDE                 189        JOKER-EMERXIL-EDDY MERCKX              118h 51' 22''  + 03h 23' 40''
127   GERRIT SOLLEVELD              147        SUPERCONFEX-KWANTUM-YOKO-COLNAGO       118h 52' 03''  + 03h 24' 21''
128   CARLOS HERNANDEZ              87         TEKA                                   118h 52' 23''  + 03h 24' 41''
129   STEFANO ALLOCCHIO             212        SUPERMERCATI BRIANZOLI-CHATEAU D'AX    119h 00' 38''  + 03h 32' 56''
130   JEAN-PAUL VAN POPPEL          148        SUPERCONFEX-KWANTUM-YOKO-COLNAGO       119h 03' 47''  + 03h 36' 05''
131   JAN GOESSENS                  184        JOKER-EMERXIL-EDDY MERCKX              119h 04' 12''  + 03h 36' 30''
132   JOS LIECKENS                  185        JOKER-EMERXIL-EDDY MERCKX              119h 17' 30''  + 03h 49' 48''
133   GUY GALLOPIN                  223        A.N.C-HALFORDS-LYCRA                   119h 30' 55''  + 04h 03' 13''
134   JEAN-LOUIS GAUTHIER           35         Z-PEUGEOT                              119h 33' 00''  + 04h 05' 18''
135   MATHIEU HERMANS               113        CAJA RURAL-ORBEA                       119h 51' 12''  + 04h 23' 30''

Next rankings
