Stages,Parcours,Winner of stage,Year,Start,Finish,Rider,Team
11.0,Aix-les-Bains > Serre-Chevalier,VICENTE LOPEZ-CARRIL  (KAS),1974,Aix-les-Bains,Serre-Chevalier,VICENTE LOPEZ-CARRIL,KAS
12.0,Savines > Orange,JOSEPH SPRUYT  (MOLTENI),1974,Savines,Orange,JOSEPH SPRUYT,MOLTENI
13.0,Avignon > Montpellier,BARRY HOBAN  (GAN-MERCIER),1974,Avignon,Montpellier,BARRY HOBAN,GAN-MERCIER
14.0,Lodève > Colomiers,JEAN-PIERRE GENET  (GAN-MERCIER),1974,Lodève,Colomiers,JEAN-PIERRE GENET,GAN-MERCIER
15.0,Colomiers > Seo de Urgel,EDDY MERCKX  (MOLTENI),1974,Colomiers,Seo de Urgel,EDDY MERCKX,MOLTENI
16.0,Seo de Urgel > Saint-Lary-Soulan Col du Portet,RAYMOND POULIDOR  (GAN-MERCIER),1974,Seo de Urgel,Saint-Lary-Soulan Col du Portet,RAYMOND POULIDOR,GAN-MERCIER
17.0,Saint-Lary-Soulan Col du Portet > Col du Tourmalet,JEAN-PIERRE DANGUILLAUME  (PEUGEOT-BP),1974,Saint-Lary-Soulan Col du Portet,Col du Tourmalet,JEAN-PIERRE DANGUILLAUME,PEUGEOT-BP
18.0,Bagnères-de-Bigorre > Pau,JEAN-PIERRE DANGUILLAUME  (PEUGEOT-BP),1974,Bagnères-de-Bigorre,Pau,JEAN-PIERRE DANGUILLAUME,PEUGEOT-BP
19.1,Pau > Bordeaux,FRANCIS CAMPANER  (LEJEUNE-JOBO),1974,Pau,Bordeaux,FRANCIS CAMPANER,LEJEUNE-JOBO
19.2,Bordeaux > Bordeaux,EDDY MERCKX  (MOLTENI),1974,Bordeaux,Bordeaux,EDDY MERCKX,MOLTENI
20.0,Saint-Gilles-Croix-de-Vie > Nantes,GÉRARD VIANEN  (GAN-MERCIER),1974,Saint-Gilles-Croix-de-Vie,Nantes,GÉRARD VIANEN,GAN-MERCIER
21.1,Vouvray > Orléans,EDDY MERCKX  (MOLTENI),1974,Vouvray,Orléans,EDDY MERCKX,MOLTENI
21.2,Orléans > Orléans,MICHEL POLLENTIER  (CARPENTER-CONFORTLUXE),1974,Orléans,Orléans,MICHEL POLLENTIER,CARPENTER-CONFORTLUXE
22.0,Orléans > Paris,EDDY MERCKX  (MOLTENI),1974,Orléans,Paris,EDDY MERCKX,MOLTENI
0.0,Charleroi > Charleroi,FRANCESCO MOSER  (FILOTEX),1975,Charleroi,Charleroi,FRANCESCO MOSER,FILOTEX
1.1,Charleroi > Molenbeek,CEES PRIEM  (FRISOL),1975,Charleroi,Molenbeek,CEES PRIEM,FRISOL
1.2,Molenbeek > Roubaix,RIK VAN LINDEN  (BIANCHI),1975,Molenbeek,Roubaix,RIK VAN LINDEN,BIANCHI
2.0,Roubaix > Amiens,RONALD DE WITTE  (FLANDRIA-CARPENTER-CONFORTLUXE),1975,Roubaix,Amiens,RONALD DE WITTE,FLANDRIA-CARPENTER-CONFORTLUXE
3.0,Amiens > Versailles,KAREL ROTTIERS  (MOLTENI),1975,Amiens,Versailles,KAREL ROTTIERS,MOLTENI
4.0,Versailles > Le Mans,JACQUES ESCLASSAN  (PEUGEOT-BP),1975,Versailles,Le Mans,JACQUES ESCLASSAN,PEUGEOT-BP
5.0,Sablé > Merlin-Plage,THÉO SMIT  (FRISOL),1975,Sablé,Merlin-Plage,THÉO SMIT,FRISOL
6.0,Merlin-Plage > Merlin-Plage,EDDY MERCKX  (MOLTENI),1975,Merlin-Plage,Merlin-Plage,EDDY MERCKX,MOLTENI
7.0,Saint-Gilles-Croix-de-Vie > Angoulême,FRANCESCO MOSER  (FILOTEX),1975,Saint-Gilles-Croix-de-Vie,Angoulême,FRANCESCO MOSER,FILOTEX
8.0,Angoulême > Bordeaux,BARRY HOBAN  (GAN-MERCIER),1975,Angoulême,Bordeaux,BARRY HOBAN,GAN-MERCIER
9.1,Langon > Fleurance,THÉO SMIT  (FRISOL),1975,Langon,Fleurance,THÉO SMIT,FRISOL
9.2,Fleurance > Auch,EDDY MERCKX  (MOLTENI),1975,Fleurance,Auch,EDDY MERCKX,MOLTENI
10.0,Auch > Pau,FELICE GIMONDI  (BIANCHI),1975,Auch,Pau,FELICE GIMONDI,BIANCHI
11.0,Pau > Saint-Lary-Soulan Col du Portet,JUAN ZURANO  (KAS),1975,Pau,Saint-Lary-Soulan Col du Portet,JUAN ZURANO,KAS
12.0,Tarbes > Albi,GERRIE KNETEMANN  (GAN-MERCIER),1975,Tarbes,Albi,GERRIE KNETEMANN,GAN-MERCIER
13.0,Albi > Super-Lioran,MICHEL POLLENTIER  (FLANDRIA-CARPENTER-CONFORTLUXE),1975,Albi,Super-Lioran,MICHEL POLLENTIER,FLANDRIA-CARPENTER-CONFORTLUXE
14.0,Aurillac > Puy de Dôme,LUCIEN VAN IMPE  (GITANE),1975,Aurillac,Puy de Dôme,LUCIEN VAN IMPE,GITANE
15.0,Nice > Pra Loup,BERNARD THEVENET  (PEUGEOT-BP),1975,Nice,Pra Loup,BERNARD THEVENET,PEUGEOT-BP
16.0,Barcelonnette > Serre-Chevalier,BERNARD THEVENET  (PEUGEOT-BP),1975,Barcelonnette,Serre-Chevalier,BERNARD THEVENET,PEUGEOT-BP
17.0,Valloire > Avoriaz,VICENTE LOPEZ-CARRIL  (KAS),1975,Valloire,Avoriaz,VICENTE LOPEZ-CARRIL,KAS
18.0,Morzine > Châtel,LUCIEN VAN IMPE  (GITANE),1975,Morzine,Châtel,LUCIEN VAN IMPE,GITANE
19.0,Thonon > Chalon-sur-Saône,RIK VAN LINDEN  (BIANCHI),1975,Thonon,Chalon-sur-Saône,RIK VAN LINDEN,BIANCHI
20.0,Pouilly-en-Auxois > Melun,GIACINTO SANTAMBROGIO  (BIANCHI),1975,Pouilly-en-Auxois,Melun,GIACINTO SANTAMBROGIO,BIANCHI
21.0,Melun > Senlis,RIK VAN LINDEN  (BIANCHI),1975,Melun,Senlis,RIK VAN LINDEN,BIANCHI
22.0,Paris > Paris,WALTER GODEFROOT  (FLANDRIA-CARPENTER-CONFORTLUXE),1975,Paris,Paris,WALTER GODEFROOT,FLANDRIA-CARPENTER-CONFORTLUXE
0.0,Merlin-Plage > Saint-Jean-de-Monts,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Merlin-Plage,Saint-Jean-de-Monts,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
1.0,Merlin-Plage > Angers,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Merlin-Plage,Angers,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
2.0,Angers > Caen,GIOVANNI BATTAGLIN  (JOLLYCERAMICA),1976,Angers,Caen,GIOVANNI BATTAGLIN,JOLLYCERAMICA
3.0,Le Touquet-Paris-Plage > Le Touquet-Paris-Plage,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
4.0,Le Touquet-Paris-Plage > Bornem,HENNIE KUIPER  (TI-RALEIGH-CAMPAGNOLO),1976,Le Touquet-Paris-Plage,Bornem,HENNIE KUIPER,TI-RALEIGH-CAMPAGNOLO
5.1,Louvain > Louvain,TI-RALEIGH-CAMPAGNOLO,1976,Louvain,Louvain,TI-RALEIGH-CAMPAGNOLO,TI-RALEIGH-CAMPAGNOLO
5.2,Louvain > Verviers,MIGUEL-MARIA LASA  (SCIC-FIAT-COLNAGO),1976,Louvain,Verviers,MIGUEL-MARIA LASA,SCIC-FIAT-COLNAGO
6.0,Bastogne > Nancy,ALDO PARECCHINI  (BROOKLYN-GIOS),1976,Bastogne,Nancy,ALDO PARECCHINI,BROOKLYN-GIOS
7.0,Nancy > Mulhouse,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Nancy,Mulhouse,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
8.0,Beaulieu > Divonne,JACQUES ESCLASSAN  (PEUGEOT-ESSO-MICHELIN),1976,Beaulieu,Divonne,JACQUES ESCLASSAN,PEUGEOT-ESSO-MICHELIN
9.0,Divonne > L'Alpe-d'Huez,JOOP ZOETEMELK  (GAN-MERCIER-HUTCHINSON),1976,Divonne,L'Alpe-d'Huez,JOOP ZOETEMELK,GAN-MERCIER-HUTCHINSON
10.0,Bourg-d'Oisans > Montgenèvre,JOOP ZOETEMELK  (GAN-MERCIER-HUTCHINSON),1976,Bourg-d'Oisans,Montgenèvre,JOOP ZOETEMELK,GAN-MERCIER-HUTCHINSON
11.0,Montgenèvre > Manosque,JOSÉ-LUIS VIEJO  (SUPER SER),1976,Montgenèvre,Manosque,JOSÉ-LUIS VIEJO,SUPER SER
12.0,Port Barcarès > Pyrénées 2000,RAYMOND DELISLE  (PEUGEOT-ESSO-MICHELIN),1976,Port Barcarès,Pyrénées 2000,RAYMOND DELISLE,PEUGEOT-ESSO-MICHELIN
13.0,Font Romeu > Saint Gaudens,WILLY TEIRLINCK  (GITANE-CAMPAGNOLO),1976,Font Romeu,Saint Gaudens,WILLY TEIRLINCK,GITANE-CAMPAGNOLO
14.0,Saint Gaudens > Saint-Lary-Soulan Col du Portet,LUCIEN VAN IMPE  (GITANE-CAMPAGNOLO),1976,Saint Gaudens,Saint-Lary-Soulan Col du Portet,LUCIEN VAN IMPE,GITANE-CAMPAGNOLO
15.0,Saint-Lary-Soulan Col du Portet > Pau,WLADIMIRO PANIZZA  (SCIC-FIAT-COLNAGO),1976,Saint-Lary-Soulan Col du Portet,Pau,WLADIMIRO PANIZZA,SCIC-FIAT-COLNAGO
16.0,Pau > Fleurance,MICHEL POLLENTIER  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Pau,Fleurance,MICHEL POLLENTIER,FLANDRIA-VELDA-VLEESBDRIJF
17.0,Fleurance > Auch,FERDINAND BRACKE  (LEJEUNE-BP),1976,Fleurance,Auch,FERDINAND BRACKE,LEJEUNE-BP
18.1,Auch > Langon,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Auch,Langon,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
18.2,Langon > Lacanau,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Langon,Lacanau,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
18.3,Lacanau > Bordeaux,GERBEN KARSTENS  (TI-RALEIGH-CAMPAGNOLO),1976,Lacanau,Bordeaux,GERBEN KARSTENS,TI-RALEIGH-CAMPAGNOLO
19.0,Sainte-Foy-la-Grande > Tulle,HUBERT MATHIS  (MIKO-DE GRIBALDY-SUPERIA),1976,Sainte-Foy-la-Grande,Tulle,HUBERT MATHIS,MIKO-DE GRIBALDY-SUPERIA
20.0,Tulle > Puy de Dôme,JOOP ZOETEMELK  (GAN-MERCIER-HUTCHINSON),1976,Tulle,Puy de Dôme,JOOP ZOETEMELK,GAN-MERCIER-HUTCHINSON
21.0,Montargis > Versailles,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Montargis,Versailles,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
22.1,Versailles > Paris,FREDDY MAERTENS  (FLANDRIA-VELDA-VLEESBDRIJF),1976,Versailles,Paris,FREDDY MAERTENS,FLANDRIA-VELDA-VLEESBDRIJF
22.2,Paris > Paris,GERBEN KARSTENS  (TI-RALEIGH-CAMPAGNOLO),1976,Paris,Paris,GERBEN KARSTENS,TI-RALEIGH-CAMPAGNOLO
0.0,Fleurance > Fleurance,DIETRICH THURAU  (TI-RALEIGH),1977,Fleurance,Fleurance,DIETRICH THURAU,TI-RALEIGH
1.0,Fleurance > Auch,PIERRE-RAYMOND VILLEMIANE  (GITANE-CAMPAGNOLO),1977,Fleurance,Auch,PIERRE-RAYMOND VILLEMIANE,GITANE-CAMPAGNOLO
2.0,Auch > Pau,DIETRICH THURAU  (TI-RALEIGH),1977,Auch,Pau,DIETRICH THURAU,TI-RALEIGH
3.0,Oloron > Vitoria,JOSÉ NAZABAL  (KAS-CAMPAGNOLO),1977,Oloron,Vitoria,JOSÉ NAZABAL,KAS-CAMPAGNOLO
4.0,Vitoria > Seignosse,RÉGIS DELEPINE  (PEUGEOT-ESSO-MICHELIN),1977,Vitoria,Seignosse,RÉGIS DELEPINE,PEUGEOT-ESSO-MICHELIN
5.1,Morcenx > Bordeaux,JACQUES ESCLASSAN  (PEUGEOT-ESSO-MICHELIN),1977,Morcenx,Bordeaux,JACQUES ESCLASSAN,PEUGEOT-ESSO-MICHELIN
5.2,Bordeaux > Bordeaux,DIETRICH THURAU  (TI-RALEIGH),1977,Bordeaux,Bordeaux,DIETRICH THURAU,TI-RALEIGH
6.0,Bordeaux > Limoges,JAN RAAS  (FRISOL-GAZELLE-THIRION),1977,Bordeaux,Limoges,JAN RAAS,FRISOL-GAZELLE-THIRION
7.1,Jaunay-Clan > Angers,PATRICK SERCU  (FIAT),1977,Jaunay-Clan,Angers,PATRICK SERCU,FIAT
7.2,Angers > Angers,FIAT,1977,Angers,Angers,FIAT,FIAT
8.0,Angers > Lorient,GIACINTO SANTAMBROGIO  (BIANCHI-CAMPAGNOLO),1977,Angers,Lorient,GIACINTO SANTAMBROGIO,BIANCHI-CAMPAGNOLO
9.0,Lorient > Rennes,KLAUS-PETER THALER  (TEKA),1977,Lorient,Rennes,KLAUS-PETER THALER,TEKA
10.0,Bagnoles-de-l'Orne > Rouen,FEDOR DEN HERTOG  (FRISOL-GAZELLE-THIRION),1977,Bagnoles-de-l'Orne,Rouen,FEDOR DEN HERTOG,FRISOL-GAZELLE-THIRION
11.0,Rouen > Roubaix,JEAN-PIERRE DANGUILLAUME  (PEUGEOT-ESSO-MICHELIN),1977,Rouen,Roubaix,JEAN-PIERRE DANGUILLAUME,PEUGEOT-ESSO-MICHELIN
12.0,Roubaix > Charleroi,PATRICK SERCU  (FIAT),1977,Roubaix,Charleroi,PATRICK SERCU,FIAT
13.1,Charleroi > Fribourg,PATRICK SERCU  (FIAT),1977,Charleroi,Fribourg,PATRICK SERCU,FIAT
13.2,Altkirch > Besançon,JEAN-PIERRE DANGUILLAUME  (PEUGEOT-ESSO-MICHELIN),1977,Altkirch,Besançon,JEAN-PIERRE DANGUILLAUME,PEUGEOT-ESSO-MICHELIN
14.0,Besançon > Thonon,BERNARD QUILFEN  (GITANE-CAMPAGNOLO),1977,Besançon,Thonon,BERNARD QUILFEN,GITANE-CAMPAGNOLO
15.1,Thonon > Morzine,PAUL WELLENS  (FRISOL-GAZELLE-THIRION),1977,Thonon,Morzine,PAUL WELLENS,FRISOL-GAZELLE-THIRION
15.2,Morzine > Avoriaz,LUCIEN VAN IMPE  (LEJEUNE-BP),1977,Morzine,Avoriaz,LUCIEN VAN IMPE,LEJEUNE-BP
16.0,Morzine > Chamonix,DIETRICH THURAU  (TI-RALEIGH),1977,Morzine,Chamonix,DIETRICH THURAU,TI-RALEIGH
17.0,Chamonix > L'Alpe-d'Huez,HENNIE KUIPER  (TI-RALEIGH),1977,Chamonix,L'Alpe-d'Huez,HENNIE KUIPER,TI-RALEIGH
19.0,Saint-Trivier > Dijon,GERRIE KNETEMANN  (TI-RALEIGH),1977,Saint-Trivier,Dijon,GERRIE KNETEMANN,TI-RALEIGH
20.0,Dijon > Dijon,BERNARD THEVENET  (PEUGEOT-ESSO-MICHELIN),1977,Dijon,Dijon,BERNARD THEVENET,PEUGEOT-ESSO-MICHELIN
21.0,Montereau > Versailles,GERRIE KNETEMANN  (TI-RALEIGH),1977,Montereau,Versailles,GERRIE KNETEMANN,TI-RALEIGH
22.1,Versailles > Paris,DIETRICH THURAU  (TI-RALEIGH),1977,Versailles,Paris,DIETRICH THURAU,TI-RALEIGH
22.2,Paris > Paris,ALAIN MESLET  (GITANE-CAMPAGNOLO),1977,Paris,Paris,ALAIN MESLET,GITANE-CAMPAGNOLO
0.0,Leiden > Leiden,JAN RAAS  (TI-RALEIGH-McGREGOR),1978,Leiden,Leiden,JAN RAAS,TI-RALEIGH-McGREGOR
1.1,Leiden > Saint-Willebrord,JAN RAAS  (TI-RALEIGH-McGREGOR),1978,Leiden,Saint-Willebrord,JAN RAAS,TI-RALEIGH-McGREGOR
1.2,Saint-Willebrord > Bruxelles,WALTER PLANCKAERT  (C & A),1978,Saint-Willebrord,Bruxelles,WALTER PLANCKAERT,C & A
2.0,Bruxelles > Saint-Amand-les-Eaux,JACQUES ESCLASSAN  (PEUGEOT-ESSO-MICHELIN),1978,Bruxelles,Saint-Amand-les-Eaux,JACQUES ESCLASSAN,PEUGEOT-ESSO-MICHELIN
3.0,Saint-Amand-les-Eaux > Saint-Germain-en-Laye,KLAUS-PETER THALER  (TI-RALEIGH-McGREGOR),1978,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,KLAUS-PETER THALER,TI-RALEIGH-McGREGOR
4.0,Evreux > Caen,TI-RALEIGH-McGREGOR,1978,Evreux,Caen,TI-RALEIGH-McGREGOR,TI-RALEIGH-McGREGOR
5.0,Caen > Mazé-Montgeoffroy,FREDDY MAERTENS  (VELDA-LANO-FLANDRIA),1978,Caen,Mazé-Montgeoffroy,FREDDY MAERTENS,VELDA-LANO-FLANDRIA
6.0,Mazé-Montgeoffroy > Poitiers,SEAN KELLY  (VELDA-LANO-FLANDRIA),1978,Mazé-Montgeoffroy,Poitiers,SEAN KELLY,VELDA-LANO-FLANDRIA
7.0,Poitiers > Bordeaux,FREDDY MAERTENS  (VELDA-LANO-FLANDRIA),1978,Poitiers,Bordeaux,FREDDY MAERTENS,VELDA-LANO-FLANDRIA
8.0,Saint-Emilion > Sainte-Foy-la-Grande,BERNARD HINAULT  (RENAULT-GITANE),1978,Saint-Emilion,Sainte-Foy-la-Grande,BERNARD HINAULT,RENAULT-GITANE
9.0,Bordeaux > Biarritz,MIGUEL-MARIA LASA  (TEKA),1978,Bordeaux,Biarritz,MIGUEL-MARIA LASA,TEKA
10.0,Biarritz > Pau,HENK LUBBERDING  (TI-RALEIGH-McGREGOR),1978,Biarritz,Pau,HENK LUBBERDING,TI-RALEIGH-McGREGOR
11.0,Pau > Saint-Lary-Soulan Col du Portet,MARIANO MARTINEZ  (JOBO-SUPERIA),1978,Pau,Saint-Lary-Soulan Col du Portet,MARIANO MARTINEZ,JOBO-SUPERIA
12.2,Valence d'Agen > Toulouse,JACQUES ESCLASSAN  (PEUGEOT-ESSO-MICHELIN),1978,Valence d'Agen,Toulouse,JACQUES ESCLASSAN,PEUGEOT-ESSO-MICHELIN
13.0,Figeac > Superbesse,PAUL WELLENS  (TI-RALEIGH-McGREGOR),1978,Figeac,Superbesse,PAUL WELLENS,TI-RALEIGH-McGREGOR
14.0,Besse-en-Ch. > Puy de Dôme,JOOP ZOETEMELK  (MIKO-MERCIER),1978,Besse-en-Ch.,Puy de Dôme,JOOP ZOETEMELK,MIKO-MERCIER
15.0,Saint-Dier-d'Auvergne > Saint-Etienne,BERNARD HINAULT  (RENAULT-GITANE),1978,Saint-Dier-d'Auvergne,Saint-Etienne,BERNARD HINAULT,RENAULT-GITANE
16.0,Saint-Etienne > L'Alpe-d'Huez,HENNIE KUIPER  (TI-RALEIGH-McGREGOR),1978,Saint-Etienne,L'Alpe-d'Huez,HENNIE KUIPER,TI-RALEIGH-McGREGOR
17.0,Grenoble > Morzine,CHRISTIAN SEZNEC  (MIKO-MERCIER),1978,Grenoble,Morzine,CHRISTIAN SEZNEC,MIKO-MERCIER
18.0,Morzine > Lausanne,GERRIE KNETEMANN  (TI-RALEIGH-McGREGOR),1978,Morzine,Lausanne,GERRIE KNETEMANN,TI-RALEIGH-McGREGOR
19.0,Lausanne > Belfort,MARC DEMEYER  (VELDA-LANO-FLANDRIA),1978,Lausanne,Belfort,MARC DEMEYER,VELDA-LANO-FLANDRIA
20.0,Metz > Nancy,BERNARD HINAULT  (RENAULT-GITANE),1978,Metz,Nancy,BERNARD HINAULT,RENAULT-GITANE
21.0,Épernay > Senlis,JAN RAAS  (TI-RALEIGH-McGREGOR),1978,Épernay,Senlis,JAN RAAS,TI-RALEIGH-McGREGOR
22.0,Saint-Germain-en-Laye > Paris,GERRIE KNETEMANN  (TI-RALEIGH-McGREGOR),1978,Saint-Germain-en-Laye,Paris,GERRIE KNETEMANN,TI-RALEIGH-McGREGOR
0.0,Fleurance > Fleurance,GERRIE KNETEMANN  (RALEIGH-McGREGOR),1979,Fleurance,Fleurance,GERRIE KNETEMANN,RALEIGH-McGREGOR
1.0,Fleurance > Luchon,RENÉ BITTINGER  (FLANDRIA-CA VA SEUL),1979,Fleurance,Luchon,RENÉ BITTINGER,FLANDRIA-CA VA SEUL
2.0,Luchon > Superbagnères,BERNARD HINAULT  (RENAULT-GITANE),1979,Luchon,Superbagnères,BERNARD HINAULT,RENAULT-GITANE
3.0,Luchon > Pau,BERNARD HINAULT  (RENAULT-GITANE),1979,Luchon,Pau,BERNARD HINAULT,RENAULT-GITANE
4.0,Captieux > Bordeaux,RALEIGH-McGREGOR,1979,Captieux,Bordeaux,RALEIGH-McGREGOR,RALEIGH-McGREGOR
5.0,Neuville-de-Poitou > Angers,JAN RAAS  (RALEIGH-McGREGOR),1979,Neuville-de-Poitou,Angers,JAN RAAS,RALEIGH-McGREGOR
6.0,Angers > Saint-Brieuc,JOS JACOBS  (IJSBOERKE-WARNCKE),1979,Angers,Saint-Brieuc,JOS JACOBS,IJSBOERKE-WARNCKE
7.0,Saint-Hilaire du Harcouët > Deauville,LÉO VAN VLIET  (RALEIGH-McGREGOR),1979,Saint-Hilaire du Harcouët,Deauville,LÉO VAN VLIET,RALEIGH-McGREGOR
8.0,Deauville > Le Havre,RALEIGH-McGREGOR,1979,Deauville,Le Havre,RALEIGH-McGREGOR,RALEIGH-McGREGOR
9.0,Amiens > Roubaix,LUDO DELCROIX  (IJSBOERKE-WARNCKE),1979,Amiens,Roubaix,LUDO DELCROIX,IJSBOERKE-WARNCKE
10.0,Roubaix > Bruxelles,JO MAAS  (DAF TRUCKS),1979,Roubaix,Bruxelles,JO MAAS,DAF TRUCKS
11.0,Bruxelles > Bruxelles,BERNARD HINAULT  (RENAULT-GITANE),1979,Bruxelles,Bruxelles,BERNARD HINAULT,RENAULT-GITANE
12.0,Rochefort > Metz,CHRISTIAN SEZNEC  (MIKO-MERCIER),1979,Rochefort,Metz,CHRISTIAN SEZNEC,MIKO-MERCIER
13.0,Metz > Ballon d'Alsace,PIERRE-RAYMOND VILLEMIANE  (RENAULT-GITANE),1979,Metz,Ballon d'Alsace,PIERRE-RAYMOND VILLEMIANE,RENAULT-GITANE
14.0,Belfort > Evian-les-Bains,MARC DEMEYER  (FLANDRIA-CA VA SEUL),1979,Belfort,Evian-les-Bains,MARC DEMEYER,FLANDRIA-CA VA SEUL
15.0,Evian-les-Bains > Avoriaz,BERNARD HINAULT  (RENAULT-GITANE),1979,Evian-les-Bains,Avoriaz,BERNARD HINAULT,RENAULT-GITANE
16.0,Morzine > Les Menuires,LUCIEN VAN IMPE  (KAS),1979,Morzine,Les Menuires,LUCIEN VAN IMPE,KAS
17.0,Les Menuires > L'Alpe-d'Huez,JOAQUIM AGOSTINHO  (FLANDRIA-CA VA SEUL),1979,Les Menuires,L'Alpe-d'Huez,JOAQUIM AGOSTINHO,FLANDRIA-CA VA SEUL
18.0,L'Alpe-d'Huez > L'Alpe-d'Huez,JOOP ZOETEMELK  (MIKO-MERCIER),1979,L'Alpe-d'Huez,L'Alpe-d'Huez,JOOP ZOETEMELK,MIKO-MERCIER
19.0,Bourg-d'Oisans > Saint-Priest,DIETRICH THURAU  (IJSBOERKE-WARNCKE),1979,Bourg-d'Oisans,Saint-Priest,DIETRICH THURAU,IJSBOERKE-WARNCKE
20.0,Saint-Priest > Dijon,SERGIO PARSANI  (BIANCHI-FAEMA),1979,Saint-Priest,Dijon,SERGIO PARSANI,BIANCHI-FAEMA
21.0,Dijon > Dijon,BERNARD HINAULT  (RENAULT-GITANE),1979,Dijon,Dijon,BERNARD HINAULT,RENAULT-GITANE
22.0,Dijon > Auxerre,GERRIE KNETEMANN  (RALEIGH-McGREGOR),1979,Dijon,Auxerre,GERRIE KNETEMANN,RALEIGH-McGREGOR
23.0,Auxerre > Nogent-sur-Marne,BERNARD HINAULT  (RENAULT-GITANE),1979,Auxerre,Nogent-sur-Marne,BERNARD HINAULT,RENAULT-GITANE
24.0,Le Perreux > Paris,BERNARD HINAULT  (RENAULT-GITANE),1979,Le Perreux,Paris,BERNARD HINAULT,RENAULT-GITANE
0.0,Francfort > Francfort,BERNARD HINAULT  (RENAULT-GITANE),1980,Francfort,Francfort,BERNARD HINAULT,RENAULT-GITANE
1.1,Francfort > Wiesbaden,JAN RAAS  (TI-RALEIGH-CREDA),1980,Francfort,Wiesbaden,JAN RAAS,TI-RALEIGH-CREDA
1.2,Wiesbaden > Francfort,TI-RALEIGH-CREDA,1980,Wiesbaden,Francfort,TI-RALEIGH-CREDA,TI-RALEIGH-CREDA
2.0,Francfort > Metz,RUDY PEVENAGE  (IJSBOERKE-WARNCKE-KOGA MIYATA),1980,Francfort,Metz,RUDY PEVENAGE,IJSBOERKE-WARNCKE-KOGA MIYATA
3.0,Metz > Liège,HENK LUBBERDING  (TI-RALEIGH-CREDA),1980,Metz,Liège,HENK LUBBERDING,TI-RALEIGH-CREDA
4.0,Liège > Spa,BERNARD HINAULT  (RENAULT-GITANE),1980,Liège,Spa,BERNARD HINAULT,RENAULT-GITANE
5.0,Liège > Lille,BERNARD HINAULT  (RENAULT-GITANE),1980,Liège,Lille,BERNARD HINAULT,RENAULT-GITANE
6.0,Lille > Compiègne,JEAN-LOUIS GAUTHIER  (MIKO-MERCIER-VIVAGEL),1980,Lille,Compiègne,JEAN-LOUIS GAUTHIER,MIKO-MERCIER-VIVAGEL
7.1,Compiègne > Beauvais,TI-RALEIGH-CREDA,1980,Compiègne,Beauvais,TI-RALEIGH-CREDA,TI-RALEIGH-CREDA
7.2,Beauvais > Rouen,JAN RAAS  (TI-RALEIGH-CREDA),1980,Beauvais,Rouen,JAN RAAS,TI-RALEIGH-CREDA
8.0,Flers > Saint-Malo,BERT OOSTERBOSCH  (TI-RALEIGH-CREDA),1980,Flers,Saint-Malo,BERT OOSTERBOSCH,TI-RALEIGH-CREDA
9.0,Saint-Malo > Nantes,JAN RAAS  (TI-RALEIGH-CREDA),1980,Saint-Malo,Nantes,JAN RAAS,TI-RALEIGH-CREDA
10.0,Rochefort > Bordeaux,CEES PRIEM  (TI-RALEIGH-CREDA),1980,Rochefort,Bordeaux,CEES PRIEM,TI-RALEIGH-CREDA
11.0,Damazan > Laplume,JOOP ZOETEMELK  (TI-RALEIGH-CREDA),1980,Damazan,Laplume,JOOP ZOETEMELK,TI-RALEIGH-CREDA
12.0,Agen > Pau,GERRIE KNETEMANN  (TI-RALEIGH-CREDA),1980,Agen,Pau,GERRIE KNETEMANN,TI-RALEIGH-CREDA
13.0,Pau > Luchon,RAYMOND MARTIN  (MIKO-MERCIER-VIVAGEL),1980,Pau,Luchon,RAYMOND MARTIN,MIKO-MERCIER-VIVAGEL
14.0,Lézignan-Corbières > Montpellier,LUDO PEETERS  (IJSBOERKE-WARNCKE-KOGA MIYATA),1980,Lézignan-Corbières,Montpellier,LUDO PEETERS,IJSBOERKE-WARNCKE-KOGA MIYATA
15.0,Montpellier > Martigues,BERNARD VALLET  (LA REDOUTE-MOTOBECANE),1980,Montpellier,Martigues,BERNARD VALLET,LA REDOUTE-MOTOBECANE
