Stages,Parcours,Winner of stage,Year,Start,Finish,Rider,Team
9.0,Toulouse > Bayonne,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1908 ***),1908,Toulouse,Bayonne,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***
10.0,Bayonne > Bordeaux,GEORGES PAULMIER  (TDF 1908 ***),1908,Bayonne,Bordeaux,GEORGES PAULMIER,TDF 1908 ***
11.0,Bordeaux > Nantes,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1908 ***),1908,Bordeaux,Nantes,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***
12.0,Nantes > Brest,FRANÇOIS FABER  (TDF 1908 ***),1908,Nantes,Brest,FRANÇOIS FABER,TDF 1908 ***
13.0,Brest > Caen,GEORGES PASSERIEU  (TDF 1908 ***),1908,Brest,Caen,GEORGES PASSERIEU,TDF 1908 ***
14.1,Caen > Paris,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1908 ***),1908,Caen,Paris,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***
14.2,Caen > Paris,HENRI CORNET (GEBOREN JARDY)  (TDF 1908 ***),1908,Caen,Paris,HENRI CORNET,TDF 1908 ***
1.0,Paris > Roubaix,CYRILLE VAN HAUWAERT  (ALCYON),1909,Paris,Roubaix,CYRILLE VAN HAUWAERT,ALCYON
2.0,Roubaix > Metz,FRANÇOIS FABER  (ALCYON),1909,Roubaix,Metz,FRANÇOIS FABER,ALCYON
3.0,Metz > Belfort,FRANÇOIS FABER  (ALCYON),1909,Metz,Belfort,FRANÇOIS FABER,ALCYON
4.0,Belfort > Lyon,FRANÇOIS FABER  (ALCYON),1909,Belfort,Lyon,FRANÇOIS FABER,ALCYON
6.0,Grenoble > Nice,FRANÇOIS FABER  (ALCYON),1909,Grenoble,Nice,FRANÇOIS FABER,ALCYON
7.0,Nice > Nimes,"ERNEST, DIT ''FABER ERNEST'' PAUL  (ISOLES)",1909,Nice,Nimes,"ERNEST, DIT ''FABER ERNEST'' PAUL",ISOLES
8.0,Nimes > Toulouse,JEAN ALAVOINE  (ALCYON),1909,Nimes,Toulouse,JEAN ALAVOINE,ALCYON
9.0,Toulouse > Bayonne,CONSTANT MENAGER  (LE GLOBE),1909,Toulouse,Bayonne,CONSTANT MENAGER,LE GLOBE
10.0,Bayonne > Bordeaux,FRANÇOIS FABER  (ALCYON),1909,Bayonne,Bordeaux,FRANÇOIS FABER,ALCYON
11.0,Bordeaux > Nantes,LOUIS TROUSSELIER  (ALCYON),1909,Bordeaux,Nantes,LOUIS TROUSSELIER,ALCYON
12.0,Nantes > Brest,GUSTAVE GARRIGOU  (ALCYON),1909,Nantes,Brest,GUSTAVE GARRIGOU,ALCYON
13.0,Brest > Caen,PAUL DUBOC  (ALCYON),1909,Brest,Caen,PAUL DUBOC,ALCYON
14.0,Caen > Paris,JEAN ALAVOINE  (ALCYON),1909,Caen,Paris,JEAN ALAVOINE,ALCYON
1.0,Paris > Roubaix,CHARLES CRUPELANDT  (LE GLOBE),1910,Paris,Roubaix,CHARLES CRUPELANDT,LE GLOBE
2.0,Roubaix > Metz,FRANÇOIS FABER  (ALCYON),1910,Roubaix,Metz,FRANÇOIS FABER,ALCYON
3.0,Metz > Belfort,EMILE GEORGET  (LEGNANO),1910,Metz,Belfort,EMILE GEORGET,LEGNANO
4.0,Belfort > Lyon,FRANÇOIS FABER  (ALCYON),1910,Belfort,Lyon,FRANÇOIS FABER,ALCYON
5.0,Lyon > Grenoble,OCTAVE LAPIZE  (ALCYON),1910,Lyon,Grenoble,OCTAVE LAPIZE,ALCYON
6.0,Grenoble > Nice,JULIEN MAITRON  (LE GLOBE),1910,Grenoble,Nice,JULIEN MAITRON,LE GLOBE
7.0,Nice > Nimes,FRANÇOIS FABER  (ALCYON),1910,Nice,Nimes,FRANÇOIS FABER,ALCYON
8.0,Nimes > Perpignan,GEORGES PAULMIER  (LE GLOBE),1910,Nimes,Perpignan,GEORGES PAULMIER,LE GLOBE
9.0,Perpignan > Luchon,OCTAVE LAPIZE  (ALCYON),1910,Perpignan,Luchon,OCTAVE LAPIZE,ALCYON
10.0,Luchon > Bayonne,OCTAVE LAPIZE  (ALCYON),1910,Luchon,Bayonne,OCTAVE LAPIZE,ALCYON
11.0,Bayonne > Bordeaux,"ERNEST, DIT ''FABER ERNEST'' PAUL  (ISOLES)",1910,Bayonne,Bordeaux,"ERNEST, DIT ''FABER ERNEST'' PAUL",ISOLES
12.0,Bordeaux > Nantes,LOUIS TROUSSELIER  (ALCYON),1910,Bordeaux,Nantes,LOUIS TROUSSELIER,ALCYON
13.0,Nantes > Brest,GUSTAVE GARRIGOU  (ALCYON),1910,Nantes,Brest,GUSTAVE GARRIGOU,ALCYON
14.0,Brest > Caen,OCTAVE LAPIZE  (ALCYON),1910,Brest,Caen,OCTAVE LAPIZE,ALCYON
15.0,Caen > Paris,ERNESTO AZZINI  (LEGNANO),1910,Caen,Paris,ERNESTO AZZINI,LEGNANO
1.0,Paris > Dunkerque,GUSTAVE GARRIGOU  (ALCYON),1911,Paris,Dunkerque,GUSTAVE GARRIGOU,ALCYON
2.0,Dunkerque > Longwy,JULES MASSELIS  (ALCYON),1911,Dunkerque,Longwy,JULES MASSELIS,ALCYON
3.0,Longwy > Belfort,FRANÇOIS FABER  (ALCYON),1911,Longwy,Belfort,FRANÇOIS FABER,ALCYON
4.0,Belfort > Chamonix,CHARLES CRUPELANDT  (LA FRANCAISE),1911,Belfort,Chamonix,CHARLES CRUPELANDT,LA FRANCAISE
5.0,Chamonix > Grenoble,EMILE GEORGET  (LA FRANCAISE),1911,Chamonix,Grenoble,EMILE GEORGET,LA FRANCAISE
6.0,Grenoble > Nice,FRANÇOIS FABER  (ALCYON),1911,Grenoble,Nice,FRANÇOIS FABER,ALCYON
7.0,Nice > Marseille,CHARLES CRUPELANDT  (LA FRANCAISE),1911,Nice,Marseille,CHARLES CRUPELANDT,LA FRANCAISE
8.0,Marseille > Perpignan,PAUL DUBOC  (LA FRANCAISE),1911,Marseille,Perpignan,PAUL DUBOC,LA FRANCAISE
9.0,Perpignan > Luchon,PAUL DUBOC  (LA FRANCAISE),1911,Perpignan,Luchon,PAUL DUBOC,LA FRANCAISE
10.0,Luchon > Bayonne,MAURICE BROCCO  (ALCYON),1911,Luchon,Bayonne,MAURICE BROCCO,ALCYON
11.0,Bayonne > La Rochelle,PAUL DUBOC  (LA FRANCAISE),1911,Bayonne,La Rochelle,PAUL DUBOC,LA FRANCAISE
12.0,La Rochelle > Brest,MARCEL GODIVIER  (LA FRANCAISE),1911,La Rochelle,Brest,MARCEL GODIVIER,LA FRANCAISE
13.0,Brest > Cherbourg-en-Cotentin,GUSTAVE GARRIGOU  (ALCYON),1911,Brest,Cherbourg-en-Cotentin,GUSTAVE GARRIGOU,ALCYON
14.0,Cherbourg-en-Cotentin > Le Havre,PAUL DUBOC  (LA FRANCAISE),1911,Cherbourg-en-Cotentin,Le Havre,PAUL DUBOC,LA FRANCAISE
15.0,Le Havre > Paris,MARCEL GODIVIER  (LA FRANCAISE),1911,Le Havre,Paris,MARCEL GODIVIER,LA FRANCAISE
1.0,Paris > Dunkerque,CHARLES CRUPELANDT  (LA FRANCAISE),1912,Paris,Dunkerque,CHARLES CRUPELANDT,LA FRANCAISE
2.0,Dunkerque > Longwy,ODIEL DEFRAEYE  (ALCYON),1912,Dunkerque,Longwy,ODIEL DEFRAEYE,ALCYON
3.0,Longwy > Belfort,EUGÈNE CHRISTOPHE  (ARMOR),1912,Longwy,Belfort,EUGÈNE CHRISTOPHE,ARMOR
4.0,Belfort > Chamonix,EUGÈNE CHRISTOPHE  (ARMOR),1912,Belfort,Chamonix,EUGÈNE CHRISTOPHE,ARMOR
5.0,Chamonix > Grenoble,EUGÈNE CHRISTOPHE  (ARMOR),1912,Chamonix,Grenoble,EUGÈNE CHRISTOPHE,ARMOR
6.0,Grenoble > Nice,OCTAVE LAPIZE  (LA FRANCAISE),1912,Grenoble,Nice,OCTAVE LAPIZE,LA FRANCAISE
7.0,Nice > Marseille,ODIEL DEFRAEYE  (ALCYON),1912,Nice,Marseille,ODIEL DEFRAEYE,ALCYON
8.0,Marseille > Perpignan,VICENZO BORGARELLO  (J.B-LOUVET),1912,Marseille,Perpignan,VICENZO BORGARELLO,J.B-LOUVET
9.0,Perpignan > Luchon,ODIEL DEFRAEYE  (ALCYON),1912,Perpignan,Luchon,ODIEL DEFRAEYE,ALCYON
10.0,Luchon > Bayonne,LOUIS MOTTIAT  (THOMANN),1912,Luchon,Bayonne,LOUIS MOTTIAT,THOMANN
11.0,Bayonne > La Rochelle,JEAN ALAVOINE  (ARMOR),1912,Bayonne,La Rochelle,JEAN ALAVOINE,ARMOR
12.0,La Rochelle > Brest,LOUIS HEUSGHEM  (ALCYON),1912,La Rochelle,Brest,LOUIS HEUSGHEM,ALCYON
13.0,Brest > Cherbourg-en-Cotentin,JEAN ALAVOINE  (ARMOR),1912,Brest,Cherbourg-en-Cotentin,JEAN ALAVOINE,ARMOR
14.0,Cherbourg-en-Cotentin > Le Havre,VICENZO BORGARELLO  (J.B-LOUVET),1912,Cherbourg-en-Cotentin,Le Havre,VICENZO BORGARELLO,J.B-LOUVET
15.0,Le Havre > Paris,JEAN ALAVOINE  (ARMOR),1912,Le Havre,Paris,JEAN ALAVOINE,ARMOR
1.0,Paris > Le Havre,CLAUDIO MICHELOTTO  (GRIFFON),1913,Paris,Le Havre,CLAUDIO MICHELOTTO,GRIFFON
2.0,Le Havre > Cherbourg-en-Cotentin,JULES MASSELIS  (ALCYON),1913,Le Havre,Cherbourg-en-Cotentin,JULES MASSELIS,ALCYON
3.0,Cherbourg-en-Cotentin > Brest,HENRI PELISSIER  (ALCYON),1913,Cherbourg-en-Cotentin,Brest,HENRI PELISSIER,ALCYON
4.0,Brest > La Rochelle,MARCEL BUYSSE  (PEUGEOT),1913,Brest,La Rochelle,MARCEL BUYSSE,PEUGEOT
5.0,La Rochelle > Bayonne,HENRI VAN LERBERGHE  (ISOLES),1913,La Rochelle,Bayonne,HENRI VAN LERBERGHE,ISOLES
6.0,Bayonne > Luchon,PHILIPPE THYS  (PEUGEOT),1913,Bayonne,Luchon,PHILIPPE THYS,PEUGEOT
7.0,Luchon > Perpignan,MARCEL BUYSSE  (PEUGEOT),1913,Luchon,Perpignan,MARCEL BUYSSE,PEUGEOT
8.0,Perpignan > Aix en Provence,GUSTAVE GARRIGOU  (PEUGEOT),1913,Perpignan,Aix en Provence,GUSTAVE GARRIGOU,PEUGEOT
9.0,Aix en Provence > Nice,FIRMIN LAMBOT  (GRIFFON),1913,Aix en Provence,Nice,FIRMIN LAMBOT,GRIFFON
10.0,Nice > Grenoble,FRANÇOIS FABER  (PEUGEOT),1913,Nice,Grenoble,FRANÇOIS FABER,PEUGEOT
11.0,Grenoble > Genève,MARCEL BUYSSE  (PEUGEOT),1913,Grenoble,Genève,MARCEL BUYSSE,PEUGEOT
12.0,Genève > Belfort,MARCEL BUYSSE  (PEUGEOT),1913,Genève,Belfort,MARCEL BUYSSE,PEUGEOT
13.0,Belfort > Longwy,FRANÇOIS FABER  (PEUGEOT),1913,Belfort,Longwy,FRANÇOIS FABER,PEUGEOT
14.0,Longwy > Dunkerque,MARCEL BUYSSE  (PEUGEOT),1913,Longwy,Dunkerque,MARCEL BUYSSE,PEUGEOT
15.0,Dunkerque > Paris,MARCEL BUYSSE  (PEUGEOT),1913,Dunkerque,Paris,MARCEL BUYSSE,PEUGEOT
1.0,Paris > Le Havre,PHILIPPE THYS  (PEUGEOT-WOLBER),1914,Paris,Le Havre,PHILIPPE THYS,PEUGEOT-WOLBER
2.0,Le Havre > Cherbourg-en-Cotentin,JEAN ROSSIUS  (ALCYON-SOLY),1914,Le Havre,Cherbourg-en-Cotentin,JEAN ROSSIUS,ALCYON-SOLY
3.0,Cherbourg-en-Cotentin > Brest,EMILE ENGEL  (PEUGEOT-WOLBER),1914,Cherbourg-en-Cotentin,Brest,EMILE ENGEL,PEUGEOT-WOLBER
4.0,Brest > La Rochelle,OSCAR EGG  (PEUGEOT-WOLBER),1914,Brest,La Rochelle,OSCAR EGG,PEUGEOT-WOLBER
5.0,La Rochelle > Bayonne,OSCAR EGG  (PEUGEOT-WOLBER),1914,La Rochelle,Bayonne,OSCAR EGG,PEUGEOT-WOLBER
6.0,Bayonne > Luchon,FIRMIN LAMBOT  (PEUGEOT-WOLBER),1914,Bayonne,Luchon,FIRMIN LAMBOT,PEUGEOT-WOLBER
7.0,Luchon > Perpignan,JEAN ALAVOINE  (PEUGEOT-WOLBER),1914,Luchon,Perpignan,JEAN ALAVOINE,PEUGEOT-WOLBER
8.0,Perpignan > Marseille,OCTAVE LAPIZE  (LA FRANCAISE-HUTCHINSON),1914,Perpignan,Marseille,OCTAVE LAPIZE,LA FRANCAISE-HUTCHINSON
9.0,Marseille > Nice,JEAN ROSSIUS  (ALCYON-SOLY),1914,Marseille,Nice,JEAN ROSSIUS,ALCYON-SOLY
10.0,Nice > Grenoble,HENRI PELISSIER  (PEUGEOT-WOLBER),1914,Nice,Grenoble,HENRI PELISSIER,PEUGEOT-WOLBER
11.0,Grenoble > Genève,GUSTAVE GARRIGOU  (PEUGEOT-WOLBER),1914,Grenoble,Genève,GUSTAVE GARRIGOU,PEUGEOT-WOLBER
12.0,Genève > Belfort,HENRI PELISSIER  (PEUGEOT-WOLBER),1914,Genève,Belfort,HENRI PELISSIER,PEUGEOT-WOLBER
13.0,Belfort > Longwy,FRANÇOIS FABER  (PEUGEOT-WOLBER),1914,Belfort,Longwy,FRANÇOIS FABER,PEUGEOT-WOLBER
14.0,Longwy > Dunkerque,FRANÇOIS FABER  (PEUGEOT-WOLBER),1914,Longwy,Dunkerque,FRANÇOIS FABER,PEUGEOT-WOLBER
15.0,Dunkerque > Paris,HENRI PELISSIER  (PEUGEOT-WOLBER),1914,Dunkerque,Paris,HENRI PELISSIER,PEUGEOT-WOLBER
1.0,Paris > Le Havre,JEAN ROSSIUS  (TDF 1919 ***),1919,Paris,Le Havre,JEAN ROSSIUS,TDF 1919 ***
2.0,Le Havre > Cherbourg-en-Cotentin,HENRI PELISSIER  (TDF 1919 ***),1919,Le Havre,Cherbourg-en-Cotentin,HENRI PELISSIER,TDF 1919 ***
