Stages,Date,Start,Finish,Year
Stage 10.1,1964-07-01,Monaco,Hyères,1964
Stage 10.2,1964-07-01,Hyères,Toulon,1964
Stage 11,1964-07-02,Toulon,Montpellier,1964
Stage 12,1964-07-03,Montpellier,Perpignan,1964
Stage 13,1964-07-04,Perpignan,Andorre,1964
Stage 14,1964-07-06,Andorre,Toulouse,1964
Stage 15,1964-07-07,Toulouse,Luchon,1964
Stage 16,1964-07-08,Luchon,Pau,1964
Stage 17,1964-07-09,Peyrehorade,Bayonne,1964
Stage 18,1964-07-10,Bayonne,Bordeaux,1964
Stage 19,1964-07-11,Bordeaux,Brive-la-Gaillarde,1964
Stage 20,1964-07-12,Brive-la-Gaillarde,Puy de Dôme,1964
Stage 21,1964-07-13,Clermont-Ferrand,Orléans,1964
Stage 22.1,1964-07-14,Orléans,Versailles,1964
Stage 22.2,1964-07-14,Versailles,Paris,1964
Stage 1.1,1965-06-22,Cologne,Liège,1965
Stage 1.2,1965-06-22,Liège,Liège,1965
Stage 2,1965-06-23,Liège,Roubaix,1965
Stage 3,1965-06-24,Roubaix,Rouen,1965
Stage 4,1965-06-25,Caen,Saint-Brieuc,1965
Stage 5.1,1965-06-26,Saint-Brieuc,Chateaulin,1965
Stage 5.2,1965-06-26,Chateaulin,Chateaulin,1965
Stage 6,1965-06-27,Quimper,La Baule,1965
Stage 7,1965-06-28,La Baule,La Rochelle,1965
Stage 8,1965-06-29,La Rochelle,Bordeaux,1965
Stage 9,1965-06-30,Dax,Bagnères-de-Bigorre,1965
Stage 10,1965-07-01,Bagnères-de-Bigorre,Ax-les-Thermes,1965
Stage 11,1965-07-02,Ax-les-Thermes,Barcelone,1965
Stage 12,1965-07-04,Barcelone,Perpignan,1965
Stage 16,1965-07-04,Gap,Briançon,1965
Stage 13,1965-07-05,Perpignan,Montpellier,1965
Stage 14,1965-07-06,Montpellier,Mont Ventoux,1965
Stage 15,1965-07-07,Carpentras,Gap,1965
Stage 17,1965-07-09,Briançon,Aix-les-Bains,1965
Stage 18,1965-07-10,Aix-les-Bains,Mont Revard,1965
Stage 19,1965-07-11,Mont Revard,Lyon,1965
Stage 20,1965-07-12,Lyon,Auxerre,1965
Stage 21,1965-07-13,Auxerre,Versailles,1965
Stage 22,1965-07-14,Versailles,Paris,1965
Stage 1,1966-06-21,Nancy,Charleville-Mézières,1966
Stage 2,1966-06-22,Charleville-Mézières,Tournai,1966
Stage 3.1,1966-06-23,Tournai,Tournai,1966
Stage 3.2,1966-06-23,Tournai,Dunkerque,1966
Stage 4,1966-06-24,Dunkerque,Dieppe,1966
Stage 5,1966-06-25,Dieppe,Caen,1966
Stage 6,1966-06-26,Caen,Angers,1966
Stage 7,1966-06-27,Angers,Royan,1966
Stage 8,1966-06-28,Royan,Bordeaux,1966
Stage 9,1966-06-29,Bordeaux,Bayonne,1966
Stage 10,1966-06-30,Bayonne,Pau,1966
Stage 11,1966-07-01,Pau,Luchon,1966
Stage 12,1966-07-03,Luchon,Revel,1966
Stage 13,1966-07-04,Revel,Sète,1966
Stage 14.1,1966-07-05,Montpellier,Aubenas,1966
Stage 14.2,1966-07-05,Aubenas,Vals-les-Bains,1966
Stage 15,1966-07-06,Privas,Bourg-d'Oisans,1966
Stage 16,1966-07-07,Bourg-d'Oisans,Briançon,1966
Stage 17,1966-07-08,Briançon,Turin,1966
Stage 18,1966-07-10,Ivrea,Chamonix,1966
Stage 19,1966-07-11,Chamonix,Saint-Etienne,1966
Stage 20,1966-07-12,Saint-Etienne,Montluçon,1966
Stage 21,1966-07-13,Montluçon,Orléans,1966
Stage 22.1,1966-07-14,Orléans,Rambouillet,1966
Stage 22.2,1966-07-14,Rambouillet,Paris,1966
Prologue,1967-06-29,Angers,Angers,1967
Stage 1,1967-06-30,Angers,Saint-Malo,1967
Stage 2,1967-07-01,Saint-Malo,Caen,1967
Stage 3,1967-07-02,Caen,Amiens,1967
Stage 4,1967-07-03,Amiens,Roubaix,1967
Stage 5.1,1967-07-04,Roubaix,Jambes,1967
Stage 5.2,1967-07-04,Jambes,Jambes,1967
Stage 6,1967-07-05,Jambes,Metz,1967
Stage 7,1967-07-06,Metz,Strasbourg,1967
Stage 8,1967-07-07,Strasbourg,Ballon d'Alsace,1967
Stage 9,1967-07-09,Belfort,Divonne,1967
Stage 10,1967-07-10,Divonne,Briançon,1967
Stage 11,1967-07-11,Briançon,Digne-les-Bains,1967
Stage 12,1967-07-12,Digne-les-Bains,Marseille,1967
Stage 13,1967-07-13,Marseille,Carpentras,1967
Stage 14,1967-07-14,Carpentras,Sète,1967
Stage 15,1967-07-16,Sète,Toulouse,1967
Stage 16,1967-07-17,Toulouse,Luchon,1967
Stage 17,1967-07-18,Luchon,Pau,1967
Stage 18,1967-07-19,Pau,Bordeaux,1967
Stage 19,1967-07-20,Bordeaux,Limoges,1967
Stage 20,1967-07-21,Limoges,Puy de Dôme,1967
Stage 21,1967-07-22,Clermont-Ferrand,Fontainebleau,1967
Stage 22.1,1967-07-23,Fontainebleau,Versailles,1967
Stage 22.2,1967-07-23,Versailles,Paris,1967
Prologue,1968-06-27,Vittel,Vittel,1968
Stage 1,1968-06-28,Vittel,Esch-sur-Alzette,1968
Stage 2,1968-06-29,Arlon,Forest,1968
Stage 3.1,1968-06-30,Forest,Forest,1968
Stage 3.2,1968-06-30,Forest,Roubaix,1968
Stage 4,1968-07-01,Roubaix,Rouen,1968
Stage 5.1,1968-07-02,Rouen,Bagnoles-de-l'Orne,1968
Stage 5.2,1968-07-02,Bagnoles-de-l'Orne,Dinard,1968
Stage 6,1968-07-03,Dinard,Lorient,1968
Stage 7,1968-07-04,Lorient,Nantes,1968
Stage 8,1968-07-05,Nantes,Royan,1968
Stage 9,1968-07-07,Royan,Bordeaux,1968
Stage 10,1968-07-08,Bordeaux,Bayonne,1968
Stage 11,1968-07-09,Bayonne,Pau,1968
Stage 12,1968-07-10,Pau,Saint Gaudens,1968
Stage 13,1968-07-11,Saint Gaudens,Seo de Urgel,1968
Stage 14,1968-07-12,Seo de Urgel,Canet-Plage,1968
Stage 15,1968-07-14,Font Romeu,Albi,1968
Stage 16,1968-07-15,Albi,Aurillac,1968
Stage 17,1968-07-16,Aurillac,Saint-Etienne,1968
Stage 18,1968-07-17,Saint-Etienne,Grenoble,1968
Stage 19,1968-07-18,Grenoble,Sallanches,1968
Stage 20,1968-07-19,Sallanches,Besançon,1968
Stage 21,1968-07-20,Besançon,Auxerre,1968
Stage 22.1,1968-07-21,Auxerre,Melun,1968
Stage 22.2,1968-07-21,Melun,Paris,1968
Prologue,1969-06-28,Roubaix,Roubaix,1969
Stage 1.1,1969-06-29,Roubaix,Woluwé-Saint-Pierre,1969
Stage 1.2,1969-06-29,Woluwé-Saint-Pierre,Woluwé-Saint-Pierre,1969
Stage 2,1969-06-30,Woluwé-Saint-Pierre,Maastricht,1969
Stage 3,1969-07-01,Maastricht,Charleville-Mézières,1969
Stage 4,1969-07-02,Charleville-Mézières,Nancy,1969
Stage 5,1969-07-03,Nancy,Mulhouse,1969
Stage 6,1969-07-04,Mulhouse,Ballon d'Alsace,1969
Stage 7,1969-07-05,Belfort,Divonne,1969
Stage 8.1,1969-07-06,Divonne,Divonne,1969
Stage 8.2,1969-07-06,Divonne,Thonon,1969
Stage 9,1969-07-07,Thonon,Chamonix,1969
Stage 10,1969-07-08,Chamonix,Briançon,1969
Stage 11,1969-07-09,Briançon,Digne-les-Bains,1969
Stage 12,1969-07-10,Digne-les-Bains,Aubagne,1969
Stage 13,1969-07-11,Aubagne,La Grande-Motte,1969
Stage 14,1969-07-12,La Grande-Motte,Revel,1969
Stage 15,1969-07-13,Revel,Revel,1969
Stage 16,1969-07-14,Castelnaudary,Luchon,1969
Stage 17,1969-07-15,Luchon,Mourenx,1969
Stage 18,1969-07-16,Mourenx,Bordeaux,1969
Stage 19,1969-07-17,Libourne,Brive-la-Gaillarde,1969
Stage 20,1969-07-18,Brive-la-Gaillarde,Puy de Dôme,1969
Stage 21,1969-07-19,Clermont-Ferrand,Montargis,1969
Stage 22.1,1969-07-20,Montargis,Créteil,1969
Stage 22.2,1969-07-20,Créteil,Paris,1969
Prologue,1970-06-26,Limoges,Limoges,1970
Stage 1,1970-06-27,Limoges,La Rochelle,1970
Stage 2,1970-06-28,La Rochelle,Angers,1970
Stage 3.1,1970-06-29,Angers,Angers,1970
Stage 3.2,1970-06-29,Angers,Rennes,1970
Stage 4,1970-06-30,Rennes,Lisieux,1970
Stage 5.1,1970-07-01,Lisieux,Rouen,1970
Stage 5.2,1970-07-01,Rouen,Amiens,1970
Stage 6,1970-07-02,Amiens,Valenciennes,1970
Stage 7.1,1970-07-03,Valenciennes,Forest,1970
Stage 7.2,1970-07-03,Forest,Forest,1970
Stage 8,1970-07-04,Ciney,Feldsberg,1970
Stage 9,1970-07-05,Sarrelouis,Mulhouse,1970
Stage 10,1970-07-06,Belfort,Divonne,1970
Stage 11.1,1970-07-07,Divonne,Divonne,1970
Stage 11.2,1970-07-07,Divonne,Thonon,1970
Stage 12,1970-07-08,Thonon,Grenoble,1970
Stage 13,1970-07-09,Grenoble,Gap,1970
Stage 14,1970-07-10,Gap,Mont Ventoux,1970
Stage 15,1970-07-11,Carpentras,Montpellier,1970
Stage 16,1970-07-12,Montpellier,Toulouse,1970
Stage 17,1970-07-13,Toulouse,Saint Gaudens,1970
Stage 18,1970-07-14,Saint Gaudens,La Mongie,1970
Stage 19,1970-07-15,Bagnères-de-Bigorre,Mourenx,1970
Stage 20.1,1970-07-16,Mourenx,Bordeaux,1970
Stage 20.2,1970-07-16,Bordeaux,Bordeaux,1970
Stage 21,1970-07-17,Ruffec,Tours,1970
Stage 22,1970-07-18,Tours,Versailles,1970
Stage 23,1970-07-19,Versailles,Paris,1970
Prologue,1971-06-26,Mulhouse,Mulhouse,1971
Stage 1.1,1971-06-27,Mulhouse,Bâle,1971
Stage 1.2,1971-06-27,Bâle,Fribourg,1971
Stage 1.3,1971-06-27,Fribourg,Mulhouse,1971
Stage 2,1971-06-28,Mulhouse,Strasbourg,1971
Stage 3,1971-06-29,Strasbourg,Nancy,1971
Stage 4,1971-06-30,Nancy,Marche en Famenne,1971
Stage 5,1971-07-01,Dinant,Roubaix,1971
Stage 6.1,1971-07-02,Roubaix,Amiens,1971
Stage 6.2,1971-07-02,Amiens,Le Touquet-Paris-Plage,1971
Stage 7,1971-07-04,Rungis,Nevers,1971
Stage 8,1971-07-05,Nevers,Puy de Dôme,1971
Stage 9,1971-07-06,Clermont-Ferrand,Saint-Etienne,1971
Stage 10,1971-07-07,Saint-Etienne,Grenoble,1971
Stage 11,1971-07-08,Grenoble,Orcières-Merlette,1971
Stage 12,1971-07-10,Orcières-Merlette,Marseille,1971
Stage 13,1971-07-11,Albi,Albi,1971
Stage 14,1971-07-12,Revel,Luchon,1971
Stage 15,1971-07-13,Luchon,Superbagnères,1971
Stage 16.1,1971-07-14,Luchon,Gourette,1971
Stage 16.2,1971-07-14,Gourette,Pau,1971
Stage 17,1971-07-15,Mont de Marsan,Bordeaux,1971
Stage 18,1971-07-16,Bordeaux,Poitiers,1971
Stage 19,1971-07-17,Blois,Versailles,1971
Stage 20,1971-07-18,Versailles,Paris,1971
Prologue,1972-07-01,Angers,Angers,1972
Stage 1,1972-07-02,Angers,Saint-Brieuc,1972
Stage 2,1972-07-03,Saint-Brieuc,La Baule,1972
Stage 3.1,1972-07-04,Pornichet,Saint-Jean-de-Monts,1972
Stage 3.2,1972-07-04,Merlin-Plage,Merlin-Plage,1972
Stage 4,1972-07-05,Merlin-Plage,Royan,1972
Stage 5.1,1972-07-06,Royan,Bordeaux,1972
Stage 5.2,1972-07-06,Bordeaux,Bordeaux,1972
Stage 6,1972-07-07,Bordeaux,Bayonne,1972
Stage 7,1972-07-09,Bayonne,Pau,1972
Stage 8,1972-07-10,Pau,Luchon,1972
Stage 9,1972-07-11,Luchon,Colomiers,1972
Stage 10,1972-07-12,Castres,La Grande-Motte,1972
Stage 11,1972-07-13,Carnon,Mont Ventoux,1972
Stage 12,1972-07-14,Carpentras,Orcières-Merlette,1972
Stage 13,1972-07-16,Orcières-Merlette,Briançon,1972
Stage 14.1,1972-07-17,Briançon,Valloire,1972
Stage 14.2,1972-07-17,Valloire,Aix-les-Bains,1972
Stage 15,1972-07-18,Aix-les-Bains,Mont Revard,1972
Stage 16,1972-07-19,Aix-les-Bains,Pontarlier,1972
Stage 17,1972-07-20,Pontarlier,Ballon d'Alsace,1972
Stage 18,1972-07-21,Vesoul,Auxerre,1972
Stage 19,1972-07-22,Auxerre,Versailles,1972
Stage 20.1,1972-07-23,Versailles,Versailles,1972
Stage 20.2,1972-07-23,Versailles,Paris,1972
Prologue,1973-06-30,Scheveningen,Scheveningen,1973
Stage 1.1,1973-07-01,Scheveningen,Rotterdam,1973
Stage 1.2,1973-07-01,Rotterdam,Saint-Nicolas,1973
Stage 2.1,1973-07-02,Saint-Nicolas,Saint-Nicolas,1973
Stage 2.2,1973-07-02,Saint-Nicolas,Roubaix,1973
Stage 3,1973-07-03,Roubaix,Reims,1973
Stage 4,1973-07-04,Reims,Nancy,1973
Stage 5,1973-07-05,Nancy,Mulhouse,1973
Stage 6,1973-07-06,Belfort,Divonne,1973
Stage 7.1,1973-07-08,Divonne,Gaillard,1973
Stage 7.2,1973-07-08,Gaillard,Méribel,1973
Stage 8,1973-07-09,Moûtiers,Les Orres,1973
Stage 9,1973-07-10,Embrun,Nice,1973
Stage 10,1973-07-11,Nice,Aubagne,1973
Stage 11,1973-07-12,Montpellier,Argelès,1973
Stage 12.1,1973-07-13,Perpignan,Thuir,1973
Stage 12.2,1973-07-13,Thuir,Pyrénées 2000,1973
Stage 13,1973-07-15,Bourg-Madame,Luchon,1973
Stage 14,1973-07-16,Luchon,Pau,1973
Stage 15,1973-07-17,Pau,Fleurance,1973
Stage 16.1,1973-07-18,Fleurance,Bordeaux,1973
Stage 16.2,1973-07-18,Bordeaux,Bordeaux,1973
Stage 17,1973-07-19,Sainte-Foy-la-Grande,Brive-la-Gaillarde,1973
Stage 18,1973-07-20,Brive-la-Gaillarde,Puy de Dôme,1973
Stage 19,1973-07-21,Bourges,Versailles,1973
Stage 20.1,1973-07-22,Versailles,Versailles,1973
Stage 20.2,1973-07-22,Versailles,Paris,1973
Prologue,1974-06-27,Brest,Brest,1974
Stage 1,1974-06-28,Brest,Saint-Pol de Léon,1974
Stage 2,1974-06-29,Plymouth,Plymouth,1974
Stage 3,1974-06-30,Morlaix,Saint-Malo,1974
Stage 4,1974-07-01,Saint-Malo,Caen,1974
Stage 5,1974-07-02,Caen,Dieppe,1974
Stage 6.1,1974-07-03,Dieppe,Harelbeke,1974
Stage 6.2,1974-07-03,Harelbeke,Harelbeke,1974
Stage 7,1974-07-04,Mons,Chalons-sur-Marne,1974
Stage 8.1,1974-07-05,Chalons-sur-Marne,Chaumont,1974
Stage 8.2,1974-07-05,Chaumont,Besançon,1974
Stage 9,1974-07-06,Besançon,Gaillard,1974
Stage 10,1974-07-07,Gaillard,Aix-les-Bains,1974
Stage 11,1974-07-09,Aix-les-Bains,Serre-Chevalier,1974
Stage 12,1974-07-10,Savines,Orange,1974
Stage 13,1974-07-11,Avignon,Montpellier,1974
Stage 14,1974-07-12,Lodève,Colomiers,1974
Stage 15,1974-07-14,Colomiers,Seo de Urgel,1974
Stage 16,1974-07-15,Seo de Urgel,Saint-Lary-Soulan Col du Portet,1974
Stage 17,1974-07-16,Saint-Lary-Soulan Col du Portet,Col du Tourmalet,1974
Stage 18,1974-07-17,Bagnères-de-Bigorre,Pau,1974
Stage 19.1,1974-07-18,Pau,Bordeaux,1974
Stage 19.2,1974-07-18,Bordeaux,Bordeaux,1974
Stage 20,1974-07-19,Saint-Gilles-Croix-de-Vie,Nantes,1974
Stage 21.1,1974-07-20,Vouvray,Orléans,1974
Stage 21.2,1974-07-20,Orléans,Orléans,1974
Stage 22,1974-07-21,Orléans,Paris,1974
Prologue,1975-06-26,Charleroi,Charleroi,1975
Stage 1.1,1975-06-27,Charleroi,Molenbeek,1975
Stage 1.2,1975-06-27,Molenbeek,Roubaix,1975
Stage 2,1975-06-28,Roubaix,Amiens,1975
Stage 3,1975-06-29,Amiens,Versailles,1975
Stage 4,1975-06-30,Versailles,Le Mans,1975
Stage 5,1975-07-01,Sablé,Merlin-Plage,1975
Stage 6,1975-07-02,Merlin-Plage,Merlin-Plage,1975
Stage 7,1975-07-03,Saint-Gilles-Croix-de-Vie,Angoulême,1975
Stage 8,1975-07-04,Angoulême,Bordeaux,1975
Stage 9.1,1975-07-05,Langon,Fleurance,1975
Stage 9.2,1975-07-05,Fleurance,Auch,1975
Stage 10,1975-07-07,Auch,Pau,1975
Stage 11,1975-07-08,Pau,Saint-Lary-Soulan Col du Portet,1975
Stage 12,1975-07-09,Tarbes,Albi,1975
Stage 13,1975-07-10,Albi,Super-Lioran,1975
Stage 14,1975-07-11,Aurillac,Puy de Dôme,1975
Stage 15,1975-07-13,Nice,Pra Loup,1975
Stage 16,1975-07-14,Barcelonnette,Serre-Chevalier,1975
Stage 17,1975-07-15,Valloire,Avoriaz,1975
Stage 18,1975-07-16,Morzine,Châtel,1975
Stage 19,1975-07-17,Thonon,Chalon-sur-Saône,1975
Stage 20,1975-07-18,Pouilly-en-Auxois,Melun,1975
Stage 21,1975-07-19,Melun,Senlis,1975
Stage 22,1975-07-20,Paris,Paris,1975
Prologue,1976-06-24,Merlin-Plage,Saint-Jean-de-Monts,1976
Stage 1,1976-06-25,Merlin-Plage,Angers,1976
Stage 2,1976-06-26,Angers,Caen,1976
Stage 3,1976-06-27,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,1976
Stage 4,1976-06-28,Le Touquet-Paris-Plage,Bornem,1976
Stage 5.1,1976-06-29,Louvain,Louvain,1976
Stage 5.2,1976-06-29,Louvain,Verviers,1976
Stage 6,1976-06-30,Bastogne,Nancy,1976
Stage 7,1976-07-01,Nancy,Mulhouse,1976
Stage 8,1976-07-02,Beaulieu,Divonne,1976
Stage 9,1976-07-04,Divonne,L'Alpe-d'Huez,1976
Stage 10,1976-07-05,Bourg-d'Oisans,Montgenèvre,1976
Stage 11,1976-07-06,Montgenèvre,Manosque,1976
Stage 12,1976-07-08,Port Barcarès,Pyrénées 2000,1976
Stage 13,1976-07-09,Font Romeu,Saint Gaudens,1976
Stage 14,1976-07-10,Saint Gaudens,Saint-Lary-Soulan Col du Portet,1976
Stage 15,1976-07-11,Saint-Lary-Soulan Col du Portet,Pau,1976
Stage 16,1976-07-12,Pau,Fleurance,1976
Stage 17,1976-07-13,Fleurance,Auch,1976
Stage 18.1,1976-07-14,Auch,Langon,1976
Stage 18.2,1976-07-14,Langon,Lacanau,1976
Stage 18.3,1976-07-14,Lacanau,Bordeaux,1976
Stage 19,1976-07-15,Sainte-Foy-la-Grande,Tulle,1976
Stage 20,1976-07-16,Tulle,Puy de Dôme,1976
Stage 21,1976-07-17,Montargis,Versailles,1976
Stage 22.1,1976-07-18,Versailles,Paris,1976
Stage 22.2,1976-07-18,Paris,Paris,1976
Prologue,1977-06-30,Fleurance,Fleurance,1977
Stage 1,1977-07-01,Fleurance,Auch,1977
Stage 2,1977-07-02,Auch,Pau,1977
Stage 3,1977-07-03,Oloron,Vitoria,1977
Stage 4,1977-07-04,Vitoria,Seignosse,1977
Stage 5.1,1977-07-05,Morcenx,Bordeaux,1977
Stage 5.2,1977-07-05,Bordeaux,Bordeaux,1977
Stage 6,1977-07-07,Bordeaux,Limoges,1977
Stage 7.1,1977-07-08,Jaunay-Clan,Angers,1977
Stage 7.2,1977-07-08,Angers,Angers,1977
Stage 8,1977-07-09,Angers,Lorient,1977
Stage 9,1977-07-10,Lorient,Rennes,1977
Stage 10,1977-07-11,Bagnoles-de-l'Orne,Rouen,1977
Stage 11,1977-07-12,Rouen,Roubaix,1977
Stage 12,1977-07-13,Roubaix,Charleroi,1977
Stage 13.1,1977-07-15,Charleroi,Fribourg,1977
Stage 13.2,1977-07-15,Altkirch,Besançon,1977
Stage 14,1977-07-16,Besançon,Thonon,1977
Stage 15.1,1977-07-17,Thonon,Morzine,1977
Stage 15.2,1977-07-17,Morzine,Avoriaz,1977
Stage 16,1977-07-18,Morzine,Chamonix,1977
Stage 17,1977-07-19,Chamonix,L'Alpe-d'Huez,1977
Stage 18,1977-07-20,Voiron,Saint-Etienne,1977
Stage 19,1977-07-21,Saint-Trivier,Dijon,1977
Stage 20,1977-07-22,Dijon,Dijon,1977
Stage 21,1977-07-23,Montereau,Versailles,1977
Stage 22.1,1977-07-24,Versailles,Paris,1977
Stage 22.2,1977-07-24,Paris,Paris,1977
Prologue,1978-06-29,Leiden,Leiden,1978
Stage 1.1,1978-06-30,Leiden,Saint-Willebrord,1978
Stage 1.2,1978-06-30,Saint-Willebrord,Bruxelles,1978
Stage 2,1978-07-01,Bruxelles,Saint-Amand-les-Eaux,1978
Stage 3,1978-07-02,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,1978
Stage 4,1978-07-03,Evreux,Caen,1978
Stage 5,1978-07-04,Caen,Mazé-Montgeoffroy,1978
Stage 6,1978-07-05,Mazé-Montgeoffroy,Poitiers,1978
Stage 7,1978-07-06,Poitiers,Bordeaux,1978
Stage 8,1978-07-07,Saint-Emilion,Sainte-Foy-la-Grande,1978
Stage 9,1978-07-08,Bordeaux,Biarritz,1978
Stage 10,1978-07-10,Biarritz,Pau,1978
Stage 11,1978-07-11,Pau,Saint-Lary-Soulan Col du Portet,1978
Stage 12.1,1978-07-12,Tarbes,Valence d'Agen,1978
Stage 12.2,1978-07-12,Valence d'Agen,Toulouse,1978
Stage 13,1978-07-13,Figeac,Superbesse,1978
Stage 14,1978-07-14,Besse-en-Ch.,Puy de Dôme,1978
Stage 15,1978-07-15,Saint-Dier-d'Auvergne,Saint-Etienne,1978
Stage 16,1978-07-16,Saint-Etienne,L'Alpe-d'Huez,1978
Stage 17,1978-07-18,Grenoble,Morzine,1978
Stage 18,1978-07-19,Morzine,Lausanne,1978
Stage 19,1978-07-20,Lausanne,Belfort,1978
Stage 20,1978-07-21,Metz,Nancy,1978
Stage 21,1978-07-22,Épernay,Senlis,1978
Stage 22,1978-07-23,Saint-Germain-en-Laye,Paris,1978
Prologue,1979-06-27,Fleurance,Fleurance,1979
Stage 1,1979-06-28,Fleurance,Luchon,1979
Stage 2,1979-06-29,Luchon,Superbagnères,1979
Stage 3,1979-06-30,Luchon,Pau,1979
Stage 4,1979-07-01,Captieux,Bordeaux,1979
Stage 5,1979-07-02,Neuville-de-Poitou,Angers,1979
Stage 6,1979-07-03,Angers,Saint-Brieuc,1979
Stage 7,1979-07-04,Saint-Hilaire du Harcouët,Deauville,1979
Stage 8,1979-07-05,Deauville,Le Havre,1979
Stage 9,1979-07-06,Amiens,Roubaix,1979
Stage 10,1979-07-07,Roubaix,Bruxelles,1979
Stage 11,1979-07-08,Bruxelles,Bruxelles,1979
Stage 12,1979-07-09,Rochefort,Metz,1979
Stage 13,1979-07-10,Metz,Ballon d'Alsace,1979
Stage 14,1979-07-12,Belfort,Evian-les-Bains,1979
Stage 15,1979-07-13,Evian-les-Bains,Avoriaz,1979
Stage 16,1979-07-14,Morzine,Les Menuires,1979
Stage 17,1979-07-15,Les Menuires,L'Alpe-d'Huez,1979
Stage 18,1979-07-16,L'Alpe-d'Huez,L'Alpe-d'Huez,1979
Stage 19,1979-07-17,Bourg-d'Oisans,Saint-Priest,1979
Stage 20,1979-07-18,Saint-Priest,Dijon,1979
Stage 21,1979-07-19,Dijon,Dijon,1979
Stage 22,1979-07-20,Dijon,Auxerre,1979
Stage 23,1979-07-21,Auxerre,Nogent-sur-Marne,1979
Stage 24,1979-07-22,Le Perreux,Paris,1979
Prologue,1980-06-26,Francfort,Francfort,1980
Stage 1.1,1980-06-27,Francfort,Wiesbaden,1980
Stage 1.2,1980-06-27,Wiesbaden,Francfort,1980
Stage 2,1980-06-28,Francfort,Metz,1980
Stage 3,1980-06-29,Metz,Liège,1980
Stage 4,1980-06-30,Liège,Spa,1980
Stage 5,1980-07-01,Liège,Lille,1980
Stage 6,1980-07-02,Lille,Compiègne,1980
Stage 7.1,1980-07-03,Compiègne,Beauvais,1980
Stage 7.2,1980-07-03,Beauvais,Rouen,1980
Stage 8,1980-07-04,Flers,Saint-Malo,1980
Stage 9,1980-07-06,Saint-Malo,Nantes,1980
Stage 10,1980-07-07,Rochefort,Bordeaux,1980
Stage 11,1980-07-08,Damazan,Laplume,1980
Stage 12,1980-07-09,Agen,Pau,1980
Stage 13,1980-07-10,Pau,Luchon,1980
Stage 14,1980-07-11,Lézignan-Corbières,Montpellier,1980
Stage 15,1980-07-12,Montpellier,Martigues,1980
Stage 16,1980-07-13,Trets,Pra Loup,1980
Stage 17,1980-07-14,Serre-Chevalier,Morzine,1980
Stage 18,1980-07-16,Morzine,Prapoutel,1980
Stage 19,1980-07-17,Voreppe,Saint-Etienne,1980
Stage 20,1980-07-18,Saint-Etienne,Saint-Etienne,1980
Stage 21,1980-07-19,Auxerre,Fontenay-sous-Bois,1980
Stage 22,1980-07-20,Fontenay-sous-Bois,Paris,1980
Prologue,1981-06-25,Nice,Nice,1981
Stage 1.1,1981-06-26,Nice,Nice,1981
Stage 1.2,1981-06-26,Nice,Antibes,1981
Stage 2,1981-06-27,Nice,Martigues,1981
Stage 3,1981-06-28,Martigues,Narbonne,1981
Stage 4,1981-06-29,Narbonne,Carcassonne,1981
Stage 5,1981-06-30,Saint Gaudens,Saint-Lary-Soulan Col du Portet,1981
Stage 6,1981-07-01,Nay,Pau,1981
Stage 7,1981-07-02,Pau,Bordeaux,1981
Stage 8,1981-07-03,Rochefort,Nantes,1981
Stage 9,1981-07-05,Nantes,Le Mans,1981
Stage 10,1981-07-06,Le Mans,Aulnay-sous-Bois,1981
Stage 11,1981-07-07,Compiègne,Roubaix,1981
Stage 12.1,1981-07-08,Roubaix,Bruxelles,1981
Stage 12.2,1981-07-08,Bruxelles,Zolder,1981
Stage 13,1981-07-09,Beringen,Hasselt,1981
Stage 14,1981-07-10,Hasselt,Mulhouse,1981
Stage 15,1981-07-11,Besançon,Thonon,1981
Stage 16,1981-07-12,Thonon,Morzine,1981
Stage 17,1981-07-14,Morzine,L'Alpe-d'Huez,1981
Stage 18,1981-07-15,L'Alpe-d'Huez,Le Pleynet,1981
Stage 19,1981-07-16,Veurey,Saint-Priest,1981
Stage 20,1981-07-17,Saint-Priest,Saint-Priest,1981
Stage 21,1981-07-18,Auxerre,Fontenay-sous-Bois,1981
Stage 22,1981-07-19,Fontenay-sous-Bois,Paris,1981
Prologue,1982-07-02,Bâle,Bâle,1982
Stage 1,1982-07-03,Mohlin,Mohlin,1982
Stage 2,1982-07-04,Bâle,Nancy,1982
Stage 3,1982-07-05,Nancy,Longwy,1982
Stage 4,1982-07-06,Beauraing,Mouscron,1982
Stage 5,1982-07-07,Orchies,Fontaine-au-Pire,1982
Stage 6,1982-07-08,Lille,Lille,1982
Stage 7,1982-07-10,Cancale,Concarneau,1982
Stage 8,1982-07-11,Concarneau,Chateaulin,1982
Stage 9.1,1982-07-12,Lorient,Plumelec,1982
Stage 9.2,1982-07-13,Plumelec,Nantes,1982
Stage 10,1982-07-13,Saintes,Bordeaux,1982
Stage 11,1982-07-14,Bordeaux,Valence d'Agen,1982
Stage 12,1982-07-15,Fleurance,Pau,1982
Stage 13,1982-07-16,Pau,Saint-Lary-Soulan Col du Portet,1982
Stage 14,1982-07-18,Martigues,Martigues,1982
Stage 15,1982-07-19,Manosque,Orcières-Merlette,1982
Stage 16,1982-07-20,Orcières-Merlette,L'Alpe-d'Huez,1982
Stage 17,1982-07-21,Bourg-d'Oisans,Morzine,1982
