Stages,Date,Start,Finish,Year
Stage 9,1919-07-15,Marseille,Nice,1919
Stage 10,1919-07-17,Nice,Grenoble,1919
Stage 11,1919-07-19,Grenoble,Genève,1919
Stage 12,1919-07-21,Genève,Strasbourg,1919
Stage 13,1919-07-23,Strasbourg,Metz,1919
Stage 14,1919-07-25,Metz,Dunkerque,1919
Stage 15,1919-07-27,Dunkerque,Paris,1919
Stage 1,1920-06-27,Paris,Le Havre,1920
Stage 2,1920-06-29,Le Havre,Cherbourg-en-Cotentin,1920
Stage 3,1920-07-01,Cherbourg-en-Cotentin,Brest,1920
Stage 4,1920-07-03,Brest,Les Sables,1920
Stage 5,1920-07-05,Les Sables,Bayonne,1920
Stage 6,1920-07-07,Bayonne,Luchon,1920
Stage 7,1920-07-09,Luchon,Perpignan,1920
Stage 8,1920-07-11,Perpignan,Aix en Provence,1920
Stage 9,1920-07-13,Aix en Provence,Nice,1920
Stage 10,1920-07-15,Nice,Grenoble,1920
Stage 11,1920-07-17,Grenoble,Gex,1920
Stage 12,1920-07-19,Gex,Strasbourg,1920
Stage 13,1920-07-21,Strasbourg,Metz,1920
Stage 14,1920-07-23,Metz,Dunkerque,1920
Stage 15,1920-07-25,Dunkerque,Paris,1920
Stage 1,1921-06-26,Paris,Le Havre,1921
Stage 2,1921-06-28,Le Havre,Cherbourg-en-Cotentin,1921
Stage 3,1921-06-30,Cherbourg-en-Cotentin,Brest,1921
Stage 4,1921-07-02,Brest,Les Sables,1921
Stage 5,1921-07-04,Les Sables,Bayonne,1921
Stage 6,1921-07-06,Bayonne,Luchon,1921
Stage 7,1921-07-08,Luchon,Perpignan,1921
Stage 8,1921-07-10,Perpignan,Toulon,1921
Stage 9,1921-07-12,Toulon,Nice,1921
Stage 10,1921-07-14,Nice,Grenoble,1921
Stage 11,1921-07-16,Grenoble,Genève,1921
Stage 12,1921-07-18,Genève,Strasbourg,1921
Stage 13,1921-07-20,Strasbourg,Metz,1921
Stage 14,1921-07-22,Metz,Dunkerque,1921
Stage 15,1921-07-24,Dunkerque,Paris,1921
Stage 1,1922-06-25,Paris,Le Havre,1922
Stage 2,1922-06-27,Le Havre,Cherbourg-en-Cotentin,1922
Stage 3,1922-06-29,Cherbourg-en-Cotentin,Brest,1922
Stage 4,1922-07-01,Brest,Les Sables,1922
Stage 5,1922-07-03,Les Sables,Bayonne,1922
Stage 6,1922-07-05,Bayonne,Luchon,1922
Stage 7,1922-07-07,Luchon,Perpignan,1922
Stage 8,1922-07-09,Perpignan,Toulon,1922
Stage 9,1922-07-11,Toulon,Nice,1922
Stage 10,1922-07-13,Nice,Briançon,1922
Stage 11,1922-07-15,Briançon,Genève,1922
Stage 12,1922-07-17,Genève,Strasbourg,1922
Stage 13,1922-07-19,Strasbourg,Metz,1922
Stage 14,1922-07-21,Metz,Dunkerque,1922
Stage 15,1922-07-23,Dunkerque,Paris,1922
Stage 1,1923-06-24,Paris,Le Havre,1923
Stage 2,1923-06-26,Le Havre,Cherbourg-en-Cotentin,1923
Stage 3,1923-06-28,Cherbourg-en-Cotentin,Brest,1923
Stage 4,1923-06-30,Brest,Les Sables,1923
Stage 5,1923-07-02,Les Sables,Bayonne,1923
Stage 6,1923-07-04,Bayonne,Luchon,1923
Stage 7,1923-07-06,Luchon,Perpignan,1923
Stage 8,1923-07-08,Perpignan,Toulon,1923
Stage 9,1923-07-10,Toulon,Nice,1923
Stage 10,1923-07-12,Nice,Briançon,1923
Stage 11,1923-07-14,Briançon,Genève,1923
Stage 12,1923-07-16,Genève,Strasbourg,1923
Stage 13,1923-07-18,Strasbourg,Metz,1923
Stage 14,1923-07-20,Metz,Dunkerque,1923
Stage 15,1923-07-22,Dunkerque,Paris,1923
Stage 1,1924-01-01,Paris,Le Havre,1924
Stage 2,1924-01-01,Le Havre,Cherbourg-en-Cotentin,1924
Stage 3,1924-01-01,Cherbourg-en-Cotentin,Brest,1924
Stage 4,1924-01-01,Brest,Les Sables,1924
Stage 5,1924-01-01,Les Sables,Bayonne,1924
Stage 6,1924-01-01,Bayonne,Luchon,1924
Stage 7,1924-01-01,Luchon,Perpignan,1924
Stage 8,1924-01-01,Perpignan,Toulon,1924
Stage 9,1924-01-01,Toulon,Nice,1924
Stage 10,1924-01-01,Nice,Briançon,1924
Stage 11,1924-01-01,Briançon,Gex,1924
Stage 12,1924-01-01,Gex,Strasbourg,1924
Stage 13,1924-01-01,Strasbourg,Metz,1924
Stage 14,1924-01-01,Metz,Dunkerque,1924
Stage 15,1924-07-20,Dunkerque,Paris,1924
Stage 1,1925-06-21,Paris,Le Havre,1925
Stage 2,1925-06-23,Le Havre,Cherbourg-en-Cotentin,1925
Stage 3,1925-06-25,Cherbourg-en-Cotentin,Brest,1925
Stage 4,1925-06-26,Brest,Vannes,1925
Stage 5,1925-06-27,Vannes,Les Sables,1925
Stage 6,1925-06-28,Les Sables,Bordeaux,1925
Stage 7,1925-06-30,Bordeaux,Bayonne,1925
Stage 8,1925-07-01,Bayonne,Luchon,1925
Stage 9,1925-07-03,Luchon,Perpignan,1925
Stage 10,1925-07-05,Perpignan,Nimes,1925
Stage 11,1925-07-06,Nimes,Toulon,1925
Stage 12,1925-07-07,Toulon,Nice,1925
Stage 13,1925-07-09,Nice,Briançon,1925
Stage 14,1925-07-11,Briançon,Evian-les-Bains,1925
Stage 15,1925-07-13,Evian-les-Bains,Mulhouse,1925
Stage 16,1925-07-15,Mulhouse,Metz,1925
Stage 17,1925-07-17,Metz,Dunkerque,1925
Stage 18,1925-07-19,Dunkerque,Paris,1925
Stage 1,1926-06-20,Evian-les-Bains,Mulhouse,1926
Stage 2,1926-06-22,Mulhouse,Metz,1926
Stage 3,1926-06-24,Metz,Dunkerque,1926
Stage 4,1926-06-26,Dunkerque,Le Havre,1926
Stage 5,1926-06-28,Le Havre,Cherbourg-en-Cotentin,1926
Stage 6,1926-06-30,Cherbourg-en-Cotentin,Brest,1926
Stage 7,1926-07-02,Brest,Les Sables,1926
Stage 8,1926-07-03,Les Sables,Bordeaux,1926
Stage 9,1926-07-04,Bordeaux,Bayonne,1926
Stage 10,1926-07-06,Bayonne,Luchon,1926
Stage 11,1926-07-08,Luchon,Perpignan,1926
Stage 12,1926-07-10,Perpignan,Toulon,1926
Stage 13,1926-07-12,Toulon,Nice,1926
Stage 14,1926-07-14,Nice,Briançon,1926
Stage 15,1926-07-16,Briançon,Evian-les-Bains,1926
Stage 16,1926-07-17,Evian-les-Bains,Dijon,1926
Stage 17,1926-07-18,Dijon,Paris,1926
Stage 1,1927-06-19,Paris,Dieppe,1927
Stage 2,1927-06-20,Dieppe,Le Havre,1927
Stage 3,1927-06-21,Le Havre,Caen,1927
Stage 4,1927-06-22,Caen,Cherbourg-en-Cotentin,1927
Stage 5,1927-06-23,Cherbourg-en-Cotentin,Dinan,1927
Stage 6,1927-06-24,Dinan,Brest,1927
Stage 7,1927-06-25,Brest,Vannes,1927
Stage 8,1927-06-26,Vannes,Les Sables,1927
Stage 9,1927-06-27,Les Sables,Bordeaux,1927
Stage 10,1927-06-28,Bordeaux,Bayonne,1927
Stage 11,1927-06-30,Bayonne,Luchon,1927
Stage 12,1927-07-02,Luchon,Perpignan,1927
Stage 13,1927-07-04,Perpignan,Marseille,1927
Stage 14,1927-07-05,Marseille,Toulon,1927
Stage 15,1927-07-06,Toulon,Nice,1927
Stage 16,1927-07-08,Nice,Briançon,1927
Stage 17,1927-07-09,Briançon,Evian-les-Bains,1927
Stage 18,1927-07-11,Evian-les-Bains,Pontarlier,1927
Stage 19,1927-07-12,Pontarlier,Belfort,1927
Stage 20,1927-07-13,Belfort,Strasbourg,1927
Stage 21,1927-07-14,Strasbourg,Metz,1927
Stage 22,1927-07-15,Metz,Charleville-Mézières,1927
Stage 23,1927-07-16,Charleville-Mézières,Dunkerque,1927
Stage 24,1927-07-17,Dunkerque,Paris,1927
Stage 1,1928-06-17,Paris,Caen,1928
Stage 2,1928-06-18,Caen,Cherbourg-en-Cotentin,1928
Stage 3,1928-06-19,Cherbourg-en-Cotentin,Dinan,1928
