Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
42,FRÉDÉRIC BESSY,93,CASINO,92h 47' 42'',+ 01h 15' 26'',,,1999,334062,4526,time
43,MIGUEL ANGEL PENA,168,BANESTO,92h 51' 42'',+ 01h 19' 26'',,,1999,334302,4766,time
44,LAURENT MADOUAS,147,FESTINA Watches,92h 52' 58'',+ 01h 20' 42'',,,1999,334378,4842,time
45,GEERT VERHEYEN,88,LOTTO - MOBISTAR,92h 55' 40'',+ 01h 23' 24'',,,1999,334540,5004,time
46,JOSÉ LUIS ARRIETA,162,BANESTO,92h 56' 45'',+ 01h 24' 29'',,,1999,334605,5069,time
47,FRANCISCO JAVIER CEREZO PERALES,124,VITALICIO SEGUROS - G . GENERALI,92h 59' 06'',+ 01h 26' 50'',,,1999,334746,5210,time
48,THIERRY BOURGUIGNON,192,BIG.MAT - AUBER 93,92h 59' 59'',+ 01h 27' 43'',,,1999,334799,5263,time
49,MANUEL FERNANDEZ GINES,34,MAPEI - QUICK STEP,93h 02' 36'',+ 01h 30' 20'',,,1999,334956,5420,time
50,MARIANO PICCOLI,105,LAMPRE - DAIKIN,93h 03' 37'',+ 01h 31' 21'',,,1999,335017,5481,time
51,LYLIAN LEBRETON,196,BIG.MAT - AUBER 93,93h 05' 07'',+ 01h 32' 51'',,,1999,335107,5571,time
52,JEAN-CYRIL ROBIN,151,FRANCAISE DES JEUX,93h 05' 30'',+ 01h 33' 14'',,,1999,335130,5594,time
53,MARCO FINCATO,16,MERCATONE UNO - BIANCHI,93h 09' 13'',+ 01h 36' 57'',,,1999,335353,5817,time
54,JON ODRIOZOLA,167,BANESTO,93h 14' 11'',+ 01h 41' 55'',,,1999,335651,6115,time
55,MARCO SERPELLINI,101,LAMPRE - DAIKIN,93h 14' 20'',+ 01h 42' 04'',,,1999,335660,6124,time
56,MICHAEL BOOGERD,41,RABOBANK,93h 14' 38'',+ 01h 42' 22'',,,1999,335678,6142,time
57,FABIAN JEKER,145,FESTINA Watches,93h 14' 41'',+ 01h 42' 25'',,,1999,335681,6145,time
58,RAFAEL DIAZ JUSTO,52,O.N.C.E - DEUTSCHE BANK,93h 15' 52'',+ 01h 43' 36'',,,1999,335752,6216,time
59,JOSÉ-JAVIER GOMEZ,115,KELME - COSTA BLANCA,93h 18' 06'',+ 01h 45' 50'',,,1999,335886,6350,time
60,JENS VOIGT,139,CREDIT AGRICOLE,93h 20' 03'',+ 01h 47' 47'',,,1999,336003,6467,time
61,SANTOS GONZALEZ,55,O.N.C.E - DEUTSCHE BANK,93h 20' 37'',+ 01h 48' 21'',,,1999,336037,6501,time
62,DIMITRI KONYSHEV,18,MERCATONE UNO - BIANCHI,93h 21' 26'',+ 01h 49' 10'',,,1999,336086,6550,time
63,PETER FARAZIJN,4,COFIDIS.LE CREDIT PAR TELEPHONE,93h 27' 17'',+ 01h 55' 01'',,,1999,336437,6901,time
64,HERNÁN BUENAHORA GUTIERREZ,123,VITALICIO SEGUROS - G . GENERALI,93h 27' 49'',+ 01h 55' 33'',,,1999,336469,6933,time
65,FRANKIE ANDREU,182,US POSTAL SERVICE,93h 31' 17'',+ 01h 59' 01'',,,1999,336677,7141,time
66,STEFANO CATTAI,63,TEAM POLTI,93h 32' 05'',+ 01h 59' 49'',,,1999,336725,7189,time
67,CHRISTOPHE ORIOL,98,CASINO,93h 33' 22'',+ 02h 01' 06'',,,1999,336802,7266,time
68,VICENTE GARCIA ACOSTA,164,BANESTO,93h 34' 02'',+ 02h 01' 46'',,,1999,336842,7306,time
69,FABRICE GOUGOT,95,CASINO,93h 34' 21'',+ 02h 02' 05'',,,1999,336861,7325,time
70,CHRISTOPHE MENGIN,156,FRANCAISE DES JEUX,93h 36' 19'',+ 02h 04' 03'',,,1999,336979,7443,time
71,RIK VERBRUGGHE,87,LOTTO - MOBISTAR,93h 36' 47'',+ 02h 04' 31'',,,1999,337007,7471,time
72,MARC LOTZ,45,RABOBANK,93h 40' 24'',+ 02h 08' 08'',,,1999,337224,7688,time
73,STEFFEN WESEMANN,29,TEAM DEUTSCHE TELEKOM,93h 41' 38'',+ 02h 09' 22'',,,1999,337298,7762,time
74,STEPHANE GOUBERT,65,TEAM POLTI,93h 43' 14'',+ 02h 10' 58'',,,1999,337394,7858,time
75,JOSÉ LUIS REBOLLO,58,O.N.C.E - DEUTSCHE BANK,93h 45' 13'',+ 02h 12' 57'',,,1999,337513,7977,time
76,PRUDENCIO INDURAIN,128,VITALICIO SEGUROS - G . GENERALI,93h 46' 31'',+ 02h 14' 15'',,,1999,337591,8055,time
77,LAURENT BROCHARD,142,FESTINA Watches,93h 46' 58'',+ 02h 14' 42'',,,1999,337618,8082,time
78,GEORGE HINCAPIE,185,US POSTAL SERVICE,93h 48' 51'',+ 02h 16' 35'',,,1999,337731,8195,time
79,CHRISTOPHE RINERO,9,COFIDIS.LE CREDIT PAR TELEPHONE,93h 48' 51'',+ 02h 16' 35'',,,1999,337731,8195,time
80,JÖRG JAKSCHE,26,TEAM DEUTSCHE TELEKOM,93h 49' 00'',+ 02h 16' 44'',,,1999,337740,8204,time
81,GIANPAOLO MONDINI,179,CANTINA TOLLO-ALEXIA ALLUMINIO,93h 49' 50'',+ 02h 17' 34'',,,1999,337790,8254,time
82,GILLES MAIGNAN,97,CASINO,93h 50' 18'',+ 02h 18' 02'',,,1999,337818,8282,time
83,CÉDRIC VASSEUR,137,CREDIT AGRICOLE,93h 50' 39'',+ 02h 18' 23'',,,1999,337839,8303,time
84,MAARTEN DEN BAKKER,43,RABOBANK,93h 51' 19'',+ 02h 19' 03'',,,1999,337879,8343,time
85,CHRISTIAN VANDE VELDE,188,US POSTAL SERVICE,93h 56' 14'',+ 02h 23' 58'',,,1999,338174,8638,time
86,JAVIER OTXOA,116,KELME - COSTA BLANCA,93h 56' 30'',+ 02h 24' 14'',,,1999,338190,8654,time
87,RICCARDO FORCONI,17,MERCATONE UNO - BIANCHI,93h 57' 18'',+ 02h 25' 02'',,,1999,338238,8702,time
88,LAURENT LEFEVRE,146,FESTINA Watches,93h 57' 24'',+ 02h 25' 08'',,,1999,338244,8708,time
89,ERIK ZABEL,21,TEAM DEUTSCHE TELEKOM,93h 58' 17'',+ 02h 26' 01'',,,1999,338297,8761,time
90,DOMINIQUE RAULT,197,BIG.MAT - AUBER 93,93h 59' 33'',+ 02h 27' 17'',,,1999,338373,8837,time
91,PASCAL CHANTEUR,94,CASINO,94h 00' 16'',+ 02h 28' 00'',,,1999,338416,8880,time
92,ELIO AGGIANO,122,VITALICIO SEGUROS - G . GENERALI,94h 00' 49'',+ 02h 28' 33'',,,1999,338449,8913,time
93,ALEXEI SIVAKOV,198,BIG.MAT - AUBER 93,94h 01' 56'',+ 02h 29' 40'',,,1999,338516,8980,time
94,STUART O'GRADY,136,CREDIT AGRICOLE,94h 02' 23'',+ 02h 30' 07'',,,1999,338543,9007,time
95,MASSIMO GIUNTI,175,CANTINA TOLLO-ALEXIA ALLUMINIO,94h 02' 41'',+ 02h 30' 25'',,,1999,338561,9025,time
96,THIERRY GOUVENOU,195,BIG.MAT - AUBER 93,94h 04' 27'',+ 02h 32' 11'',,,1999,338667,9131,time
97,PATRICK JONKER,44,RABOBANK,94h 04' 36'',+ 02h 32' 20'',,,1999,338676,9140,time
98,DAVID NAVAS,166,BANESTO,94h 05' 47'',+ 02h 33' 31'',,,1999,338747,9211,time
99,FABIO SACCHI,68,TEAM POLTI,94h 05' 55'',+ 02h 33' 39'',,,1999,338755,9219,time
100,LAURENT DESBIENS,3,COFIDIS.LE CREDIT PAR TELEPHONE,94h 06' 17'',+ 02h 34' 01'',,,1999,338777,9241,time
101,JOSÉ ANGEL VIDAL,119,KELME - COSTA BLANCA,94h 06' 38'',+ 02h 34' 22'',,,1999,338798,9262,time
102,JAIME HERNANDEZ,143,FESTINA Watches,94h 08' 20'',+ 02h 36' 04'',,,1999,338900,9364,time
103,DAVIDE BRAMATI,32,MAPEI - QUICK STEP,94h 08' 31'',+ 02h 36' 15'',,,1999,338911,9375,time
104,TOM STEELS,39,MAPEI - QUICK STEP,94h 08' 44'',+ 02h 36' 28'',,,1999,338924,9388,time
105,ANTHONY MORIN,158,FRANCAISE DES JEUX,94h 08' 53'',+ 02h 36' 37'',,,1999,338933,9397,time
106,FRÉDÉRIC GUESDON,154,FRANCAISE DES JEUX,94h 09' 43'',+ 02h 37' 27'',,,1999,338983,9447,time
107,ERIK DEKKER,42,RABOBANK,94h 10' 21'',+ 02h 38' 05'',,,1999,339021,9485,time
108,FABIAN DE WAELE,82,LOTTO - MOBISTAR,94h 11' 37'',+ 02h 39' 21'',,,1999,339097,9561,time
109,BEAT ZBERG,49,RABOBANK,94h 11' 45'',+ 02h 39' 29'',,,1999,339105,9569,time
110,KAI HUNDERTMARCK,25,TEAM DEUTSCHE TELEKOM,94h 11' 48'',+ 02h 39' 32'',,,1999,339108,9572,time
111,LUDOVIC AUGER,191,BIG.MAT - AUBER 93,94h 11' 54'',+ 02h 39' 38'',,,1999,339114,9578,time
112,PETER WUYTS,89,LOTTO - MOBISTAR,94h 12' 06'',+ 02h 39' 50'',,,1999,339126,9590,time
113,MARCO PINOTTI,106,LAMPRE - DAIKIN,94h 12' 16'',+ 02h 40' 00'',,,1999,339136,9600,time
114,SILVIO MARTINELLO,66,TEAM POLTI,94h 15' 30'',+ 02h 43' 14'',,,1999,339330,9794,time
115,CHRISTOPHE CAPELLE,193,BIG.MAT - AUBER 93,94h 17' 33'',+ 02h 45' 17'',,,1999,339453,9917,time
116,LARS MICHAELSEN,157,FRANCAISE DES JEUX,94h 18' 36'',+ 02h 46' 20'',,,1999,339516,9980,time
117,CLAUDE LAMOUR,5,COFIDIS.LE CREDIT PAR TELEPHONE,94h 18' 42'',+ 02h 46' 26'',,,1999,339522,9986,time
118,ROLF HUSER,144,FESTINA Watches,94h 19' 43'',+ 02h 47' 27'',,,1999,339583,10047,time
119,CHRIS BOARDMAN,133,CREDIT AGRICOLE,94h 20' 04'',+ 02h 47' 48'',,,1999,339604,10068,time
120,MIRCO CREPALDI,64,TEAM POLTI,94h 21' 30'',+ 02h 49' 14'',,,1999,339690,10154,time
121,HENK VOGELS,138,CREDIT AGRICOLE,94h 21' 33'',+ 02h 49' 17'',,,1999,339693,10157,time
122,ROBBIE MC EWEN,46,RABOBANK,94h 21' 39'',+ 02h 49' 23'',,,1999,339699,10163,time
123,SÉBASTIEN HINAULT,134,CREDIT AGRICOLE,94h 23' 19'',+ 02h 51' 03'',,,1999,339799,10263,time
124,SERGIO BARBERO,13,MERCATONE UNO - BIANCHI,94h 23' 25'',+ 02h 51' 09'',,,1999,339805,10269,time
125,GABRIELE COLOMBO,173,CANTINA TOLLO-ALEXIA ALLUMINIO,94h 23' 59'',+ 02h 51' 43'',,,1999,339839,10303,time
126,CARLOS DA CRUZ,194,BIG.MAT - AUBER 93,94h 24' 04'',+ 02h 51' 48'',,,1999,339844,10308,time
127,ROSSANO BRASI,62,TEAM POLTI,94h 24' 17'',+ 02h 52' 01'',,,1999,339857,10321,time
128,THIERRY MARICHAL,85,LOTTO - MOBISTAR,94h 26' 22'',+ 02h 54' 06'',,,1999,339982,10446,time
129,JOSÉ DE LOS ANGELES,114,KELME - COSTA BLANCA,94h 26' 56'',+ 02h 54' 40'',,,1999,340016,10480,time
130,SÉBASTIEN DEMARBAIX,83,LOTTO - MOBISTAR,94h 30' 48'',+ 02h 58' 32'',,,1999,340248,10712,time
131,MARCUS LJUNGQVIST,176,CANTINA TOLLO-ALEXIA ALLUMINIO,94h 32' 25'',+ 03h 00' 09'',,,1999,340345,10809,time
132,ANTHONY LANGELLA,135,CREDIT AGRICOLE,94h 34' 36'',+ 03h 02' 20'',,,1999,340476,10940,time
133,BART LEYSEN,36,MAPEI - QUICK STEP,94h 35' 27'',+ 03h 03' 11'',,,1999,340527,10991,time
134,MASSIMILIANO NAPOLITANO,19,MERCATONE UNO - BIANCHI,94h 37' 25'',+ 03h 05' 09'',,,1999,340645,11109,time
135,PEDRO HORILLO,127,VITALICIO SEGUROS - G . GENERALI,94h 37' 47'',+ 03h 05' 31'',,,1999,340667,11131,time
136,JAN SCHAFFRATH,27,TEAM DEUTSCHE TELEKOM,94h 37' 57'',+ 03h 05' 41'',,,1999,340677,11141,time
137,LUCA MAZZANTI,177,CANTINA TOLLO-ALEXIA ALLUMINIO,94h 38' 44'',+ 03h 06' 28'',,,1999,340724,11188,time
138,ALESSANDRO BARONTI,172,CANTINA TOLLO-ALEXIA ALLUMINIO,94h 39' 23'',+ 03h 07' 07'',,,1999,340763,11227,time
139,THIERRY LODER,7,COFIDIS.LE CREDIT PAR TELEPHONE,94h 44' 11'',+ 03h 11' 55'',,,1999,341051,11515,time
140,PASCAL DERAME,183,US POSTAL SERVICE,94h 46' 35'',+ 03h 14' 19'',,,1999,341195,11659,time
141,JACKY DURAND,84,LOTTO - MOBISTAR,94h 51' 25'',+ 03h 19' 09'',,,1999,341485,11949,time
2,JAN ULLRICH,61,TEAM DEUTSCHE TELEKOM,92h 39' 10'',+ 00h 06' 02'',,,2000,333550,362,time
3,JOSEBA BELOKI,102,FESTINA Watches,92h 43' 12'',+ 00h 10' 04'',,,2000,333792,604,time
4,CHRISTOPHE MOREAU,101,FESTINA Watches,92h 43' 42'',+ 00h 10' 34'',,,2000,333822,634,time
5,ROBERTO HERAS,24,KELME - COSTA BLANCA,92h 44' 58'',+ 00h 11' 50'',,,2000,333898,710,time
6,RICHARD VIRENQUE,151,TEAM POLTI,92h 46' 34'',+ 00h 13' 26'',,,2000,333994,806,time
7,SANTIAGO BOTERO,22,KELME - COSTA BLANCA,92h 47' 26'',+ 00h 14' 18'',,,2000,334046,858,time
8,FERNANDO ESCARTIN,21,KELME - COSTA BLANCA,92h 50' 29'',+ 00h 17' 21'',,,2000,334229,1041,time
9,FRANCISCO MANCEBO,16,BANESTO,92h 51' 17'',+ 00h 18' 09'',,,2000,334277,1089,time
10,DANIELE NARDELLO,35,MAPEI - QUICK STEP,92h 51' 33'',+ 00h 18' 25'',,,2000,334293,1105,time
11,MANUEL BELTRAN,32,MAPEI - QUICK STEP,92h 54' 19'',+ 00h 21' 11'',,,2000,334459,1271,time
12,PASCAL HERVE,156,TEAM POLTI,92h 56' 21'',+ 00h 23' 13'',,,2000,334581,1393,time
13,JAVIER OTXOA,26,KELME - COSTA BLANCA,92h 58' 08'',+ 00h 25' 00'',,,2000,334688,1500,time
14,FELIX MANUEL GARCIA CASAS,104,FESTINA Watches,93h 05' 12'',+ 00h 32' 04'',,,2000,335112,1924,time
15,ALEXANDRE VINOKOUROV,67,TEAM DEUTSCHE TELEKOM,93h 05' 34'',+ 00h 32' 26'',,,2000,335134,1946,time
16,ROBERTO CONTI,185,VINI CALDIROLA - SIDERMEC,93h 07' 26'',+ 00h 34' 18'',,,2000,335246,2058,time
17,KURT VAN DE WOUWER,137,LOTTO - ADECCO,93h 07' 37'',+ 00h 34' 29'',,,2000,335257,2069,time
18,GUIDO TRENTIN,189,VINI CALDIROLA - SIDERMEC,93h 09' 05'',+ 00h 35' 57'',,,2000,335345,2157,time
19,JEAN-CYRIL ROBIN,191,BONJOUR,93h 16' 20'',+ 00h 43' 12'',,,2000,335780,2592,time
20,GEERT VERHEYEN,139,LOTTO - ADECCO,93h 19' 32'',+ 00h 46' 24'',,,2000,335972,2784,time
21,PETER LÜTTENBERGER,56,O.N.C.E - DEUTSCHE BANK,93h 21' 35'',+ 00h 48' 27'',,,2000,336095,2907,time
22,NICO MATTAN,125,COFIDIS . CREDIT PAR TELEPHONE,93h 23' 17'',+ 00h 50' 09'',,,2000,336197,3009,time
23,JOSÉ MARIA JIMENEZ,15,BANESTO,93h 24' 53'',+ 00h 51' 45'',,,2000,336293,3105,time
24,GRISCHA NIERMANN,46,RABOBANK,93h 25' 14'',+ 00h 52' 06'',,,2000,336314,3126,time
25,TYLER HAMILTON,4,US POSTAL SERVICE,93h 29' 38'',+ 00h 56' 30'',,,2000,336578,3390,time
26,GIUSEPPE GUERINI,65,TEAM DEUTSCHE TELEKOM,93h 32' 41'',+ 00h 59' 33'',,,2000,336761,3573,time
27,MASSIMILIANO LELLI,124,COFIDIS . CREDIT PAR TELEPHONE,93h 39' 13'',+ 01h 06' 05'',,,2000,337153,3965,time
28,MARIO AERTS,132,LOTTO - ADECCO,93h 39' 52'',+ 01h 06' 44'',,,2000,337192,4004,time
29,DANIEL ATIENZA,92,SAECO - VALLI & VALLI,93h 42' 27'',+ 01h 09' 19'',,,2000,337347,4159,time
30,DARIUSZ BARANOWSKI,13,BANESTO,93h 42' 35'',+ 01h 09' 27'',,,2000,337355,4167,time
31,JAVIER PASCUAL LLORENTE,27,KELME - COSTA BLANCA,93h 49' 41'',+ 01h 16' 33'',,,2000,337781,4593,time
32,ANDREI KIVILEV,87,AG2R PREVOYANCE,93h 50' 36'',+ 01h 17' 28'',,,2000,337836,4648,time
33,DAVID CAÑADA GRACIA,52,O.N.C.E - DEUTSCHE BANK,93h 50' 52'',+ 01h 17' 44'',,,2000,337852,4664,time
34,ABRAHAM OLANO,57,O.N.C.E - DEUTSCHE BANK,93h 52' 52'',+ 01h 19' 44'',,,2000,337972,4784,time
35,LAURENT MADOUAS,107,FESTINA Watches,93h 53' 48'',+ 01h 20' 40'',,,2000,338028,4840,time
36,BO HAMBURGER,161,MEMORY CARD TECHNOLOGY-JACK & JONES,93h 54' 41'',+ 01h 21' 33'',,,2000,338081,4893,time
37,KEVIN LIVINGSTON,8,US POSTAL SERVICE,93h 56' 21'',+ 01h 23' 13'',,,2000,338181,4993,time
38,ENRICO ZAINA,79,MERCATONE UNO - ALBACOM,93h 56' 41'',+ 01h 23' 33'',,,2000,338201,5013,time
39,MARCO VELO,78,MERCATONE UNO - ALBACOM,93h 57' 29'',+ 01h 24' 21'',,,2000,338249,5061,time
40,JENS HEPPNER,66,TEAM DEUTSCHE TELEKOM,94h 02' 59'',+ 01h 29' 51'',,,2000,338579,5391,time
41,PAOLO SAVOLDELLI,98,SAECO - VALLI & VALLI,94h 05' 08'',+ 01h 32' 00'',,,2000,338708,5520,time
42,UDO BÖLTS,62,TEAM DEUTSCHE TELEKOM,94h 05' 41'',+ 01h 32' 33'',,,2000,338741,5553,time
43,MARC WAUTERS,48,RABOBANK,94h 06' 42'',+ 01h 33' 34'',,,2000,338802,5614,time
44,ROLAND MEIER,126,COFIDIS . CREDIT PAR TELEPHONE,94h 09' 05'',+ 01h 35' 57'',,,2000,338945,5757,time
45,DIDIER ROUS,198,BONJOUR,94h 13' 03'',+ 01h 39' 55'',,,2000,339183,5995,time
46,MARCELLO SIBONI,77,MERCATONE UNO - ALBACOM,94h 15' 08'',+ 01h 42' 00'',,,2000,339308,6120,time
47,JON ODRIOZOLA,17,BANESTO,94h 16' 30'',+ 01h 43' 22'',,,2000,339390,6202,time
48,BOBBY JULICH,171,CREDIT AGRICOLE,94h 17' 23'',+ 01h 44' 15'',,,2000,339443,6255,time
49,MAARTEN DEN BAKKER,44,RABOBANK,94h 19' 25'',+ 01h 46' 17'',,,2000,339565,6377,time
50,JOSÉ ANGEL VIDAL,29,KELME - COSTA BLANCA,94h 24' 07'',+ 01h 50' 59'',,,2000,339847,6659,time
51,ERIK DEKKER,43,RABOBANK,94h 24' 35'',+ 01h 51' 27'',,,2000,339875,6687,time
52,CÉDRIC VASSEUR,9,US POSTAL SERVICE,94h 28' 33'',+ 01h 55' 25'',,,2000,340113,6925,time
53,VICENTE GARCIA ACOSTA,14,BANESTO,94h 29' 39'',+ 01h 56' 31'',,,2000,340179,6991,time
54,LAURENT JALABERT,51,O.N.C.E - DEUTSCHE BANK,94h 31' 55'',+ 01h 58' 47'',,,2000,340315,7127,time
55,VJATCESLAV EKIMOV,3,US POSTAL SERVICE,94h 33' 05'',+ 01h 59' 57'',,,2000,340385,7197,time
56,MARC LOTZ,45,RABOBANK,94h 35' 12'',+ 02h 02' 04'',,,2000,340512,7324,time
57,JOSÉ LUIS ARRIETA,12,BANESTO,94h 37' 29'',+ 02h 04' 21'',,,2000,340649,7461,time
58,FRANÇOIS SIMON,199,BONJOUR,94h 43' 16'',+ 02h 10' 08'',,,2000,340996,7808,time
59,ERMANNO BRIGNOLI,73,MERCATONE UNO - ALBACOM,94h 43' 36'',+ 02h 10' 28'',,,2000,341016,7828,time
60,JENS VOIGT,179,CREDIT AGRICOLE,94h 43' 45'',+ 02h 10' 37'',,,2000,341025,7837,time
61,ERIK ZABEL,69,TEAM DEUTSCHE TELEKOM,94h 44' 15'',+ 02h 11' 07'',,,2000,341055,7867,time
62,DAVID MILLAR,127,COFIDIS . CREDIT PAR TELEPHONE,94h 46' 11'',+ 02h 13' 03'',,,2000,341171,7983,time
63,TONI TAULER,28,KELME - COSTA BLANCA,94h 49' 13'',+ 02h 16' 05'',,,2000,341353,8165,time
64,FABIO SACCHI,158,TEAM POLTI,94h 50' 48'',+ 02h 17' 40'',,,2000,341448,8260,time
65,GEORGE HINCAPIE,5,US POSTAL SERVICE,94h 53' 39'',+ 02h 20' 31'',,,2000,341619,8431,time
66,CHRISTOPHE AGNOLUTTO,82,AG2R PREVOYANCE,94h 56' 15'',+ 02h 23' 07'',,,2000,341775,8587,time
67,MASSIMILIANO MORI,95,SAECO - VALLI & VALLI,94h 57' 13'',+ 02h 24' 05'',,,2000,341833,8645,time
68,MARKUS ZBERG,49,RABOBANK,94h 59' 48'',+ 02h 26' 40'',,,2000,341988,8800,time
69,PASCAL CHANTEUR,84,AG2R PREVOYANCE,95h 00' 27'',+ 02h 27' 19'',,,2000,342027,8839,time
70,RICCARDO FORCONI,75,MERCATONE UNO - ALBACOM,95h 01' 22'',+ 02h 28' 14'',,,2000,342082,8894,time
71,WALTER BENETEAU,192,BONJOUR,95h 01' 25'',+ 02h 28' 17'',,,2000,342085,8897,time
72,SALVATORE COMMESSO,93,SAECO - VALLI & VALLI,95h 01' 56'',+ 02h 28' 48'',,,2000,342116,8928,time
73,MASSIMO PODENZANA,76,MERCATONE UNO - ALBACOM,95h 02' 25'',+ 02h 29' 17'',,,2000,342145,8957,time
74,JACKY DURAND,135,LOTTO - ADECCO,95h 04' 56'',+ 02h 31' 48'',,,2000,342296,9108,time
75,DAVID MONCOUTIE,128,COFIDIS . CREDIT PAR TELEPHONE,95h 05' 34'',+ 02h 32' 26'',,,2000,342334,9146,time
76,XAVIER JAN,145,FRANCAISE DES JEUX,95h 07' 03'',+ 02h 33' 55'',,,2000,342423,9235,time
77,KOOS MOERENHOUT,118,FARM FRITES,95h 07' 39'',+ 02h 34' 31'',,,2000,342459,9271,time
78,MICHEL LAFIS,115,FARM FRITES,95h 09' 00'',+ 02h 35' 52'',,,2000,342540,9352,time
79,PAUL VAN HYFTE,138,LOTTO - ADECCO,95h 09' 11'',+ 02h 36' 03'',,,2000,342551,9363,time
80,STEFANO ZANINI,39,MAPEI - QUICK STEP,95h 09' 15'',+ 02h 36' 07'',,,2000,342555,9367,time
81,GILLES MAIGNAN,88,AG2R PREVOYANCE,95h 09' 20'',+ 02h 36' 12'',,,2000,342560,9372,time
82,ROMANS VAINSTEINS,181,VINI CALDIROLA - SIDERMEC,95h 11' 18'',+ 02h 38' 10'',,,2000,342678,9490,time
83,DAVID DELRIEU,85,AG2R PREVOYANCE,95h 11' 18'',+ 02h 38' 10'',,,2000,342678,9490,time
84,ALBERTO ELLI,63,TEAM DEUTSCHE TELEKOM,95h 13' 20'',+ 02h 40' 12'',,,2000,342800,9612,time
85,PAVEL PADRNOS,96,SAECO - VALLI & VALLI,95h 13' 27'',+ 02h 40' 19'',,,2000,342807,9619,time
86,FRED RODRIGUEZ,36,MAPEI - QUICK STEP,95h 13' 27'',+ 02h 40' 19'',,,2000,342807,9619,time
87,ORLANDO RODRIGUES,19,BANESTO,95h 13' 39'',+ 02h 40' 31'',,,2000,342819,9631,time
88,SÉBASTIEN DEMARBAIX,134,LOTTO - ADECCO,95h 14' 27'',+ 02h 41' 19'',,,2000,342867,9679,time
89,STEFFEN KJAERGAARD,7,US POSTAL SERVICE,95h 17' 09'',+ 02h 44' 01'',,,2000,343029,9841,time
90,ANTHONY MORIN,176,CREDIT AGRICOLE,95h 17' 10'',+ 02h 44' 02'',,,2000,343030,9842,time
91,GLENN MAGNUSSON,116,FARM FRITES,95h 18' 54'',+ 02h 45' 46'',,,2000,343134,9946,time
92,BENOIT JOACHIM,6,US POSTAL SERVICE,95h 19' 04'',+ 02h 45' 56'',,,2000,343144,9956,time
93,ARVIS PIZIKS,166,MEMORY CARD TECHNOLOGY-JACK & JONES,95h 19' 14'',+ 02h 46' 06'',,,2000,343154,9966,time
94,MIRCO CREPALDI,155,TEAM POLTI,95h 21' 38'',+ 02h 48' 30'',,,2000,343298,10110,time
95,CHRISTOPHE MENGIN,147,FRANCAISE DES JEUX,95h 23' 29'',+ 02h 50' 21'',,,2000,343409,10221,time
96,MAURO RADAELLI,188,VINI CALDIROLA - SIDERMEC,95h 24' 09'',+ 02h 51' 01'',,,2000,343449,10261,time
97,JAIME HERNANDEZ,105,FESTINA Watches,95h 24' 22'',+ 02h 51' 14'',,,2000,343462,10274,time
98,EMMANUEL MAGNIEN,146,FRANCAISE DES JEUX,95h 24' 29'',+ 02h 51' 21'',,,2000,343469,10281,time
99,NICOLAY BO LARSEN,165,MEMORY CARD TECHNOLOGY-JACK & JONES,95h 25' 22'',+ 02h 52' 14'',,,2000,343522,10334,time
100,FRANK HOJ,144,FRANCAISE DES JEUX,95h 25' 54'',+ 02h 52' 46'',,,2000,343554,10366,time
101,THIERRY MARICHAL,136,LOTTO - ADECCO,95h 26' 00'',+ 02h 52' 52'',,,2000,343560,10372,time
102,MASSIMO APOLLONIO,182,VINI CALDIROLA - SIDERMEC,95h 27' 08'',+ 02h 54' 00'',,,2000,343628,10440,time
103,MAX VAN HEESWIJK,38,MAPEI - QUICK STEP,95h 27' 58'',+ 02h 54' 50'',,,2000,343678,10490,time
104,GIAN MATTEO FAGNINI,64,TEAM DEUTSCHE TELEKOM,95h 28' 53'',+ 02h 55' 45'',,,2000,343733,10545,time
105,ANDREAS KLIER,112,FARM FRITES,95h 31' 12'',+ 02h 58' 04'',,,2000,343872,10684,time
106,GRÉGORY GWIAZDOWSKI,143,FRANCAISE DES JEUX,95h 31' 13'',+ 02h 58' 05'',,,2000,343873,10685,time
107,BENOIT SALMON,89,AG2R PREVOYANCE,95h 33' 07'',+ 02h 59' 59'',,,2000,343987,10799,time
108,MARTIN RITTSEL,167,MEMORY CARD TECHNOLOGY-JACK & JONES,95h 33' 55'',+ 03h 00' 47'',,,2000,344035,10847,time
109,SERVAIS KNAVEN,113,FARM FRITES,95h 35' 17'',+ 03h 02' 09'',,,2000,344117,10929,time
110,FRANKIE ANDREU,2,US POSTAL SERVICE,95h 35' 23'',+ 03h 02' 15'',,,2000,344123,10935,time
111,PASCAL DERAME,194,BONJOUR,95h 36' 38'',+ 03h 03' 30'',,,2000,344198,11010,time
112,PASCAL LINO,106,FESTINA Watches,95h 36' 46'',+ 03h 03' 38'',,,2000,344206,11018,time
113,ROBBIE MC EWEN,117,FARM FRITES,95h 37' 36'',+ 03h 04' 28'',,,2000,344256,11068,time
114,SIMONE BORGHERESI,72,MERCATONE UNO - ALBACOM,95h 37' 36'',+ 03h 04' 28'',,,2000,344256,11068,time
115,BART VOSKAMP,159,TEAM POLTI,95h 38' 25'',+ 03h 05' 17'',,,2000,344305,11117,time
116,FRÉDÉRIC GUESDON,142,FRANCAISE DES JEUX,95h 40' 24'',+ 03h 07' 16'',,,2000,344424,11236,time
