Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
49,PAUL PIETROIS,132,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
50,LOUIS DI MARIA,182,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
51,HENRI ANTHOINE,233,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
52,HENRI ORY,156,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
53,ERNEST GOUJON,232,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
54,ALFRED GUIDEZ,198,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
55,GEORGES DEVILLY,118,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
1,OCTAVE LAPIZE,4,ALCYON,63h 00' 00'',-,,,1910,226800,0,points
2,FRANÇOIS FABER,1,ALCYON,67h 00' 00'',-,,,1910,241200,0,points
3,GUSTAVE GARRIGOU,2,ALCYON,86h 00' 00'',-,,,1910,309600,0,points
4,CYRILLE VAN HAUWAERT,6,ALCYON,97h 00' 00'',-,,,1910,349200,0,points
5,CHARLES CRUCHON,113,ISOLES,119h 00' 00'',-,,,1910,428400,0,points
6,CHARLES CRUPELANDT,29,LE GLOBE,146h 00' 00'',-,,,1910,525600,0,points
7,"ERNEST, DIT ''FABER ERNEST'' PAUL",118,ISOLES,154h 00' 00'',-,,,1910,554400,0,points
8,ANDRÉ BLAISE,5,ALCYON,166h 00' 00'',-,,,1910,597600,0,points
9,JULIEN MAITRON,25,LE GLOBE,171h 00' 00'',-,,,1910,615600,0,points
10,ALDO BETTINI,10,ALCYON,175h 00' 00'',-,,,1910,630000,0,points
11,PIERINO ALBINI,17,LEGNANO,176h 00' 00'',-,,,1910,633600,0,points
12,GEORGES PAULMIER,23,LE GLOBE,182h 00' 00'',-,,,1910,655200,0,points
13,ERNESTO AZZINI,18,LEGNANO,194h 00' 00'',-,,,1910,698400,0,points
14,FRANÇOIS LAFOURCADE,111,ISOLES,205h 00' 00'',-,,,1910,738000,0,points
15,JULES DELOFFRE,27,LE GLOBE,213h 00' 00'',-,,,1910,766800,0,points
16,HENRI CORNET (GEBOREN JARDY),22,LE GLOBE,214h 00' 00'',-,,,1910,770400,0,points
17,LUIGI AZZINI,19,LEGNANO,220h 00' 00'',-,,,1910,792000,0,points
18,CONSTANT MENAGER,16,LEGNANO,222h 00' 00'',-,,,1910,799200,0,points
19,AUGUSTINN RINGEVAL,103,ISOLES,241h 00' 00'',-,,,1910,867600,0,points
20,FRÉDÉRIC SAILLOT,28,LE GLOBE,258h 00' 00'',-,,,1910,928800,0,points
21,MAURICE PARDON,194,ISOLES,316h 00' 00'',-,,,1910,1137600,0,points
22,JOSEPH LEBLANC,102,ISOLES,346h 00' 00'',-,,,1910,1245600,0,points
23,GEORGES FLEURY,129,ISOLES,357h 00' 00'',-,,,1910,1285200,0,points
24,JOSEPH HABIERRE,125,ISOLES,382h 00' 00'',-,,,1910,1375200,0,points
25,JEAN RIOU,128,ISOLES,399h 00' 00'',-,,,1910,1436400,0,points
26,AUGUSTE GUYON,183,ISOLES,403h 00' 00'',-,,,1910,1450800,0,points
27,JEAN BOUILLET,177,ISOLES,406h 00' 00'',-,,,1910,1461600,0,points
28,LUCIEN POTHIER,196,ISOLES,411h 00' 00'',-,,,1910,1479600,0,points
29,MAURICE DECAUP,14,LEGNANO,429h 00' 00'',-,,,1910,1544400,0,points
30,LUCIEN LEMAN,112,ISOLES,433h 00' 00'',-,,,1910,1558800,0,points
31,GABRIEL MATHONAT,123,ISOLES,444h 00' 00'',-,,,1910,1598400,0,points
32,ROBERT CHOPARD,189,ISOLES,448h 00' 00'',-,,,1910,1612800,0,points
33,PIETRO GHISLOTTI,150,ISOLES,492h 00' 00'',-,,,1910,1771200,0,points
34,LUCIEN ROQUEBERT,109,ISOLES,502h 00' 00'',-,,,1910,1807200,0,points
35,CAMILLE BIERE,188,ISOLES,510h 00' 00'',-,,,1910,1836000,0,points
36,GEORGES CAUVRY,184,ISOLES,510h 00' 00'',-,,,1910,1836000,0,points
37,AUGUSTE DUFOUR,145,ISOLES,525h 00' 00'',-,,,1910,1890000,0,points
38,LOUIS JOUIN,141,ISOLES,531h 00' 00'',-,,,1910,1911600,0,points
39,RENÉ CHAUDE,147,ISOLES,549h 00' 00'',-,,,1910,1976400,0,points
40,LOUIS PICARD,126,ISOLES,568h 00' 00'',-,,,1910,2044800,0,points
41,CONSTANT COLLET,163,ISOLES,580h 00' 00'',-,,,1910,2088000,0,points
1,GUSTAVE GARRIGOU,12,ALCYON,43h 00' 00'',-,,,1911,154800,0,points
2,PAUL DUBOC,7,LA FRANCAISE,61h 00' 00'',-,,,1911,219600,0,points
3,EMILE GEORGET,2,LA FRANCAISE,84h 00' 00'',-,,,1911,302400,0,points
4,CHARLES CRUPELANDT,5,LA FRANCAISE,119h 00' 00'',-,,,1911,428400,0,points
5,LOUIS HEUSGHEM,17,ALCYON,135h 00' 00'',-,,,1911,486000,0,points
6,MARCEL GODIVIER,6,LA FRANCAISE,141h 00' 00'',-,,,1911,507600,0,points
7,CHARLES CRUCHON,9,LA FRANCAISE,145h 00' 00'',-,,,1911,522000,0,points
8,"ERNEST, DIT ''FABER ERNEST'' PAUL",14,ALCYON,153h 00' 00'',-,,,1911,550800,0,points
9,ALBERT DUPONT,26,LE GLOBE,157h 00' 00'',-,,,1911,565200,0,points
10,HENRI DEVROYE,22,LE GLOBE,171h 00' 00'',-,,,1911,615600,0,points
11,FIRMIN LAMBOT,28,LE GLOBE,178h 00' 00'',-,,,1911,640800,0,points
12,HENRI CORNET (GEBOREN JARDY),21,LE GLOBE,190h 00' 00'',-,,,1911,684000,0,points
13,PAUL DEMAN,150,ISOLES,198h 00' 00'',-,,,1911,712800,0,points
14,JULIEN MAITRON,10,LA FRANCAISE,216h 00' 00'',-,,,1911,777600,0,points
15,JULES DELOFFRE,159,ISOLES,217h 00' 00'',-,,,1911,781200,0,points
16,GEORGES PAULMIER,32,AUTOMOTO,226h 00' 00'',-,,,1911,813600,0,points
17,OTTAVIO PRATESI,143,ISOLES,251h 00' 00'',-,,,1911,903600,0,points
18,ALFRED FAURE,31,AUTOMOTO,255h 00' 00'',-,,,1911,918000,0,points
19,VINCENT D'HULST,151,ISOLES,265h 00' 00'',-,,,1911,954000,0,points
20,LUCIEN POTHIER,29,LE GLOBE,284h 00' 00'',-,,,1911,1022400,0,points
21,EDOUARD LEONARD,34,AUTOMOTO,287h 00' 00'',-,,,1911,1033200,0,points
22,CONSTANT MENAGER,27,LE GLOBE,290h 00' 00'',-,,,1911,1044000,0,points
23,MAURICE PARDON,23,LE GLOBE,290h 00' 00'',-,,,1911,1044000,0,points
24,LOUIS COLSAET,132,ISOLES,299h 00' 00'',-,,,1911,1076400,0,points
25,MARIUS VILETTE,165,ISOLES,328h 00' 00'',-,,,1911,1180800,0,points
26,ERNEST RICAUX,37,AUTOMOTO,350h 00' 00'',-,,,1911,1260000,0,points
27,PIETRO GHISLOTTI,104,ISOLES,376h 00' 00'',-,,,1911,1353600,0,points
28,LUCIEN ROQUEBERT,109,ISOLES,391h 00' 00'',-,,,1911,1407600,0,points
1,ODIEL DEFRAEYE,10,ALCYON,49h 00' 00'',-,,,1912,176400,0,points
2,EUGÈNE CHRISTOPHE,21,ARMOR,108h 00' 00'',-,,,1912,388800,0,points
3,GUSTAVE GARRIGOU,6,ALCYON,140h 00' 00'',-,,,1912,504000,0,points
4,MARCEL BUYSSE,15,PEUGEOT,147h 00' 00'',-,,,1912,529200,0,points
5,JEAN ALAVOINE,23,ARMOR,148h 00' 00'',-,,,1912,532800,0,points
6,PHILIPPE THYS,14,PEUGEOT,148h 00' 00'',-,,,1912,532800,0,points
7,HECTOR TIBERGHEN,18,GRIFFON,149h 00' 00'',-,,,1912,536400,0,points
8,HENRI DEVROYE,40,LE GLOBE,163h 00' 00'',-,,,1912,586800,0,points
9,FÉLICIEN SALMON,12,PEUGEOT,166h 00' 00'',-,,,1912,597600,0,points
10,ALFONS SPIESSENS,27,J.B-LOUVET,167h 00' 00'',-,,,1912,601200,0,points
11,LOUIS HEUSGHEM,9,ALCYON,167h 00' 00'',-,,,1912,601200,0,points
