,Rank,Rider,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds,ResultType
5604,82,PETER DECLERCQ,LOTTO-VETTA-CALOÏ,106h 00' 21'',+ 02h 21' 43'',,,1994,3978,22,381621,8503,time
5605,83,STEPHEN HODGE,FESTINA-ANDORRA,106h 02' 28'',+ 02h 23' 50'',,,1994,3978,22,381748,8630,time
5606,84,UWE RAAB,TELECOM,106h 03' 16'',+ 02h 24' 38'',,,1994,3978,22,381796,8678,time
5607,85,JULIO-CÉSAR CADENA,KELME-AVIANCA,106h 03' 30'',+ 02h 24' 52'',,,1994,3978,22,381810,8692,time
5608,86,MARCO ZEN,LAMPRE-PANARIA,106h 03' 51'',+ 02h 25' 13'',,,1994,3978,22,381831,8713,time
5609,87,FRANCISCO CABELLO,KELME-AVIANCA,106h 04' 13'',+ 02h 25' 35'',,,1994,3978,22,381853,8735,time
5610,88,GUY NULENS,ZG MOBILI-SELLE ITALIA,106h 04' 30'',+ 02h 25' 52'',,,1994,3978,22,381870,8752,time
5611,89,FRANKIE ANDREU,MOTOROLA,106h 05' 02'',+ 02h 26' 24'',,,1994,3978,22,381902,8784,time
5612,90,GUIDO BONTEMPI,GEWISS-BALLAN,106h 05' 05'',+ 02h 26' 27'',,,1994,3978,22,381905,8787,time
5613,91,BRUNO THIBOUT,CASTORAMA,106h 05' 20'',+ 02h 26' 42'',,,1994,3978,22,381920,8802,time
5614,92,MARC WAUTERS,ZG MOBILI-SELLE ITALIA,106h 07' 16'',+ 02h 28' 38'',,,1994,3978,22,382036,8918,time
5615,93,HENDRIK REDANT,ZG MOBILI-SELLE ITALIA,106h 07' 35'',+ 02h 28' 57'',,,1994,3978,22,382055,8937,time
5616,94,SILVIO MARTINELLO,MERCATONE UNO-MEDEGHINI,106h 07' 42'',+ 02h 29' 04'',,,1994,3978,22,382062,8944,time
5617,95,MELCHOR MAURI,BANESTO,106h 08' 58'',+ 02h 30' 20'',,,1994,3978,22,382138,9020,time
5618,96,ANGEL EDO ALSINA,KELME-AVIANCA,106h 09' 39'',+ 02h 31' 01'',,,1994,3978,22,382179,9061,time
5619,97,MARIO KUMMER,TELECOM,106h 10' 20'',+ 02h 31' 42'',,,1994,3978,22,382220,9102,time
5620,98,RUDY VERDONCK,LOTTO-VETTA-CALOÏ,106h 11' 02'',+ 02h 32' 24'',,,1994,3978,22,382262,9144,time
5621,99,ERWIN NIJBOER,BANESTO,106h 13' 05'',+ 02h 34' 27'',,,1994,3978,22,382385,9267,time
5622,100,CESARY ZAMANA,KELME-AVIANCA,106h 13' 21'',+ 02h 34' 43'',,,1994,3978,22,382401,9283,time
5623,101,ERIK DEKKER,ZG MOBILI-SELLE ITALIA,106h 13' 30'',+ 02h 34' 52'',,,1994,3978,22,382410,9292,time
5624,102,ALBERTO LEANIZBARRUTIA,ONCE,106h 14' 43'',+ 02h 36' 05'',,,1994,3978,22,382483,9365,time
5625,103,JAN SVORADA,LAMPRE-PANARIA,106h 15' 03'',+ 02h 36' 25'',,,1994,3978,22,382503,9385,time
5626,104,MICHEL DERNIES,MOTOROLA,106h 15' 09'',+ 02h 36' 31'',,,1994,3978,22,382509,9391,time
5627,105,OLAF LUDWIG,TELECOM,106h 16' 15'',+ 02h 37' 37'',,,1994,3978,22,382575,9457,time
5628,106,CHRISTIAN HENN,TELECOM,106h 16' 26'',+ 02h 37' 48'',,,1994,3978,22,382586,9468,time
5629,107,DARIO BOTTARO,GEWISS-BALLAN,106h 17' 55'',+ 02h 39' 17'',,,1994,3978,22,382675,9557,time
5630,108,DAVIDE CASSANI,GB-MG TECHNOGYM,106h 20' 10'',+ 02h 41' 32'',,,1994,3978,22,382810,9692,time
5631,109,HERMINIO DIAZ ZABALA,ONCE,106h 20' 44'',+ 02h 42' 06'',,,1994,3978,22,382844,9726,time
5632,110,GIOVANNI FIDANZA,TEAM POLTI,106h 21' 25'',+ 02h 42' 47'',,,1994,3978,22,382885,9767,time
5633,111,REMO ROSSI,CARRERA JEANS-TASSONI,106h 22' 29'',+ 02h 43' 51'',,,1994,3978,22,382949,9831,time
5634,112,STEPHEN SWART,MOTOROLA,106h 23' 16'',+ 02h 44' 38'',,,1994,3978,22,382996,9878,time
5635,113,FRANCIS MOREAU,GAN,106h 29' 51'',+ 02h 51' 13'',,,1994,3978,22,383391,10273,time
5636,114,MARIO CHIESA,CARRERA JEANS-TASSONI,106h 30' 40'',+ 02h 52' 02'',,,1994,3978,22,383440,10322,time
5637,115,EROS POLI,MERCATONE UNO-MEDEGHINI,106h 31' 19'',+ 02h 52' 41'',,,1994,3978,22,383479,10361,time
5638,116,ROB MULDERS,ZG MOBILI-SELLE ITALIA,106h 47' 10'',+ 03h 08' 32'',,,1994,3978,22,384430,11312,time
5639,117,JOHN TALEN,MERCATONE UNO-MEDEGHINI,107h 17' 41'',+ 03h 39' 03'',,,1994,3978,22,386261,13143,time
5640,1,MIGUEL INDURAIN,BANESTO,92h 44' 59'',-,,,1995,3635,21,333899,0,time
5641,2,ALEX ZULLE,ONCE,92h 49' 34'',+ 00h 04' 35'',,,1995,3635,21,334174,275,time
5642,3,BJARNE RIIS,GEWISS-BALLAN,92h 51' 46'',+ 00h 06' 47'',,,1995,3635,21,334306,407,time
5643,4,LAURENT JALABERT,ONCE,92h 53' 23'',+ 00h 08' 24'',,,1995,3635,21,334403,504,time
5644,5,IVAN GOTTI,GEWISS-BALLAN,92h 56' 32'',+ 00h 11' 33'',,,1995,3635,21,334592,693,time
5645,6,MELCHOR MAURI,ONCE,93h 00' 19'',+ 00h 15' 20'',,,1995,3635,21,334819,920,time
5646,7,FERNANDO ESCARTIN,MAPEI-GB,93h 00' 48'',+ 00h 15' 49'',,,1995,3635,21,334848,949,time
5647,8,TONY ROMINGER,MAPEI-GB,93h 01' 45'',+ 00h 16' 46'',,,1995,3635,21,334905,1006,time
5648,9,RICHARD VIRENQUE,FESTINA WATCHES,93h 02' 30'',+ 00h 17' 31'',,,1995,3635,21,334950,1051,time
5649,10,HERNÁN BUENAHORA GUTIERREZ,KELME-AVIANCA,93h 03' 49'',+ 00h 18' 50'',,,1995,3635,21,335029,1130,time
5650,11,CLAUDIO CHIAPPUCCI,CARRERA-TASSONI,93h 03' 54'',+ 00h 18' 55'',,,1995,3635,21,335034,1135,time
5651,12,LAURENT MADOUAS,CASTORAMA,93h 05' 36'',+ 00h 20' 37'',,,1995,3635,21,335136,1237,time
5652,13,MARCO PANTANI,CARRERA-TASSONI,93h 11' 19'',+ 00h 26' 20'',,,1995,3635,21,335479,1580,time
5653,14,PAOLO LANFRANCHI,BRESCIALAT,93h 14' 40'',+ 00h 29' 41'',,,1995,3635,21,335680,1781,time
5654,15,BRUNO CENGHIALTA,GEWISS-BALLAN,93h 14' 54'',+ 00h 29' 55'',,,1995,3635,21,335694,1795,time
5655,16,ALVARO MEJIA,MOTOROLA,93h 18' 39'',+ 00h 33' 40'',,,1995,3635,21,335919,2020,time
5656,17,BO HAMBURGER,TVM-POLIS DIRECT,93h 19' 48'',+ 00h 34' 49'',,,1995,3635,21,335988,2089,time
5657,18,VJATCESLAV EKIMOV,NOVELL,93h 24' 50'',+ 00h 39' 51'',,,1995,3635,21,336290,2391,time
5658,19,LAURENT DUFAUX,FESTINA WATCHES,93h 30' 54'',+ 00h 45' 55'',,,1995,3635,21,336654,2755,time
5659,20,ERIK BREUKINK,ONCE,93h 32' 26'',+ 00h 47' 27'',,,1995,3635,21,336746,2847,time
5660,21,VICENTE APARICIO VILA,BANESTO,93h 37' 53'',+ 00h 52' 54'',,,1995,3635,21,337073,3174,time
5661,22,JEAN-CYRIL ROBIN,FESTINA WATCHES,93h 41' 00'',+ 00h 56' 01'',,,1995,3635,21,337260,3361,time
5662,23,ARSENIO GONZALEZ,MAPEI-GB,93h 41' 17'',+ 00h 56' 18'',,,1995,3635,21,337277,3378,time
5663,24,FEDERICO MUNOZ,KELME-AVIANCA,93h 46' 02'',+ 01h 01' 03'',,,1995,3635,21,337562,3663,time
5664,25,VLADIMIR POULNIKOV,TELECOM-ZG-SELLE ITALIA,93h 46' 30'',+ 01h 01' 31'',,,1995,3635,21,337590,3691,time
5665,26,MASSIMO PODENZANA,BRESCIALAT,93h 46' 53'',+ 01h 01' 54'',,,1995,3635,21,337613,3714,time
5666,27,LAUDELINO CUBINO GONZALEZ,KELME-AVIANCA,93h 47' 26'',+ 01h 02' 27'',,,1995,3635,21,337646,3747,time
5667,28,LAURENT BROCHARD,FESTINA WATCHES,93h 47' 44'',+ 01h 02' 45'',,,1995,3635,21,337664,3765,time
5668,29,BEAT ZBERG,CARRERA-TASSONI,93h 52' 07'',+ 01h 07' 08'',,,1995,3635,21,337927,4028,time
5669,30,YVON LEDANOIS,GAN,93h 59' 03'',+ 01h 14' 04'',,,1995,3635,21,338343,4444,time
5670,31,JOHAN BRUYNEEL,ONCE,94h 03' 13'',+ 01h 18' 14'',,,1995,3635,21,338593,4694,time
5671,32,OSCAR PELLICIOLI,TEAM POLTI,94h 05' 12'',+ 01h 20' 13'',,,1995,3635,21,338712,4813,time
5672,33,ALBERTO ELLI,MG-TECHNOGYM,94h 06' 33'',+ 01h 21' 34'',,,1995,3635,21,338793,4894,time
5673,34,JEAN-FRANÇOIS BERNARD,CHAZAL-MBK-KONIG,94h 08' 10'',+ 01h 23' 11'',,,1995,3635,21,338890,4991,time
5674,35,HERMINIO DIAZ ZABALA,ONCE,94h 08' 26'',+ 01h 23' 27'',,,1995,3635,21,338906,5007,time
5675,36,LANCE ARMSTRONG,MOTOROLA,94h 13' 05'',+ 01h 28' 06'',,,1995,3635,21,339185,5286,time
5676,37,GEORG TOTSCHNIG,TEAM POLTI,94h 15' 46'',+ 01h 30' 47'',,,1995,3635,21,339346,5447,time
5677,38,UDO BÖLTS,TELECOM-ZG-SELLE ITALIA,94h 16' 15'',+ 01h 31' 16'',,,1995,3635,21,339375,5476,time
5678,39,ANDREA TAFI,MAPEI-GB,94h 21' 48'',+ 01h 36' 49'',,,1995,3635,21,339708,5809,time
5679,40,THOMAS DAVY,BANESTO,94h 23' 03'',+ 01h 38' 04'',,,1995,3635,21,339783,5884,time
5680,41,GÉRARD RUE,BANESTO,94h 23' 10'',+ 01h 38' 11'',,,1995,3635,21,339790,5891,time
5681,42,ENRICO ZAINA,CARRERA-TASSONI,94h 23' 27'',+ 01h 38' 28'',,,1995,3635,21,339807,5908,time
5682,43,MASSIMILIANO LELLI,MERCATONE UNO-SAECO,94h 24' 42'',+ 01h 39' 43'',,,1995,3635,21,339882,5983,time
5683,44,ANDREA PERON,MOTOROLA,94h 27' 17'',+ 01h 42' 18'',,,1995,3635,21,340037,6138,time
5684,45,EDDY BOUWMANS,NOVELL,94h 29' 08'',+ 01h 44' 09'',,,1995,3635,21,340148,6249,time
5685,46,ZENON JASKULA,AKI-GIPIEMME,94h 38' 45'',+ 01h 53' 46'',,,1995,3635,21,340725,6826,time
5686,47,MAXIMILIAN SCIANDRI,MG-TECHNOGYM,94h 40' 09'',+ 01h 55' 10'',,,1995,3635,21,340809,6910,time
5687,48,FRANCO VONA,MG-TECHNOGYM,94h 40' 34'',+ 01h 55' 35'',,,1995,3635,21,340834,6935,time
5688,49,JESPER SKIBBY,TVM-POLIS DIRECT,94h 40' 42'',+ 01h 55' 43'',,,1995,3635,21,340842,6943,time
5689,50,LEONARDO SIERRA,CARRERA-TASSONI,94h 41' 16'',+ 01h 56' 17'',,,1995,3635,21,340876,6977,time
5690,51,GABRIELE COLOMBO,GEWISS-BALLAN,94h 42' 13'',+ 01h 57' 14'',,,1995,3635,21,340933,7034,time
5691,52,MAARTEN DEN BAKKER,TVM-POLIS DIRECT,94h 43' 24'',+ 01h 58' 25'',,,1995,3635,21,341004,7105,time
5692,53,GIANNI BUGNO,MG-TECHNOGYM,94h 43' 46'',+ 01h 58' 47'',,,1995,3635,21,341026,7127,time
5693,54,ANDREA FERRIGATO,TELECOM-ZG-SELLE ITALIA,94h 49' 50'',+ 02h 04' 51'',,,1995,3635,21,341390,7491,time
5694,55,DIDIER ROUS,GAN,94h 52' 38'',+ 02h 07' 39'',,,1995,3635,21,341558,7659,time
5695,56,DJAMOLIDINE ABDOUJAPAROV,NOVELL,94h 53' 54'',+ 02h 08' 55'',,,1995,3635,21,341634,7735,time
5696,57,CARMELO MIRANDA,BANESTO,94h 53' 56'',+ 02h 08' 57'',,,1995,3635,21,341636,7737,time
5697,58,ROLF ALDAG,TELECOM-ZG-SELLE ITALIA,94h 58' 40'',+ 02h 13' 41'',,,1995,3635,21,341920,8021,time
5698,59,FRANÇOIS SIMON,CASTORAMA,95h 00' 15'',+ 02h 15' 16'',,,1995,3635,21,342015,8116,time
5699,60,NEIL STEPHENS,ONCE,95h 01' 00'',+ 02h 16' 01'',,,1995,3635,21,342060,8161,time
5700,61,MIGUEL ARROYO,CHAZAL-MBK-KONIG,95h 04' 05'',+ 02h 19' 06'',,,1995,3635,21,342245,8346,time
5701,62,ARMAND DE LAS CUEVAS,CASTORAMA,95h 04' 22'',+ 02h 19' 23'',,,1995,3635,21,342262,8363,time
5702,63,GILLES BOUVARD,CHAZAL-MBK-KONIG,95h 09' 17'',+ 02h 24' 18'',,,1995,3635,21,342557,8658,time
5703,64,STEPHEN HODGE,FESTINA WATCHES,95h 13' 16'',+ 02h 28' 17'',,,1995,3635,21,342796,8897,time
5704,65,ALBERTO VOLPI,GEWISS-BALLAN,95h 13' 42'',+ 02h 28' 43'',,,1995,3635,21,342822,8923,time
5705,66,JENS HEPPNER,TELECOM-ZG-SELLE ITALIA,95h 15' 46'',+ 02h 30' 47'',,,1995,3635,21,342946,9047,time
5706,67,ROLF JAERMANN,MG-TECHNOGYM,95h 17' 13'',+ 02h 32' 14'',,,1995,3635,21,343033,9134,time
5707,68,FABIAN JEKER,FESTINA WATCHES,95h 23' 20'',+ 02h 38' 21'',,,1995,3635,21,343400,9501,time
5708,69,JOSÉ-RAMON URIARTE,BANESTO,95h 23' 21'',+ 02h 38' 22'',,,1995,3635,21,343401,9502,time
5709,70,ERIK DEKKER,NOVELL,95h 23' 27'',+ 02h 38' 28'',,,1995,3635,21,343407,9508,time
5710,71,ANDREI TCHMIL,LOTTO-ISOGLASS,95h 24' 01'',+ 02h 39' 02'',,,1995,3635,21,343441,9542,time
5711,72,MASSIMO DONATI,MERCATONE UNO-SAECO,95h 25' 03'',+ 02h 40' 04'',,,1995,3635,21,343503,9604,time
5712,73,JOHAN MUSEEUW,MAPEI-GB,95h 26' 53'',+ 02h 41' 54'',,,1995,3635,21,343613,9714,time
5713,74,SERGUEI OUTSCHAKOV,TEAM POLTI,95h 27' 06'',+ 02h 42' 07'',,,1995,3635,21,343626,9727,time
5714,75,ARTURAS KASPUTIS,CHAZAL-MBK-KONIG,95h 30' 49'',+ 02h 45' 50'',,,1995,3635,21,343849,9950,time
5715,76,JIM VAN DE LAER,TVM-POLIS DIRECT,95h 30' 51'',+ 02h 45' 52'',,,1995,3635,21,343851,9952,time
5716,77,FRANCESCO FRATTINI,GEWISS-BALLAN,95h 31' 10'',+ 02h 46' 11'',,,1995,3635,21,343870,9971,time
5717,78,MARINO ALONSO,BANESTO,95h 32' 24'',+ 02h 47' 25'',,,1995,3635,21,343944,10045,time
5718,79,DARIO BOTTARO,GEWISS-BALLAN,95h 32' 25'',+ 02h 47' 26'',,,1995,3635,21,343945,10046,time
5719,81,DAVIDE PERONA,LAMPRE-PANARIA,95h 36' 33'',+ 02h 51' 34'',,,1995,3635,21,344193,10294,time
5720,82,FRANKIE ANDREU,MOTOROLA,95h 37' 14'',+ 02h 52' 15'',,,1995,3635,21,344234,10335,time
5721,83,ALESSIO GALETTI,LAMPRE-PANARIA,95h 37' 21'',+ 02h 52' 22'',,,1995,3635,21,344241,10342,time
5722,84,MARCELLO SIBONI,CARRERA-TASSONI,95h 38' 15'',+ 02h 53' 16'',,,1995,3635,21,344295,10396,time
5723,85,MARCO MILESI,BRESCIALAT,95h 39' 09'',+ 02h 54' 10'',,,1995,3635,21,344349,10450,time
5724,86,FLAVIO VANZELLA,MG-TECHNOGYM,95h 39' 09'',+ 02h 54' 10'',,,1995,3635,21,344349,10450,time
5725,87,GIANCARLO PERINI,BRESCIALAT,95h 39' 17'',+ 02h 54' 18'',,,1995,3635,21,344357,10458,time
5726,88,WILFRIED PEETERS,MAPEI-GB,95h 39' 37'',+ 02h 54' 38'',,,1995,3635,21,344377,10478,time
5727,89,GUIDO BONTEMPI,GEWISS-BALLAN,95h 40' 27'',+ 02h 55' 28'',,,1995,3635,21,344427,10528,time
5728,90,ERIK ZABEL,TELECOM-ZG-SELLE ITALIA,95h 41' 47'',+ 02h 56' 48'',,,1995,3635,21,344507,10608,time
5729,91,ARVIS PIZIKS,NOVELL,95h 42' 54'',+ 02h 57' 55'',,,1995,3635,21,344574,10675,time
5730,92,FRANÇOIS LEMARCHAND,GAN,95h 43' 25'',+ 02h 58' 26'',,,1995,3635,21,344605,10706,time
5731,93,JOSÉ ANGEL VIDAL,KELME-AVIANCA,95h 43' 37'',+ 02h 58' 38'',,,1995,3635,21,344617,10718,time
5732,94,THIERRY MARIE,CASTORAMA,95h 43' 53'',+ 02h 58' 54'',,,1995,3635,21,344633,10734,time
5733,95,AITOR GARMENDIA,BANESTO,95h 44' 42'',+ 02h 59' 43'',,,1995,3635,21,344682,10783,time
5734,96,ALEXANDER GONTCHENKOV,LAMPRE-PANARIA,95h 45' 24'',+ 03h 00' 25'',,,1995,3635,21,344724,10825,time
5735,97,FRANS MAASSEN,NOVELL,95h 46' 42'',+ 03h 01' 43'',,,1995,3635,21,344802,10903,time
5736,98,MARIO SCIREA,TEAM POLTI,95h 46' 54'',+ 03h 01' 55'',,,1995,3635,21,344814,10915,time
5737,99,MAURO BETTIN,AKI-GIPIEMME,95h 48' 59'',+ 03h 04' 00'',,,1995,3635,21,344939,11040,time
5738,100,NICOLA LODA,MG-TECHNOGYM,95h 49' 44'',+ 03h 04' 45'',,,1995,3635,21,344984,11085,time
5739,101,STEVE BAUER,MOTOROLA,95h 50' 32'',+ 03h 05' 33'',,,1995,3635,21,345032,11133,time
5740,102,ROSSANO BRASI,TEAM POLTI,95h 51' 22'',+ 03h 06' 23'',,,1995,3635,21,345082,11183,time
5741,103,GIUSEPPE LOMBARDI,TEAM POLTI,95h 51' 39'',+ 03h 06' 40'',,,1995,3635,21,345099,11200,time
5742,104,GILLES TALMANT,CASTORAMA,95h 52' 18'',+ 03h 07' 19'',,,1995,3635,21,345138,11239,time
5743,105,PETER FARAZIJN,LOTTO-ISOGLASS,95h 54' 31'',+ 03h 09' 32'',,,1995,3635,21,345271,11372,time
5744,106,STEFANO COLAGE,TELECOM-ZG-SELLE ITALIA,95h 55' 03'',+ 03h 10' 04'',,,1995,3635,21,345303,11404,time
5745,107,GIAN MATTEO FAGNINI,MERCATONE UNO-SAECO,95h 57' 10'',+ 03h 12' 11'',,,1995,3635,21,345430,11531,time
5746,108,GIOVANNI FIDANZA,TEAM POLTI,95h 57' 19'',+ 03h 12' 20'',,,1995,3635,21,345439,11540,time
5747,109,STEPHEN SWART,MOTOROLA,95h 59' 14'',+ 03h 14' 15'',,,1995,3635,21,345554,11655,time
5748,110,GIANLUCA GORINI,AKI-GIPIEMME,95h 59' 19'',+ 03h 14' 20'',,,1995,3635,21,345559,11660,time
5749,111,MARCO SERPELLINI,LAMPRE-PANARIA,96h 01' 04'',+ 03h 16' 05'',,,1995,3635,21,345664,11765,time
5750,112,DAVIDE CASSANI,MG-TECHNOGYM,96h 01' 50'',+ 03h 16' 51'',,,1995,3635,21,345710,11811,time
5751,113,BART VOSKAMP,TVM-POLIS DIRECT,96h 02' 40'',+ 03h 17' 41'',,,1995,3635,21,345760,11861,time
5752,114,EROS POLI,MERCATONE UNO-SAECO,96h 06' 25'',+ 03h 21' 26'',,,1995,3635,21,345985,12086,time
5753,115,BRUNO CORNILLET,CHAZAL-MBK-KONIG,96h 21' 25'',+ 03h 36' 26'',,,1995,3635,21,346885,12986,time
5754,1,BJARNE RIIS,TEAM DEUTSCHE TELEKOM,95h 57' 16'',-,,,1996,3765,22,345436,0,time
5755,2,JAN ULLRICH,TEAM DEUTSCHE TELEKOM,95h 58' 57'',+ 00h 01' 41'',,,1996,3765,22,345537,101,time
5756,3,RICHARD VIRENQUE,FESTINA,96h 01' 53'',+ 00h 04' 37'',,,1996,3765,22,345713,277,time
5757,4,LAURENT DUFAUX,FESTINA,96h 03' 09'',+ 00h 05' 53'',,,1996,3765,22,345789,353,time
5758,5,PETER LÜTTENBERGER,CARRERA BLUE JEANS-LONGONI,96h 04' 23'',+ 00h 07' 07'',,,1996,3765,22,345863,427,time
5759,6,LUC LEBLANC,TEAM POLTI,96h 07' 19'',+ 00h 10' 03'',,,1996,3765,22,346039,603,time
5760,7,PIOTR UGRUMOV,ROSLOTTO-ZG MOBILI,96h 07' 20'',+ 00h 10' 04'',,,1996,3765,22,346040,604,time
5761,8,FERNANDO ESCARTIN,KELME-ARTIACH-COSTA BLANCA,96h 07' 42'',+ 00h 10' 26'',,,1996,3765,22,346062,626,time
5762,9,ABRAHAM OLANO,MAPEI-GB,96h 08' 16'',+ 00h 11' 00'',,,1996,3765,22,346096,660,time
5763,10,TONY ROMINGER,MAPEI-GB,96h 09' 09'',+ 00h 11' 53'',,,1996,3765,22,346149,713,time
5764,11,MIGUEL INDURAIN,BANESTO,96h 11' 30'',+ 00h 14' 14'',,,1996,3765,22,346290,854,time
5765,12,PATRICK JONKER,ONCE,96h 16' 14'',+ 00h 18' 58'',,,1996,3765,22,346574,1138,time
5766,13,BO HAMBURGER,TVM,96h 19' 35'',+ 00h 22' 19'',,,1996,3765,22,346775,1339,time
5767,14,UDO BÖLTS,TEAM DEUTSCHE TELEKOM,96h 23' 12'',+ 00h 25' 56'',,,1996,3765,22,346992,1556,time
5768,15,ALBERTO ELLI,MG-TECHNOGYM,96h 23' 34'',+ 00h 26' 18'',,,1996,3765,22,347014,1578,time
5769,16,MANUEL FERNANDEZ GINES,MAPEI-GB,96h 23' 44'',+ 00h 26' 28'',,,1996,3765,22,347024,1588,time
5770,17,LEONARDO PIEPOLI,CERAMICHE REFIN-MOBILVETTA,96h 24' 52'',+ 00h 27' 36'',,,1996,3765,22,347092,1656,time
5771,18,LAURENT BROCHARD,FESTINA,96h 29' 27'',+ 00h 32' 11'',,,1996,3765,22,347367,1931,time
5772,19,MICHELE BARTOLI,MG-TECHNOGYM,96h 34' 34'',+ 00h 37' 18'',,,1996,3765,22,347674,2238,time
5773,20,EVGUENI BERZIN,GEWISS-PLAYBUS,96h 35' 16'',+ 00h 38' 00'',,,1996,3765,22,347716,2280,time
5774,21,VJATCESLAV EKIMOV,RABOBANK,96h 41' 14'',+ 00h 43' 58'',,,1996,3765,22,348074,2638,time
5775,22,STEFANO CATTAI,ROSLOTTO-ZG MOBILI,96h 45' 19'',+ 00h 48' 03'',,,1996,3765,22,348319,2883,time
5776,23,LAURENT MADOUAS,MOTOROLA,96h 50' 31'',+ 00h 53' 15'',,,1996,3765,22,348631,3195,time
5777,24,ARSENIO GONZALEZ,MAPEI-GB,96h 52' 44'',+ 00h 55' 28'',,,1996,3765,22,348764,3328,time
5778,25,MASSIMILIANO LELLI,SAECO,96h 52' 51'',+ 00h 55' 35'',,,1996,3765,22,348771,3335,time
5779,26,ALEX ZULLE,ONCE,96h 54' 03'',+ 00h 56' 47'',,,1996,3765,22,348843,3407,time
5780,27,GIUSEPPE GUERINI,TEAM POLTI,97h 02' 28'',+ 01h 05' 12'',,,1996,3765,22,349348,3912,time
5781,28,ROLF SORENSEN,RABOBANK,97h 08' 44'',+ 01h 11' 28'',,,1996,3765,22,349724,4288,time
5782,29,JESPER SKIBBY,TVM,97h 08' 52'',+ 01h 11' 36'',,,1996,3765,22,349732,4296,time
5783,30,MARCO FINCATO,ROSLOTTO-ZG MOBILI,97h 09' 07'',+ 01h 11' 51'',,,1996,3765,22,349747,4311,time
5784,31,MICHAEL BOOGERD,RABOBANK,97h 11' 01'',+ 01h 13' 45'',,,1996,3765,22,349861,4425,time
5785,32,JOSÉ LUIS ARRIETA,BANESTO,97h 11' 04'',+ 01h 13' 48'',,,1996,3765,22,349864,4428,time
5786,33,PAOLO SAVOLDELLI,ROSLOTTO-ZG MOBILI,97h 12' 36'',+ 01h 15' 20'',,,1996,3765,22,349956,4520,time
5787,34,ERIK BREUKINK,RABOBANK,97h 17' 19'',+ 01h 20' 03'',,,1996,3765,22,350239,4803,time
5788,35,AITOR GARMENDIA,ONCE,97h 17' 58'',+ 01h 20' 42'',,,1996,3765,22,350278,4842,time
5789,36,OSCAR CAMENZIND,CERAMICHE PANARIA-VINAVIL,97h 22' 43'',+ 01h 25' 27'',,,1996,3765,22,350563,5127,time
5790,37,CLAUDIO CHIAPPUCCI,CARRERA BLUE JEANS-LONGONI,97h 24' 39'',+ 01h 27' 23'',,,1996,3765,22,350679,5243,time
5791,38,MELCHOR MAURI,ONCE,97h 24' 44'',+ 01h 27' 28'',,,1996,3765,22,350684,5248,time
5792,39,CHRIS BOARDMAN,GAN,97h 25' 00'',+ 01h 27' 44'',,,1996,3765,22,350700,5264,time
5793,40,FEDERICO ECHAVE,MAPEI-GB,97h 26' 41'',+ 01h 29' 25'',,,1996,3765,22,350801,5365,time
5794,41,ROBERTO SIERRA,ONCE,97h 27' 27'',+ 01h 30' 11'',,,1996,3765,22,350847,5411,time
5795,42,PASCAL HERVE,FESTINA,97h 30' 17'',+ 01h 33' 01'',,,1996,3765,22,351017,5581,time
5796,43,MIRCO GUALDI,TEAM POLTI,97h 32' 15'',+ 01h 34' 59'',,,1996,3765,22,351135,5699,time
5797,44,LAURENT ROUX,TVM,97h 33' 27'',+ 01h 36' 11'',,,1996,3765,22,351207,5771,time
5798,45,ANDREA TAFI,MAPEI-GB,97h 36' 10'',+ 01h 38' 54'',,,1996,3765,22,351370,5934,time
5799,46,ANDREA FERRIGATO,ROSLOTTO-ZG MOBILI,97h 36' 39'',+ 01h 39' 23'',,,1996,3765,22,351399,5963,time
5800,47,PASCAL RICHARD,MG-TECHNOGYM,97h 38' 12'',+ 01h 40' 56'',,,1996,3765,22,351492,6056,time
5801,48,FELIX MANUEL GARCIA CASAS,FESTINA,97h 39' 29'',+ 01h 42' 13'',,,1996,3765,22,351569,6133,time
5802,49,NEIL STEPHENS,ONCE,97h 40' 49'',+ 01h 43' 33'',,,1996,3765,22,351649,6213,time
5803,50,DAVIDE PERONA,GEWISS-PLAYBUS,97h 40' 56'',+ 01h 43' 40'',,,1996,3765,22,351656,6220,time
5804,51,MAURIZIO FONDRIEST,ROSLOTTO-ZG MOBILI,97h 43' 00'',+ 01h 45' 44'',,,1996,3765,22,351780,6344,time
5805,52,VALENTINO FOIS,CERAMICHE PANARIA-VINAVIL,97h 43' 14'',+ 01h 45' 58'',,,1996,3765,22,351794,6358,time
5806,53,HERMINIO DIAZ ZABALA,ONCE,97h 44' 24'',+ 01h 47' 08'',,,1996,3765,22,351864,6428,time
5807,54,ORLANDO RODRIGUES,BANESTO,97h 44' 31'',+ 01h 47' 15'',,,1996,3765,22,351871,6435,time
5808,55,BRUNO THIBOUT,MOTOROLA,97h 46' 18'',+ 01h 49' 02'',,,1996,3765,22,351978,6542,time
5809,56,BRUNO CENGHIALTA,GEWISS-PLAYBUS,97h 46' 35'',+ 01h 49' 19'',,,1996,3765,22,351995,6559,time
5810,57,JOSÉ MARIA JIMENEZ,BANESTO,97h 48' 46'',+ 01h 51' 30'',,,1996,3765,22,352126,6690,time
5811,58,PRUDENCIO INDURAIN,BANESTO,97h 49' 46'',+ 01h 52' 30'',,,1996,3765,22,352186,6750,time
