Team,Rider,Country,Year
BELGIQUE,MARTIN VAN GENEUGDEN,BEL,1958
BELGIQUE,ANDRÉ VLAYEN,BEL,1958
ESPAGNE,FEDERICO BAHAMONTES,ESP,1958
ESPAGNE,SALVADOR BOTELLA,ESP,1958
ESPAGNE,MIGUEL BOVER,ESP,1958
ESPAGNE,JÉSUS GALDEANO,ESP,1958
ESPAGNE,FERNANDO MANZANEQUE,ESP,1958
ESPAGNE,CARMELO MORALES,ESP,1958
ESPAGNE,FRANCISCO MORENO,ESP,1958
ESPAGNE,LUIS OTANO,ESP,1958
ESPAGNE,MIGUEL PACHECO,ESP,1958
ESPAGNE,BERNARDO RUIZ,ESP,1958
ESPAGNE,JULIO SAN EMETERIO,ESP,1958
ESPAGNE,ANTONIO SUAREZ,ESP,1958
PAYS BAS-LUXEMBOURG,PIET DAMEN,NED,1958
PAYS BAS-LUXEMBOURG,PIET DE JONGH,NED,1958
PAYS BAS-LUXEMBOURG,JOOP KERSTEN,NED,1958
PAYS BAS-LUXEMBOURG,JEF LAHAYE,NED,1958
PAYS BAS-LUXEMBOURG,WIM VAN EST,NED,1958
PAYS BAS-LUXEMBOURG,PIET VAN EST,NED,1958
PAYS BAS-LUXEMBOURG,GERRIT VOORTING,NED,1958
PAYS BAS-LUXEMBOURG,MARTIN VAN DEN BORGH,NED,1958
PAYS BAS-LUXEMBOURG,ALDO BOLZAN,LUX,1958
PAYS BAS-LUXEMBOURG,MARCEL ERNZER,LUX,1958
PAYS BAS-LUXEMBOURG,CHARLY GAUL,LUX,1958
PAYS BAS-LUXEMBOURG,JEAN-PIERRE SCHMITZ,LUX,1958
SUISSE-ALLEMAGNE,ERNEST ECUYER,SUI,1958
SUISSE-ALLEMAGNE,WALTER FAVRE,SUI,1958
SUISSE-ALLEMAGNE,TONY GRAESER,SUI,1958
SUISSE-ALLEMAGNE,JEAN-CLAUDE GRET,SUI,1958
SUISSE-ALLEMAGNE,HANS HOLLENSTEIN,SUI,1958
SUISSE-ALLEMAGNE,ERNST TRAXEL,SUI,1958
SUISSE-ALLEMAGNE,GUNTHER DEBUSSMANN,GER,1958
SUISSE-ALLEMAGNE,LOTHAR FRIEDICH,GER,1958
SUISSE-ALLEMAGNE,LOTHAR LÖDER,GER,1958
SUISSE-ALLEMAGNE,REINHOLD POMMER,GER,1958
SUISSE-ALLEMAGNE,FRANS REITZ,GER,1958
SUISSE-ALLEMAGNE,HORST TUELLER,GER,1958
INTERNATIONS,ADOLF CHRISTIAN,AUT,1958
INTERNATIONS,RUDOLF MARESCH,AUT,1958
INTERNATIONS,ANTONIO BAPTISTA,POR,1958
INTERNATIONS,ANTONIO BARBOSA ALVES,POR,1958
INTERNATIONS,SEAMUS ELLIOTT,IRL,1958
INTERNATIONS,STANLEY ARTHUR BRITTAIN,GBR,1958
INTERNATIONS,RON COE,GBR,1958
INTERNATIONS,BRIAN ROBINSON,GBR,1958
INTERNATIONS,HANS ANDRESEN,DEN,1958
INTERNATIONS,ELUF DALGAARD,DEN,1958
INTERNATIONS,KAJ-ALLAN OLSEN,DEN,1958
INTERNATIONS,FRITZ RAVN,DEN,1958
CENTRE-MIDI,HENRI ANGLADE,FRA,1958
CENTRE-MIDI,MARIO BERTOLO,FRA,1958
CENTRE-MIDI,EMMANUEL BUSTO,FRA,1958
CENTRE-MIDI,CLAUDE COLETTE,FRA,1958
CENTRE-MIDI,JEAN DOTTO,FRA,1958
CENTRE-MIDI,GEORGES GAY,FRA,1958
CENTRE-MIDI,RAPHAËL GEMINIANI,FRA,1958
CENTRE-MIDI,JEAN GRACZYK,FRA,1958
CENTRE-MIDI,PIERE POLO,ITA,1958
CENTRE-MIDI,MARCEL ROHRBACH,FRA,1958
CENTRE-MIDI,ANTONIN ROLLAND,FRA,1958
CENTRE-MIDI,ROGER CHAUSSABEL,FRA,1958
OUEST-SUD OUEST,JEAN BOURLES,FRA,1958
OUEST-SUD OUEST,JEAN GAINCHE,FRA,1958
OUEST-SUD OUEST,MAURICE LAVIGNE,FRA,1958
OUEST-SUD OUEST,CAMILLE LE MENN,FRA,1958
OUEST-SUD OUEST,EUGÈNE LETENDRE,FRA,1958
OUEST-SUD OUEST,JEAN MALLEJAC,FRA,1958
OUEST-SUD OUEST,ROBERT ROUDAUT,FRA,1958
OUEST-SUD OUEST,JOSEPH MORVAN,FRA,1958
OUEST-SUD OUEST,FERNAND PICOT,FRA,1958
OUEST-SUD OUEST,TINO SABBADINI,FRA,1958
OUEST-SUD OUEST,JOSEPH THOMIN,FRA,1958
OUEST-SUD OUEST,ROBERT VARNAJO,FRA,1958
PARIS-NORD EST,JEAN-CLAUDE ANNAERT,FRA,1958
PARIS-NORD EST,CLAUDE BARMIER,FRA,1958
PARIS-NORD EST,NICOLAS BARONE,FRA,1958
PARIS-NORD EST,STANISLAS BOBER,FRA,1958
PARIS-NORD EST,JEAN DACQUAY,FRA,1958
PARIS-NORD EST,SERGE DAVID,FRA,1958
PARIS-NORD EST,EDOUARD DELBERGHE,FRA,1958
PARIS-NORD EST,ANDRÉ DUPRE,FRA,1958
PARIS-NORD EST,RAYMOND HOORELBEKE,FRA,1958
PARIS-NORD EST,FERNAND LAMY,FRA,1958
PARIS-NORD EST,MAURICE MOUCHERAUD,FRA,1958
PARIS-NORD EST,MAURICE QUENTIN,FRA,1958
PAYS BAS-LUXEMBOURG,CHARLY GAUL,LUX,1959
PAYS BAS-LUXEMBOURG,ALDO BOLZAN,LUX,1959
PAYS BAS-LUXEMBOURG,MARCEL ERNZER,LUX,1959
PAYS BAS-LUXEMBOURG,JEAN-PIERRE SCHMITZ,LUX,1959
PAYS BAS-LUXEMBOURG,PIET DAMEN,NED,1959
PAYS BAS-LUXEMBOURG,DAAN DE GROOT,NED,1959
PAYS BAS-LUXEMBOURG,PIET DE JONGH,NED,1959
PAYS BAS-LUXEMBOURG,JOOP KERSTEN,NED,1959
PAYS BAS-LUXEMBOURG,ABRAHAM KOOL,NED,1959
PAYS BAS-LUXEMBOURG,MARTIN VAN DEN BORGH,NED,1959
PAYS BAS-LUXEMBOURG,PIET VAN EST,NED,1959
PAYS BAS-LUXEMBOURG,GERRIT VOORTING,NED,1959
BELGIQUE,JEAN ADRIAENSSENS,BEL,1959
BELGIQUE,JEAN BRANKART,BEL,1959
BELGIQUE,KAMIEL BUYSSE,BEL,1959
BELGIQUE,FRED DE BRUYNE,BEL,1959
BELGIQUE,ARMAND DESMET,BEL,1959
BELGIQUE,JOS HOEVENAERS,BEL,1959
BELGIQUE,MARCEL JANSSENS,BEL,1959
BELGIQUE,EDDY PAUWELS,BEL,1959
BELGIQUE,JOSEPH Planckaert,BEL,1959
BELGIQUE,MICHEL VAN AERDE,BEL,1959
BELGIQUE,MARTIN VAN GENEUGDEN,BEL,1959
BELGIQUE,GUILLAUME VAN TONGERLOO,BEL,1959
ITALIE,PIERINO BAFFI,ITA,1959
ITALIE,ERCOLE BALDINI,ITA,1959
ITALIE,WLADIMIRO BARTOLOZZI,ITA,1959
ITALIE,DINO BRUNI,ITA,1959
ITALIE,AURELIO CESTARI,ITA,1959
ITALIE,NELLO FABBRI,ITA,1959
ITALIE,ROBERTO FALASCHI,ITA,1959
ITALIE,GIUSEPPE FALLARINI,ITA,1959
ITALIE,VITO FAVERO,ITA,1959
ITALIE,MICHELE GISMONDI,ITA,1959
ITALIE,ARIGO PADOVAN,ITA,1959
ITALIE,ERNESTO BONO,ITA,1959
FRANCE,JACQUES ANQUETIL,FRA,1959
FRANCE,LOUISON BOBET,FRA,1959
FRANCE,ROBERT CAZALA,FRA,1959
FRANCE,ANDRÉ DARRIGADE,FRA,1959
FRANCE,PIERRE EVERAERT,FRA,1959
FRANCE,RAPHAËL GEMINIANI,FRA,1959
FRANCE,JEAN GRACZYK,FRA,1959
FRANCE,ROGER HASSENFORDER,FRA,1959
FRANCE,RAYMOND MASTROTTO,FRA,1959
FRANCE,RENÉ PRIVAT,FRA,1959
FRANCE,ROGER RIVIERE,FRA,1959
FRANCE,JEAN STABLINSKI,FRA,1959
ESPAGNE,FEDERICO BAHAMONTES,ESP,1959
ESPAGNE,JOSÉ BERRENDERO,ESP,1959
ESPAGNE,JUAN CAMPILLO GARCIA,ESP,1959
ESPAGNE,JOSÉ GOMEZ DEL MORAL,ESP,1959
ESPAGNE,JÉSUS GALDEANO,ESP,1959
ESPAGNE,ANICETO UTSET,ESP,1959
ESPAGNE,RENÉ MARIGIL,ESP,1959
ESPAGNE,FERNANDO MANZANEQUE,ESP,1959
ESPAGNE,LUIS OTANO,ESP,1959
ESPAGNE,JULIO SAN EMETERIO,ESP,1959
ESPAGNE,CARMELO MORALES,ESP,1959
ESPAGNE,ANTONIO SUAREZ,ESP,1959
SUISSE-ALLEMAGNE,ERNEST ECUYER,SUI,1959
SUISSE-ALLEMAGNE,ROLF GRAF,SUI,1959
SUISSE-ALLEMAGNE,HANS HOLLENSTEIN,SUI,1959
SUISSE-ALLEMAGNE,EMMANUEL PLATTNER,SUI,1959
SUISSE-ALLEMAGNE,MAX SCHELLENBERG,SUI,1959
SUISSE-ALLEMAGNE,ATTILIO MORESI,SUI,1959
SUISSE-ALLEMAGNE,ERNST TRAXEL,SUI,1959
SUISSE-ALLEMAGNE,OTTO ALTWECK,GER,1959
SUISSE-ALLEMAGNE,LOTHAR FRIEDICH,GER,1959
SUISSE-ALLEMAGNE,LOTHAR LÖDER,GER,1959
SUISSE-ALLEMAGNE,WINFRIED OMMER,GER,1959
SUISSE-ALLEMAGNE,FRANS REITZ,GER,1959
INTERNATIONS,ADOLF CHRISTIAN,AUT,1959
INTERNATIONS,RICHARD DURLACHER,AUT,1959
INTERNATIONS,ARNE JONSSON,DEN,1959
INTERNATIONS,OLE-BENT RETVIG,DEN,1959
INTERNATIONS,JOHN ANDREWS,GBR,1959
INTERNATIONS,TONY HEWSON,GBR,1959
INTERNATIONS,BRIAN ROBINSON,GBR,1959
INTERNATIONS,SEAMUS ELLIOTT,IRL,1959
INTERNATIONS,VICTOR SUTTON,GBR,1959
INTERNATIONS,TADEUSZ WIERUCKI,POL,1959
INTERNATIONS,ANTONIO BAPTISTA,POR,1959
INTERNATIONS,JOSE-SOUSA CARDOSO,POR,1959
CENTRE-MIDI,JEAN ANASTASI,FRA,1959
CENTRE-MIDI,HENRI ANGLADE,FRA,1959
CENTRE-MIDI,LOUIS BERGAUD,FRA,1959
CENTRE-MIDI,LOUIS BISILLIAT,FRA,1959
CENTRE-MIDI,EMMANUEL BUSTO,FRA,1959
CENTRE-MIDI,MICHEL DEJOUHANNET,FRA,1959
CENTRE-MIDI,JEAN DOTTO,FRA,1959
CENTRE-MIDI,JEAN FORESTIER,FRA,1959
CENTRE-MIDI,BERNARD GAUTHIER,FRA,1959
CENTRE-MIDI,VALENTIN HUOT,FRA,1959
CENTRE-MIDI,MARCEL ROHRBACH,FRA,1959
CENTRE-MIDI,LOUIS ROSTOLLAN,FRA,1959
PARIS-NORD EST,JEAN-CLAUDE ANNAERT,FRA,1959
PARIS-NORD EST,JEAN HOFFMAN,FRA,1959
PARIS-NORD EST,JACQUES CHAMPION,FRA,1959
PARIS-NORD EST,EDOUARD DELBERGHE,FRA,1959
PARIS-NORD EST,RAYMOND HOORELBEKE,FRA,1959
PARIS-NORD EST,STÉPHAN LACH,FRA,1959
PARIS-NORD EST,ANDRÉ LE DISSEZ,FRA,1959
PARIS-NORD EST,JEAN-CLAUDE LEFEBVRE,FRA,1959
PARIS-NORD EST,ORPHÉE MENEGHINI,FRA,1959
PARIS-NORD EST,RENÉ PAVARD,FRA,1959
PARIS-NORD EST,JEAN ROBIC,FRA,1959
PARIS-NORD EST,MICHEL VERMEULIN,FRA,1959
OUEST-SUD OUEST,MAX BLENEAU,FRA,1959
OUEST-SUD OUEST,ALBERT BOUVET,FRA,1959
OUEST-SUD OUEST,JEAN GAINCHE,FRA,1959
OUEST-SUD OUEST,JOSEPH GROUSSARD,FRA,1959
OUEST-SUD OUEST,FÉLIX LE BUHOTEL,FRA,1959
OUEST-SUD OUEST,FRANÇOIS MAHE,FRA,1959
OUEST-SUD OUEST,FERNAND PICOT,FRA,1959
OUEST-SUD OUEST,FRANCIS PIPELIN,FRA,1959
OUEST-SUD OUEST,MARCEL QUEHEILLE,FRA,1959
OUEST-SUD OUEST,GÉRARD SAINT,FRA,1959
OUEST-SUD OUEST,TINO SABBADINI,FRA,1959
OUEST-SUD OUEST,JOSEPH THOMIN,FRA,1959
ESPAGNE,FEDERICO BAHAMONTES,ESP,1960
ESPAGNE,JOSÉ BERRENDERO,ESP,1960
ESPAGNE,JÉSUS GALDEANO,ESP,1960
ESPAGNE,JOSÉ GOMEZ DEL MORAL,ESP,1960
ESPAGNE,ANTONIO KARMANY,ESP,1960
ESPAGNE,JÉSUS LORONO,ESP,1960
ESPAGNE,FERNANDO MANZANEQUE,ESP,1960
ESPAGNE,RENÉ MARIGIL,ESP,1960
ESPAGNE,GABRIEL MAS,ESP,1960
ESPAGNE,CARMELO MORALES,ESP,1960
ESPAGNE,LUIS OTANO,ESP,1960
ESPAGNE,MIGUEL PACHECO,ESP,1960
ESPAGNE,JULIO SAN EMETERIO,ESP,1960
ESPAGNE,ANTONIO SUAREZ,ESP,1960
BELGIQUE,JEAN ADRIAENSSENS,BEL,1960
BELGIQUE,JEAN BRANKART,BEL,1960
BELGIQUE,ARMAND DESMET,BEL,1960
BELGIQUE,JOS HOEVENAERS,BEL,1960
BELGIQUE,MARCEL JANSSENS,BEL,1960
BELGIQUE,ANDRÉ MESSELIS,BEL,1960
BELGIQUE,YVO MOLENAERS,BEL,1960
BELGIQUE,EDDY PAUWELS,BEL,1960
BELGIQUE,JOSEPH Planckaert,BEL,1960
BELGIQUE,LOUIS PROOST,BEL,1960
BELGIQUE,JULIEN SCHEPENS,BEL,1960
BELGIQUE,FRANS SCHOUBBEN,BEL,1960
BELGIQUE,MICHEL VAN AERDE,BEL,1960
BELGIQUE,MARTIN VAN GENEUGDEN,BEL,1960
FRANCE,HENRI ANGLADE,FRA,1960
FRANCE,ROBERT CAZALA,FRA,1960
FRANCE,CLAUDE COLETTE,FRA,1960
FRANCE,ANDRÉ DARRIGADE,FRA,1960
FRANCE,EDOUARD DELBERGHE,FRA,1960
FRANCE,JEAN DOTTO,FRA,1960
FRANCE,PIERRE EVERAERT,FRA,1960
FRANCE,JEAN GRACZYK,FRA,1960
FRANCE,RAYMOND MASTROTTO,FRA,1960
FRANCE,FRANÇOIS MAHE,FRA,1960
FRANCE,RENÉ PAVARD,FRA,1960
FRANCE,RENÉ PRIVAT,FRA,1960
FRANCE,ROGER RIVIERE,FRA,1960
FRANCE,LOUIS ROSTOLLAN,FRA,1960
ITALIE,PIERINO BAFFI,ITA,1960
ITALIE,ERCOLE BALDINI,ITA,1960
ITALIE,GRAZIANO BATTISTINI,ITA,1960
ITALIE,FERNANDO BRANDOLINI,ITA,1960
ITALIE,DINO BRUNI,ITA,1960
ITALIE,VITTORIO CASATI,ITA,1960
ITALIE,NINO DEFILIPPIS,ITA,1960
ITALIE,NELLO FABBRI,ITA,1960
ITALIE,ROBERTO FALASCHI,ITA,1960
ITALIE,GIANNI FERLENGHI,ITA,1960
ITALIE,IMERIO MASSIGNAN,ITA,1960
ITALIE,GASTONE NENCINI,ITA,1960
ITALIE,ARNALDO PAMBIANCO,ITA,1960
ITALIE,ALFREDO SABBADIN,ITA,1960
SUISSE-LUXEMBOURG,KURT GIMMI,SUI,1960
SUISSE-LUXEMBOURG,ROLF GRAF,SUI,1960
SUISSE-LUXEMBOURG,HANS SCHLEUNIGER,SUI,1960
SUISSE-LUXEMBOURG,ATTILIO MORESI,SUI,1960
SUISSE-LUXEMBOURG,RENÉ STREHLER,SUI,1960
SUISSE-LUXEMBOURG,WILLY TREPP,SUI,1960
SUISSE-LUXEMBOURG,ALDO BOLZAN,LUX,1960
SUISSE-LUXEMBOURG,JEAN-PIERRE SCHMITZ,LUX,1960
PAYS BAS,PIET DAMEN,NED,1960
PAYS BAS,JOHAN DE ROO,NED,1960
PAYS BAS,ALBERTUS GELDERMANS,NED,1960
PAYS BAS,JOOP KERSTEN,NED,1960
PAYS BAS,COEN NIESTEN,NED,1960
PAYS BAS,MARTIN VAN DEN BORGH,NED,1960
PAYS BAS,PIET VAN EST,NED,1960
PAYS BAS,WIM VAN EST,NED,1960
ALLEMAGNE,WILLY ALTIG,GER,1960
ALLEMAGNE,MANFRED DONIKE,GER,1960
ALLEMAGNE,LOTHAR FRIEDICH,GER,1960
ALLEMAGNE,HANS JAROSCEWICZ,GER,1960
ALLEMAGNE,HANS JUNKERMANN,GER,1960
ALLEMAGNE,EMIL REINECKE,GER,1960
ALLEMAGNE,FRANS REITZ,GER,1960
ALLEMAGNE,HORST TUELLER,GER,1960
INTERNATIONS,ADOLF CHRISTIAN,AUT,1960
INTERNATIONS,WILFRIED THALER,AUT,1960
INTERNATIONS,LEIF HAMMEL,DEN,1960
INTERNATIONS,TADEUSZ WIERUCKI,POL,1960
INTERNATIONS,OLE-BENT RETVIG,DEN,1960
INTERNATIONS,ANTONIO BAPTISTA,POR,1960
INTERNATIONS,ANTONIO BARBOSA ALVES,POR,1960
INTERNATIONS,GORAN KARLSSON,SWE,1960
GRANDE-BRETAGNE,JOHN ANDREWS,GBR,1960
GRANDE-BRETAGNE,STANLEY ARTHUR BRITTAIN,GBR,1960
GRANDE-BRETAGNE,JOHN KENNEDY,GBR,1960
GRANDE-BRETAGNE,HARRY REYNOLDS,GBR,1960
GRANDE-BRETAGNE,BRIAN ROBINSON,GBR,1960
GRANDE-BRETAGNE,NORMAN SHEIL,GBR,1960
GRANDE-BRETAGNE,TOM SIMPSON,GBR,1960
GRANDE-BRETAGNE,VICTOR SUTTON,GBR,1960
OUEST,EDOUARD BIHOUEE,FRA,1960
OUEST,MAX BLENEAU,FRA,1960
OUEST,ANDRÉ FOUCHER,FRA,1960
OUEST,JEAN GAINCHE,FRA,1960
OUEST,JOSEPH GROUSSARD,FRA,1960
OUEST,FÉLIX LE BUHOTEL,FRA,1960
OUEST,FERNAND PICOT,FRA,1960
OUEST,FRANCIS PIPELIN,FRA,1960
EST-SUD EST,JEAN ANASTASI,FRA,1960
EST-SUD EST,LOUIS BISILLIAT,FRA,1960
EST-SUD EST,JEAN FORESTIER,FRA,1960
EST-SUD EST,HUBERT FERRER,FRA,1960
EST-SUD EST,BERNARD GAUTHIER,FRA,1960
EST-SUD EST,JEAN MILESI,FRA,1960
EST-SUD EST,PIERRE MOREL,FRA,1960
EST-SUD EST,ANTONIN ROLLAND,FRA,1960
PARIS-NORD,JOSEPH WASKO,FRA,1960
PARIS-NORD,ANDRÉ GENESTE,FRA,1960
PARIS-NORD,PIERRE GOUGET,FRA,1960
PARIS-NORD,RAYMOND HOORELBEKE,FRA,1960
PARIS-NORD,STÉPHAN LACH,FRA,1960
PARIS-NORD,ANDRÉ LE DISSEZ,FRA,1960
PARIS-NORD,MICHEL VERMEULIN,FRA,1960
PARIS-NORD,BERNARD VIOT,FRA,1960
CENTRE-MIDI,PIERRE BEUFFEUIL,FRA,1960
CENTRE-MIDI,EMMANUEL BUSTO,FRA,1960
CENTRE-MIDI,CAMILLE LE MENN,FRA,1960
CENTRE-MIDI,MARCEL QUEHEILLE,FRA,1960
CENTRE-MIDI,MANUEL ROHRBACH,FRA,1960
CENTRE-MIDI,PIERRE RUBY,FRA,1960
CENTRE-MIDI,TINO SABBADINI,FRA,1960
CENTRE-MIDI,GÉRARD THIELIN,FRA,1960
ITALIE,RENZO ACCORDI,ITA,1961
ITALIE,GRAZIANO BATTISTINI,ITA,1961
ITALIE,GUIDO BONI,ITA,1961
ITALIE,CARLO BRUGNAMI,ITA,1961
ITALIE,GUIDO CARLESI,ITA,1961
ITALIE,ROBERTO FALASCHI,ITA,1961
ITALIE,VITO FAVERO,ITA,1961
ITALIE,IMERIO MASSIGNAN,ITA,1961
ITALIE,MARIO MINIERI,ITA,1961
ITALIE,ARMANDO PELLEGRINI,ITA,1961
ITALIE,ENZO PIZZOGLIO,ITA,1961
ITALIE,ADRIANO ZAMBONI,ITA,1961
FRANCE,HENRI ANGLADE,FRA,1961
FRANCE,JACQUES ANQUETIL,FRA,1961
FRANCE,ROBERT CAZALA,FRA,1961
FRANCE,ANDRÉ DARRIGADE,FRA,1961
FRANCE,PIERRE EVERAERT,FRA,1961
FRANCE,JEAN FORESTIER,FRA,1961
FRANCE,RENÉ PRIVAT,FRA,1961
FRANCE,JOSEPH GROUSSARD,FRA,1961
FRANCE,FRANÇOIS MAHE,FRA,1961
FRANCE,RAYMOND MASTROTTO,FRA,1961
FRANCE,LOUIS ROSTOLLAN,FRA,1961
FRANCE,JEAN STABLINSKI,FRA,1961
BELGIQUE,JEAN ADRIAENSSENS,BEL,1961
BELGIQUE,FRANS AERENHOUTS,BEL,1961
BELGIQUE,JEAN-BAPTISTE CLAES,BEL,1961
BELGIQUE,EMILE DAEMS,BEL,1961
BELGIQUE,JOS HOEVENAERS,BEL,1961
BELGIQUE,EDDY PAUWELS,BEL,1961
BELGIQUE,JOSEPH Planckaert,BEL,1961
BELGIQUE,LOUIS PROOST,BEL,1961
BELGIQUE,MICHEL VAN AERDE,BEL,1961
BELGIQUE,RENÉ VANDERVEKEN,BEL,1961
BELGIQUE,MARTIN VAN GENEUGDEN,BEL,1961
BELGIQUE,JOS VLOEBERGHS,BEL,1961
ESPAGNE,JAIME ALOMAR FLORIT,ESP,1961
ESPAGNE,ANTONIO BERTRAN PANADES,ESP,1961
ESPAGNE,JUAN CAMPILLO GARCIA,ESP,1961
ESPAGNE,JOSÉ GOMEZ DEL MORAL,ESP,1961
ESPAGNE,ANTONIO ITURAT,ESP,1961
ESPAGNE,FERNANDO MANZANEQUE,ESP,1961
ESPAGNE,RENÉ MARIGIL,ESP,1961
ESPAGNE,CARMELO MORALES,ESP,1961
ESPAGNE,LUIS OTANO,ESP,1961
ESPAGNE,MIGUEL PACHECO,ESP,1961
ESPAGNE,JOSÉ PEREZ LLACER,ESP,1961
ESPAGNE,JULIO SAN EMETERIO,ESP,1961
PAYS BAS,PIET DAMEN,NED,1961
PAYS BAS,JO DE HAAN,NED,1961
PAYS BAS,DICK ENTHOVEN,NED,1961
PAYS BAS,ALBERTUS GELDERMANS,NED,1961
PAYS BAS,JOOP KERSTEN,NED,1961
PAYS BAS,JEF LAHAYE,NED,1961
PAYS BAS,COEN NIESTEN,NED,1961
PAYS BAS,PIET VAN EST,NED,1961
PAYS BAS,WIM VAN EST,NED,1961
PAYS BAS,ANTOON VAN DER STEEN,NED,1961
PAYS BAS,WOUT WAGTMANS,NED,1961
PAYS BAS,JAN WESTDORP,NED,1961
ALLEMAGNE,JOSEF 'JUPP' BORGHARD,GER,1961
ALLEMAGNE,MANFRED DONIKE,GER,1961
ALLEMAGNE,FRIEDHELM FISCHERKELLER,GER,1961
ALLEMAGNE,HANS JAROSCEWICZ,GER,1961
ALLEMAGNE,HANS JUNKERMANN,GER,1961
ALLEMAGNE,DIETER KEMPER,GER,1961
ALLEMAGNE,HELMUT KUCKELKORN,GER,1961
ALLEMAGNE,HOST OLDENBURG,GER,1961
ALLEMAGNE,REINHOLD POMMER,GER,1961
ALLEMAGNE,DIETER PUSCHEL,GER,1961
ALLEMAGNE,SIGI RENZ,GER,1961
ALLEMAGNE,LUDWIG TROCHE,GER,1961
SUISSE-LUXEMBOURG,FRITZ GALATI,SUI,1961
SUISSE-LUXEMBOURG,KURT GIMMI,SUI,1961
SUISSE-LUXEMBOURG,ROLF GRAF,SUI,1961
SUISSE-LUXEMBOURG,JEAN LUISIER,SUI,1961
SUISSE-LUXEMBOURG,SERGE RUCHET,SUI,1961
SUISSE-LUXEMBOURG,ALFRED RÜEGG,SUI,1961
SUISSE-LUXEMBOURG,RAYMOND BLEY,LUX,1961
SUISSE-LUXEMBOURG,ALDO BOLZAN,LUX,1961
SUISSE-LUXEMBOURG,MARCEL ERNZER,LUX,1961
SUISSE-LUXEMBOURG,CHARLY GAUL,LUX,1961
SUISSE-LUXEMBOURG,JEAN-PIERRE SINTGES,LUX,1961
SUISSE-LUXEMBOURG,ROGER THULL,LUX,1961
GRANDE-BRETAGNE,STANLEY ARTHUR BRITTAIN,GBR,1961
GRANDE-BRETAGNE,RON COE,GBR,1961
GRANDE-BRETAGNE,VIC DENSON,GBR,1961
GRANDE-BRETAGNE,SEAMUS ELLIOTT,IRL,1961
GRANDE-BRETAGNE,ALBERT HITCHEN,GBR,1961
GRANDE-BRETAGNE,KENNETH LAIDLAW,GBR,1961
GRANDE-BRETAGNE,IAN MOORE,GBR,1961
GRANDE-BRETAGNE,GEORGES O'BRIEN,GBR,1961
GRANDE-BRETAGNE,PETER RYALL,GBR,1961
GRANDE-BRETAGNE,SEAMUS RYAN,GBR,1961
GRANDE-BRETAGNE,BRIAN ROBINSON,GBR,1961
GRANDE-BRETAGNE,TOM SIMPSON,GBR,1961
PARIS-NORD-EST,ALBERT BOUVET,FRA,1961
PARIS-NORD-EST,HENRI DUEZ,FRA,1961
PARIS-NORD-EST,PHILIPPE GAUDRILLET,FRA,1961
PARIS-NORD-EST,ANDRÉ GENESTE,FRA,1961
PARIS-NORD-EST,ELIO GERUSSI,FRA,1961
PARIS-NORD-EST,RAYMOND HOORELBEKE,FRA,1961
PARIS-NORD-EST,STÉPHAN LACH,FRA,1961
PARIS-NORD-EST,ANDRÉ LE DISSEZ,FRA,1961
PARIS-NORD-EST,JEAN-CLAUDE LEFEBVRE,FRA,1961
PARIS-NORD-EST,CLAUDE SAUVAGE,FRA,1961
PARIS-NORD-EST,BERNARD VIOT,FRA,1961
PARIS-NORD-EST,JOSEPH WASKO,FRA,1961
CENTRE-MIDI,ANTOINE ABATE,FRA,1961
CENTRE-MIDI,LOUIS BERGAUD,FRA,1961
CENTRE-MIDI,EMMANUEL BUSTO,FRA,1961
CENTRE-MIDI,JEAN DOTTO,FRA,1961
CENTRE-MIDI,VALENTIN HUOT,FRA,1961
CENTRE-MIDI,CAMILLE LE MENN,FRA,1961
CENTRE-MIDI,CLAUDE MATTIO,FRA,1961
CENTRE-MIDI,JEAN MILESI,FRA,1961
CENTRE-MIDI,ANATOLE NOVAK,FRA,1961
CENTRE-MIDI,MANUEL ROHRBACH,FRA,1961
CENTRE-MIDI,PIERRE RUBY,FRA,1961
CENTRE-MIDI,GÉRARD THIELIN,FRA,1961
OUEST-SUD OUEST,PIERRE BEUFFEUIL,FRA,1961
OUEST-SUD OUEST,EDOUARD BIHOUEE,FRA,1961
OUEST-SUD OUEST,ANDRÉ CLOAREC,FRA,1961
OUEST-SUD OUEST,ANDRÉ FOUCHER,FRA,1961
OUEST-SUD OUEST,JEAN GAINCHE,FRA,1961
OUEST-SUD OUEST,GEORGES GROUSSARD,FRA,1961
OUEST-SUD OUEST,MARC HUIART,FRA,1961
OUEST-SUD OUEST,GUY IGNOLIN,FRA,1961
OUEST-SUD OUEST,FÉLIX LE BUHOTEL,FRA,1961
OUEST-SUD OUEST,FERNAND PICOT,FRA,1961
OUEST-SUD OUEST,MARCEL QUEHEILLE,FRA,1961
OUEST-SUD OUEST,JOSEPH THOMIN,FRA,1961
ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON,JACQUES ANQUETIL,FRA,1962
ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON,RUDI ALTIG,GER,1962
ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON,JEAN-CLAUDE ANNAERT,FRA,1962
ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON,PIERRE EVERAERT,FRA,1962
ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON,ALBERTUS GELDERMANS,NED,1962
