Tour de France 2011

Number of stages 21
Distance (km) 3 630
Average speed 39.788

All about year 2011

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
89    MARCO MARCATO                       206        VACANSOLEIL-DCM              88h 42' 31''  + 02h 30' 09''
90    RUI ALBERTO FARIA DA COSTA          83         MOVISTAR TEAM                88h 43' 56''  + 02h 31' 34''
91    ADRIANO MALORI                      168        LAMPRE - ISD                 88h 44' 09''  + 02h 31' 47''
92    JESUS ALBERTO HERNANDEZ BLAZQUEZ    2          SAXO BANK SUNGARD            88h 44' 22''  + 02h 32' 00''
93    MATTEO BONO                         164        LAMPRE - ISD                 88h 48' 07''  + 02h 35' 45''
94    ALAN PEREZ LEZAUN                   24         EUSKALTEL - EUSKADI          88h 48' 36''  + 02h 36' 14''
95    NICKI SORENSEN                      7          SAXO BANK SUNGARD            88h 48' 48''  + 02h 36' 26''
96    SIMON GERRANS                       113        SKY PROCYCLING               88h 49' 47''  + 02h 37' 25''
97    JONATHAN HIVERT                     216        SAUR-SOJASUN                 88h 49' 59''  + 02h 37' 37''
98    JUAN ANTONIO FLECHA GIANNONI        112        SKY PROCYCLING               88h 53' 26''  + 02h 41' 04''
99    MAARTEN TJALLINGII                  49         RABOBANK CYCLING TEAM        88h 54' 03''  + 02h 41' 41''
100   DANIEL OSS                          95         LIQUIGAS-CANNONDALE          88h 59' 29''  + 02h 47' 07''
101   ANTHONY ROUX                        137        FDJ                          89h 00' 11''  + 02h 47' 49''
102   JOSÉ IVAN GUTIERREZ PALACIOS        85         MOVISTAR TEAM                89h 01' 45''  + 02h 49' 23''
103   MICHAEL SCHÄR                       149        BMC RACING TEAM              89h 01' 59''  + 02h 49' 37''
104   ARTHUR VICHOT                       139        FDJ                          89h 02' 11''  + 02h 49' 49''
105   MAXIM IGLINSKIY                     65         PRO TEAM ASTANA              89h 06' 12''  + 02h 53' 50''
106   DMITRIY FOFONOV                     63         PRO TEAM ASTANA              89h 06' 21''  + 02h 53' 59''
107   ALESSANDRO PETACCHI                 169        LAMPRE - ISD                 89h 06' 42''  + 02h 54' 20''
108   JOOST POSTHUMA                      17         TEAM LEOPARD-TREK            89h 07' 47''  + 02h 55' 25''
109   DANILO HONDO                        165        LAMPRE - ISD                 89h 12' 22''  + 03h 00' 00''
110   SÉBASTIEN MINARD                    107        AG2R LA MONDIALE             89h 12' 26''  + 03h 00' 04''
111   SÉBASTIEN HINAULT                   105        AG2R LA MONDIALE             89h 13' 06''  + 03h 00' 44''
112   ROMAN KREUZIGER                     66         PRO TEAM ASTANA              89h 13' 21''  + 03h 00' 59''
113   SEBASTIAN LANG                      34         OMEGA PHARMA - LOTTO         89h 14' 13''  + 03h 01' 51''
114   BRENT BOOKWALTER                    142        BMC RACING TEAM              89h 16' 09''  + 03h 03' 47''
115   MANUEL QUINZIATO                    147        BMC RACING TEAM              89h 17' 09''  + 03h 04' 47''
116   BENJAMIN NOVAL GONZALEZ             4          SAXO BANK SUNGARD            89h 18' 51''  + 03h 06' 29''
117   BLEL KADRI                          106        AG2R LA MONDIALE             89h 19' 29''  + 03h 07' 07''
118   TRISTAN VALENTIN                    158        COFIDIS LE CREDIT EN LIGNE   89h 19' 32''  + 03h 07' 10''
119   FABIAN CANCELLARA                   12         TEAM LEOPARD-TREK            89h 19' 53''  + 03h 07' 31''
120   SÉBASTIEN TURGOT                    189        TEAM EUROPCAR                89h 20' 56''  + 03h 08' 34''
121   LEONARDO DUQUE                      154        COFIDIS LE CREDIT EN LIGNE   89h 21' 03''  + 03h 08' 41''
122   LAURENT MANGEL                      218        SAUR-SOJASUN                 89h 22' 41''  + 03h 10' 19''
123   MATTEO TOSATTO                      8          SAXO BANK SUNGARD            89h 22' 58''  + 03h 10' 36''
124   FABRICE JEANDESBOZ                  217        SAUR-SOJASUN                 89h 24' 09''  + 03h 11' 47''
125   BRIAN VANDBORG                      9          SAXO BANK SUNGARD            89h 26' 05''  + 03h 13' 43''
126   PAOLO LONGO BORGHINI                94         LIQUIGAS-CANNONDALE          89h 26' 06''  + 03h 13' 44''
127   GREGA BOLE                          163        LAMPRE - ISD                 89h 26' 37''  + 03h 14' 15''
128   LIEUWE WESTRA                       209        VACANSOLEIL-DCM              89h 26' 37''  + 03h 14' 15''
129   DMITRIY MURAVYEV                    76         TEAM RADIOSHACK              89h 26' 51''  + 03h 14' 29''
130   MARK CAVENDISH                      171        HTC - HIGHROAD               89h 27' 27''  + 03h 15' 05''
131   MICKAËL BUFFAZ                      152        COFIDIS LE CREDIT EN LIGNE   89h 27' 34''  + 03h 15' 12''
132   MICKAEL DELAGE                      133        FDJ                          89h 28' 01''  + 03h 15' 39''
133   ALESSANDRO VANOTTI                  99         LIQUIGAS-CANNONDALE          89h 28' 22''  + 03h 16' 00''
134   NIKI TERPSTRA                       129        QUICK STEP CYCLING TEAM      89h 29' 00''  + 03h 16' 38''
135   ANTHONY DELAPLACE                   213        SAUR-SOJASUN                 89h 29' 20''  + 03h 16' 58''
136   BORUT BOZIC                         202        VACANSOLEIL-DCM              89h 29' 33''  + 03h 17' 11''
137   BEN SWIFT                           116        SKY PROCYCLING               89h 30' 29''  + 03h 18' 07''
138   JEREMIE GALLAND                     215        SAUR-SOJASUN                 89h 32' 08''  + 03h 19' 46''
139   FRANCISCO VENTOSO                   89         MOVISTAR TEAM                89h 32' 24''  + 03h 20' 02''
140   TOMAS VAITKUS                       68         PRO TEAM ASTANA              89h 32' 29''  + 03h 20' 07''
141   MARCEL SIEBERG                      36         OMEGA PHARMA - LOTTO         89h 34' 01''  + 03h 21' 39''
142   MATTHEW HARLEY GOSS                 174        HTC - HIGHROAD               89h 34' 54''  + 03h 22' 32''
143   MACIEJ BODNAR                       92         LIQUIGAS-CANNONDALE          89h 35' 52''  + 03h 23' 30''
144   ANDREY GRIVKO                       64         PRO TEAM ASTANA              89h 38' 44''  + 03h 26' 22''
145   JULIAN DEAN                         53         TEAM GARMIN - CERVELO        89h 40' 22''  + 03h 28' 00''
146   ADDY ENGELS                         126        QUICK STEP CYCLING TEAM      89h 41' 26''  + 03h 29' 04''
147   MIKHAIL IGNATYEV                    195        KATUSHA TEAM                 89h 41' 29''  + 03h 29' 07''
148   ARNAUD COYOT                        212        SAUR-SOJASUN                 89h 41' 42''  + 03h 29' 20''
149   PABLO URTASUN PEREZ                 27         EUSKALTEL - EUSKADI          89h 42' 39''  + 03h 30' 17''
150   GERALD CIOLEK                       123        QUICK STEP CYCLING TEAM      89h 42' 44''  + 03h 30' 22''
151   PERRIG QUEMENEUR                    187        TEAM EUROPCAR                89h 42' 57''  + 03h 30' 35''
152   ROMAIN ZINGLE                       159        COFIDIS LE CREDIT EN LIGNE   89h 43' 52''  + 03h 31' 30''
153   DENYS KOSTYUK                       166        LAMPRE - ISD                 89h 44' 04''  + 03h 31' 42''
154   LARS BAK YTTING                     172        HTC - HIGHROAD               89h 45' 47''  + 03h 33' 25''
155   VINCENT JEROME                      185        TEAM EUROPCAR                89h 46' 59''  + 03h 34' 37''
156   ANDRÉ GREIPEL                       33         OMEGA PHARMA - LOTTO         89h 47' 26''  + 03h 35' 04''
157   RAMUNAS NAVARDAUSKAS                57         TEAM GARMIN - CERVELO        89h 49' 15''  + 03h 36' 53''
158   YOHANN GENE                         184        TEAM EUROPCAR                89h 50' 35''  + 03h 38' 13''
159   TYLER FARRAR                        54         TEAM GARMIN - CERVELO        89h 50' 54''  + 03h 38' 32''
160   JIMMY ENGOULVENT                    214        SAUR-SOJASUN                 89h 50' 56''  + 03h 38' 34''
161   BERNHARD EISEL                      173        HTC - HIGHROAD               89h 52' 18''  + 03h 39' 56''
162   SAMUEL DUMOULIN                     153        COFIDIS LE CREDIT EN LIGNE   89h 55' 39''  + 03h 43' 17''
163   MARK RENSHAW                        177        HTC - HIGHROAD               89h 56' 22''  + 03h 44' 00''
164   MARCUS BURGHARDT                    143        BMC RACING TEAM              89h 56' 30''  + 03h 44' 08''
165   DANNY PATE                          176        HTC - HIGHROAD               89h 57' 48''  + 03h 45' 26''
166   ANDREY AMADOR                       82         MOVISTAR TEAM                90h 06' 57''  + 03h 54' 35''
167   FABIO SABATINI                      97         LIQUIGAS-CANNONDALE          90h 10' 05''  + 03h 57' 43''

Next rankings
