Tour de France 1986

Number of stages 23
Distance (km) 4 094
Average speed 37.020

All about year 1986

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.               Team                   Times            Gap       B P
58   JEAN-PHILIPPE VANDENBRANDE     119        HITACHI-MARC-SPLENDOR           112h 16' 42''  + 01h 41' 23''
59   JUAN-CARLOS ROZAS              129        ZOR-BH                          112h 17' 10''  + 01h 41' 51''
60   ENRIQUE ALBERTO AJA CAGIGAS    183        TEKA                            112h 17' 51''  + 01h 42' 32''
61   GÉRARD VELDSCHOLTEN            60         PDM                             112h 18' 16''  + 01h 42' 57''
62   BERNARD VALLET                 150        RMO-MERAL-MAVIC                 112h 18' 31''  + 01h 43' 12''
63   BOB ROLL                       208        SEVEN ELEVEN-HOONVED            112h 18' 45''  + 01h 43' 26''
64   DIRK DE WOLF                   114        HITACHI-MARC-SPLENDOR           112h 19' 36''  + 01h 44' 17''
65   TWAN POELS                     96         KWANTUM HALLEN-DECOSOL          112h 19' 36''  + 01h 44' 17''
66   ENNIO VANOTTI                  180        GIS-GELATI                      112h 20' 39''  + 01h 45' 20''
67   PAUL HAGHEDOOREN               104        JOKER-EMERXIL-EDDY MERCKX       112h 23' 18''  + 01h 47' 59''
68   FRANÇOIS LEMARCHAND            137        FAGOR                           112h 24' 24''  + 01h 49' 05''
69   LUDO PEETERS                   95         KWANTUM HALLEN-DECOSOL          112h 24' 30''  + 01h 49' 11''
70   NICO EMONDS                    93         KWANTUM HALLEN-DECOSOL          112h 24' 38''  + 01h 49' 19''
71   MANUEL CARDENAS ESPEITIA       186        TEKA                            112h 25' 30''  + 01h 50' 11''
72   GUIDO VAN CALSTER              130        ZOR-BH                          112h 26' 01''  + 01h 50' 42''
73   BRUNO LEALI                    15         CARRERA JEANS                   112h 27' 08''  + 01h 51' 49''
74   BEAT BREU                      13         CARRERA JEANS                   112h 27' 13''  + 01h 51' 54''
75   INAKI GASTON                   25         KAS-MAVIC                       112h 27' 54''  + 01h 52' 35''
76   DOMINIQUE ARNAUD               72         REYNOLDS-TS BATTERIES           112h 29' 13''  + 01h 53' 54''
77   JORGEN PEDERSEN                17         CARRERA JEANS                   112h 29' 51''  + 01h 54' 32''
78   JOS HAEX                       116        HITACHI-MARC-SPLENDOR           112h 29' 57''  + 01h 54' 38''
79   JULIAN GOROSPE                 75         REYNOLDS-TS BATTERIES           112h 31' 30''  + 01h 56' 11''
80   JEFF PIERCE                    207        SEVEN ELEVEN-HOONVED            112h 32' 16''  + 01h 56' 57''
81   MAARTEN DUCROT                 92         KWANTUM HALLEN-DECOSOL          112h 33' 21''  + 01h 58' 02''
82   ACACIO DA SILVA                195        MALVOR-BOTTECCHIA-SIDI          112h 33' 24''  + 01h 58' 05''
83   NESTOR MORA                    159        POSTOBON                        112h 33' 45''  + 01h 58' 26''
84   GERRIE KNETEMANN               54         PDM                             112h 33' 47''  + 01h 58' 28''
85   DOMINIQUE GAIGNE               45         SYSTEME U                       112h 34' 46''  + 01h 59' 27''
86   MARCO-ANTONIO LEON             66         CAFÉ DE COLOMBIA-PILAS VARTA    112h 36' 08''  + 02h 00' 49''
87   VICENTE RIDAURA                167        SEAT-ORBEA                      112h 36' 18''  + 02h 00' 59''
88   CHRISTOPHE LAVAINNE            47         SYSTEME U                       112h 36' 19''  + 02h 01' 00''
89   ERIC VAN LANCKER               39         PANASONIC                       112h 37' 12''  + 02h 01' 53''
90   JAN VAN WIJK                   59         PDM                             112h 37' 54''  + 02h 02' 35''
91   ALESSANDRO POZZI               177        GIS-GELATI                      112h 38' 58''  + 02h 03' 39''
