Tour de France 1994

Number of stages 21
Distance (km) 3 978
Average speed 38.383

All about year 1994

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider             Rider No.            Team                Times            Gap       B P
1     MIGUEL INDURAIN               1          BANESTO                   103h 38' 38''
20    BO HAMBURGER                  124        TVM-BISON                 104h 22' 22''  + 00h 43' 44''
21    THOMAS DAVY                   112        CASTORAMA                 104h 25' 19''  + 00h 46' 41''
22    ERIC CARITOUX                 181        CHAZAL-MBK-KONIG          104h 25' 57''  + 00h 47' 19''
23    FEDERICO MUNOZ                178        KELME-AVIANCA             104h 27' 11''  + 00h 48' 33''
24    JIM VAN DE LAER               198        LOTTO-VETTA-CALOÏ         104h 27' 13''  + 00h 48' 35''
25    BRUNO CENGHIALTA              45         GEWISS-BALLAN             104h 30' 08''  + 00h 51' 30''
26    CHARLY MOTTET                 161        ZG MOBILI-SELLE ITALIA    104h 30' 22''  + 00h 51' 44''
27    BEAT ZBERG                    59         CARRERA JEANS-TASSONI     104h 35' 44''  + 00h 57' 06''
28    GERD AUDEHM                   133        TELECOM                   104h 36' 22''  + 00h 57' 44''
29    ERIK BREUKINK                 62         ONCE                      104h 38' 33''  + 00h 59' 55''
30    ABRAHAM OLANO                 18         MAPEI-CLAS                104h 40' 07''  + 01h 01' 29''
31    ALVARO MEJIA                  37         MOTOROLA                  104h 40' 21''  + 01h 01' 43''
32    RAMON GONZALEZ-ARRIETA        5          BANESTO                   104h 41' 18''  + 01h 02' 40''
33    PASCAL HERVE                  93         FESTINA-ANDORRA           104h 45' 54''  + 01h 07' 16''
34    FEDERICO ECHAVE               13         MAPEI-CLAS                104h 46' 23''  + 01h 07' 45''
35    LAURENT DUFAUX                64         ONCE                      104h 48' 08''  + 01h 09' 30''
36    VJATCESLAV EKIMOV             151        ZG MOBILI-SELLE ITALIA    104h 48' 28''  + 01h 09' 50''
37    FRANCO VONA                   29         GB-MG TECHNOGYM           104h 49' 19''  + 01h 10' 41''
38    ROLF ALDAG                    132        TELECOM                   104h 49' 37''  + 01h 10' 59''
39    ENRICO ZAINA                  49         GEWISS-BALLAN             104h 50' 54''  + 01h 12' 16''
40    ARSENIO GONZALEZ              16         MAPEI-CLAS                104h 51' 19''  + 01h 12' 41''
41    FLAVIO VANZELLA               28         GB-MG TECHNOGYM           105h 02' 43''  + 01h 24' 05''
42    FRANCO CHIOCCIOLI             201        MERCATONE UNO-MEDEGHINI   105h 05' 30''  + 01h 26' 52''
43    FRANÇOIS SIMON                118        CASTORAMA                 105h 09' 28''  + 01h 30' 50''
44    ARTURAS KASPUTIS              186        CHAZAL-MBK-KONIG          105h 16' 24''  + 01h 37' 46''
45    JESPER SKIBBY                 127        TVM-BISON                 105h 19' 59''  + 01h 41' 21''
46    ANDREA PERON                  107        TEAM POLTI                105h 21' 43''  + 01h 43' 05''
47    JEAN-CLAUDE BAGOT             92         FESTINA-ANDORRA           105h 22' 44''  + 01h 44' 06''
48    MIGUEL ARROYO                 182        CHAZAL-MBK-KONIG          105h 22' 49''  + 01h 44' 11''
49    JOSÉ-RAMON URIARTE            9          BANESTO                   105h 23' 29''  + 01h 44' 51''
50    DAG OTTO LAURITZEN            123        TVM-BISON                 105h 24' 32''  + 01h 45' 54''
51    EDDY SEIGNEUR                 89         GAN                       105h 25' 53''  + 01h 47' 15''
52    NEIL STEPHENS                 69         ONCE                      105h 26' 37''  + 01h 47' 59''
53    THIERRY MARIE                 117        CASTORAMA                 105h 27' 25''  + 01h 48' 47''
54    GIANCARLO PERINI              145        ZG MOBILI-SELLE ITALIA    105h 28' 45''  + 01h 50' 07''
55    ANGEL YESID CAMARGO OCHOA     175        KELME-AVIANCA             105h 28' 46''  + 01h 50' 08''
56    GÉRARD RUE                    8          BANESTO                   105h 30' 06''  + 01h 51' 28''
57    DJAMOLIDINE ABDOUJAPAROV      102        TEAM POLTI                105h 30' 12''  + 01h 51' 34''
58    GIORGIO FURLAN                46         GEWISS-BALLAN             105h 30' 56''  + 01h 52' 18''
59    JÖRG MULLER                   17         MAPEI-CLAS                105h 30' 57''  + 01h 52' 19''
60    JENS HEPPNER                  136        TELECOM                   105h 32' 24''  + 01h 53' 46''
62    VLADISLAV BOBRIK              42         GEWISS-BALLAN             105h 33' 50''  + 01h 55' 12''
63    SERGUEI OUTSCHAKOV            105        TEAM POLTI                105h 36' 09''  + 01h 57' 31''
64    CHRISTOPHE MANIN              188        CHAZAL-MBK-KONIG          105h 36' 40''  + 01h 58' 02''
65    MAURO-ANTONIO SANTAROMITA     149        ZG MOBILI-SELLE ITALIA    105h 36' 47''  + 01h 58' 09''
66    RONAN PENSEC                  168        ZG MOBILI-SELLE ITALIA    105h 37' 40''  + 01h 59' 02''
67    VICENTE APARICIO VILA         3          BANESTO                   105h 38' 12''  + 01h 59' 34''
68    LUC ROOSEN                    197        LOTTO-VETTA-CALOÏ         105h 39' 21''  + 02h 00' 43''
69    PHIL ANDERSON                 33         MOTOROLA                  105h 39' 51''  + 02h 01' 13''
70    RAÚL ALCALÁ                   32         MOTOROLA                  105h 43' 19''  + 02h 04' 41''
71    SEAN YATES                    39         MOTOROLA                  105h 43' 23''  + 02h 04' 45''
72    DIMITRI ZHDANOV               109        TEAM POLTI                105h 46' 58''  + 02h 08' 20''
73    ROLF JAERMANN                 25         GB-MG TECHNOGYM           105h 49' 24''  + 02h 10' 46''
74    PHILIPPE LOUVIOT              165        ZG MOBILI-SELLE ITALIA    105h 50' 48''  + 02h 12' 10''
75    MASSIMO GHIROTTO              141        ZG MOBILI-SELLE ITALIA    105h 51' 27''  + 02h 12' 49''
76    CARLO BOMANS                  22         GB-MG TECHNOGYM           105h 51' 33''  + 02h 12' 55''
77    GERRIT DE VRIES               163        ZG MOBILI-SELLE ITALIA    105h 53' 31''  + 02h 14' 53''
78    THIERRY GOUVENOU              85         GAN                       105h 54' 01''  + 02h 15' 23''
79    ATLE KVALSVOLL                153        ZG MOBILI-SELLE ITALIA    105h 54' 01''  + 02h 15' 23''
80    JOHAN MUSEEUW                 21         GB-MG TECHNOGYM           105h 56' 04''  + 02h 17' 26''
81    PASCAL CHANTEUR               184        CHAZAL-MBK-KONIG          105h 56' 14''  + 02h 17' 36''
82    PETER DECLERCQ                193        LOTTO-VETTA-CALOÏ         106h 00' 21''  + 02h 21' 43''
83    STEPHEN HODGE                 94         FESTINA-ANDORRA           106h 02' 28''  + 02h 23' 50''
84    UWE RAAB                      138        TELECOM                   106h 03' 16''  + 02h 24' 38''
85    JULIO-CÉSAR CADENA            174        KELME-AVIANCA             106h 03' 30''  + 02h 24' 52''
86    MARCO ZEN                     79         LAMPRE-PANARIA            106h 03' 51''  + 02h 25' 13''
87    FRANCISCO CABELLO             173        KELME-AVIANCA             106h 04' 13''  + 02h 25' 35''
88    GUY NULENS                    167        ZG MOBILI-SELLE ITALIA    106h 04' 30''  + 02h 25' 52''
89    FRANKIE ANDREU                34         MOTOROLA                  106h 05' 02''  + 02h 26' 24''
90    GUIDO BONTEMPI                43         GEWISS-BALLAN             106h 05' 05''  + 02h 26' 27''
91    BRUNO THIBOUT                 119        CASTORAMA                 106h 05' 20''  + 02h 26' 42''
92    MARC WAUTERS                  159        ZG MOBILI-SELLE ITALIA    106h 07' 16''  + 02h 28' 38''
93    HENDRIK REDANT                147        ZG MOBILI-SELLE ITALIA    106h 07' 35''  + 02h 28' 57''
94    SILVIO MARTINELLO             205        MERCATONE UNO-MEDEGHINI   106h 07' 42''  + 02h 29' 04''
95    MELCHOR MAURI                 6          BANESTO                   106h 08' 58''  + 02h 30' 20''
96    ANGEL EDO ALSINA              176        KELME-AVIANCA             106h 09' 39''  + 02h 31' 01''
97    MARIO KUMMER                  137        TELECOM                   106h 10' 20''  + 02h 31' 42''
98    RUDY VERDONCK                 199        LOTTO-VETTA-CALOÏ         106h 11' 02''  + 02h 32' 24''
99    ERWIN NIJBOER                 7          BANESTO                   106h 13' 05''  + 02h 34' 27''
100   CESARY ZAMANA                 179        KELME-AVIANCA             106h 13' 21''  + 02h 34' 43''
101   ERIK DEKKER                   152        ZG MOBILI-SELLE ITALIA    106h 13' 30''  + 02h 34' 52''
102   ALBERTO LEANIZBARRUTIA        66         ONCE                      106h 14' 43''  + 02h 36' 05''
103   JAN SVORADA                   78         LAMPRE-PANARIA            106h 15' 03''  + 02h 36' 25''
104   MICHEL DERNIES                36         MOTOROLA                  106h 15' 09''  + 02h 36' 31''
105   OLAF LUDWIG                   131        TELECOM                   106h 16' 15''  + 02h 37' 37''
106   CHRISTIAN HENN                135        TELECOM                   106h 16' 26''  + 02h 37' 48''
107   DARIO BOTTARO                 44         GEWISS-BALLAN             106h 17' 55''  + 02h 39' 17''
108   DAVIDE CASSANI                23         GB-MG TECHNOGYM           106h 20' 10''  + 02h 41' 32''
109   HERMINIO DIAZ ZABALA          63         ONCE                      106h 20' 44''  + 02h 42' 06''
110   GIOVANNI FIDANZA              103        TEAM POLTI                106h 21' 25''  + 02h 42' 47''
111   REMO ROSSI                    58         CARRERA JEANS-TASSONI     106h 22' 29''  + 02h 43' 51''
112   STEPHEN SWART                 38         MOTOROLA                  106h 23' 16''  + 02h 44' 38''
113   FRANCIS MOREAU                87         GAN                       106h 29' 51''  + 02h 51' 13''
114   MARIO CHIESA                  54         CARRERA JEANS-TASSONI     106h 30' 40''  + 02h 52' 02''
115   EROS POLI                     208        MERCATONE UNO-MEDEGHINI   106h 31' 19''  + 02h 52' 41''
116   ROB MULDERS                   156        ZG MOBILI-SELLE ITALIA    106h 47' 10''  + 03h 08' 32''
117   JOHN TALEN                    209        MERCATONE UNO-MEDEGHINI   107h 17' 41''  + 03h 39' 03''

Next rankings
