Tour de France 1970

Number of stages 23
Distance (km) 4 254
Average speed 35.589

All about year 1970

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider               Rider No.                 Team                     Times            Gap       B P
61   MAURICE IZIER                    78         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    121h 19' 15''  + 01h 47' 26''
62   CYRILLE GUIMARD                  23         FAGOR-MERCIER-HUTCHINSON            121h 22' 00''  + 01h 50' 11''
63   MARINO BASSO                     62         MOLTENI                             121h 24' 24''  + 01h 52' 35''
64   JEAN-PIERRE DANGUILLAUME         12         PEUGEOT-BP-MICHELIN                 121h 24' 50''  + 01h 53' 01''
65   EDDY REYNIERS                    107        MANN-GRUNDIG                        121h 27' 01''  + 01h 55' 12''
66   GABRIEL MASCARO                  48         KAS-KASKOL                          121h 27' 07''  + 01h 55' 18''
67   JEAN-PAUL VAN POPPEL             109        MANN-GRUNDIG                        121h 28' 33''  + 01h 56' 44''
68   VICTOR VAN SCHIL                 9          FAEMA-FAEMINO                       121h 31' 53''  + 02h 00' 04''
69   GÉRARD DAVID                     113        FLANDRIA-DE CLERCK-KRUGER           121h 34' 44''  + 02h 02' 55''
70   JOSÉ CATIEAU                     94         SONOLOR-LEJEUNE-WOLBER              121h 41' 23''  + 02h 09' 34''
71   PIETRO GUERRA                    35         SALVARANI                           121h 41' 56''  + 02h 10' 07''
72   RAYMOND RIOTTE                   98         SONOLOR-LEJEUNE-WOLBER              121h 42' 43''  + 02h 10' 54''
73   GIANCARLO POLIDORI               148        SCIC                                121h 43' 46''  + 02h 11' 57''
74   NEMESIO JIMENEZ                  46         KAS-KASKOL                          121h 44' 15''  + 02h 12' 26''
75   FRANS MINTJENS                   5          FAEMA-FAEMINO                       121h 45' 04''  + 02h 13' 15''
76   ROGER PINGEON                    18         PEUGEOT-BP-MICHELIN                 121h 51' 48''  + 02h 19' 59''
77   ROLAND BERLAND                   81         BIC                                 121h 52' 17''  + 02h 20' 28''
78   HARM OTTENBROS                   54         WILLEM II-GAZELLE                   121h 52' 41''  + 02h 20' 52''
79   MICHEL PERIN                     26         FAGOR-MERCIER-HUTCHINSON            121h 53' 22''  + 02h 21' 33''
80   JAN VAN KATWIJK                  59         WILLEM II-GAZELLE                   121h 53' 55''  + 02h 22' 06''
81   EDDY BEUGELS                     111        FLANDRIA-DE CLERCK-KRUGER           121h 54' 39''  + 02h 22' 50''
82   JEAN-PIERRE GENET                22         FAGOR-MERCIER-HUTCHINSON            121h 58' 11''  + 02h 26' 22''
83   JEAN-MARIE LEBLANC               85         BIC                                 121h 59' 52''  + 02h 28' 03''
84   GEORGES CHAPPE                   21         FAGOR-MERCIER-HUTCHINSON            122h 02' 19''  + 02h 30' 30''
85   MICHEL COULON                    112        FLANDRIA-DE CLERCK-KRUGER           122h 03' 24''  + 02h 31' 35''
86   CEES ZOONTJENS                   130        CABALLERO-LAURENS                   122h 04' 15''  + 02h 32' 26''
87   ETIENNE ANTHEUNIS                2          FAEMA-FAEMINO                       122h 04' 54''  + 02h 33' 05''
88   PIETER NASSEN                    119        FLANDRIA-DE CLERCK-KRUGER           122h 05' 06''  + 02h 33' 17''
89   WILLY IN'T VEN                   104        MANN-GRUNDIG                        122h 06' 16''  + 02h 34' 27''
90   DOMINGO PERURENA                 27         FAGOR-MERCIER-HUTCHINSON            122h 13' 46''  + 02h 41' 57''
91   MARC LIEVENS                     118        FLANDRIA-DE CLERCK-KRUGER           122h 16' 41''  + 02h 44' 52''
92   CEES RENTMEESTER                 125        CABALLERO-LAURENS                   122h 18' 56''  + 02h 47' 07''
93   ROMANO TUMELLERO                 138        FERRETTI                            122h 22' 29''  + 02h 50' 40''
94   RENÉ DE BIE                      101        MANN-GRUNDIG                        122h 30' 39''  + 02h 58' 50''
95   SYLVAIN VASSEUR                  90         BIC                                 122h 33' 50''  + 03h 02' 01''
96   LUCIANO DALLA BONA               33         SALVARANI                           122h 51' 45''  + 03h 19' 56''
97   PIERRE GHISELINI                 75         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    122h 53' 38''  + 03h 21' 49''
98   JACQUES DE BOEVER                114        FLANDRIA-DE CLERCK-KRUGER           122h 55' 46''  + 03h 23' 57''
99   ADRIANO DURANTE                  144        SCIC                                123h 03' 29''  + 03h 31' 40''
100  FRITS HOOGERHEIDE                52         WILLEM II-GAZELLE                   123h 26' 01''  + 03h 54' 12''

Next rankings
