Tour de France 1988

Number of stages 22
Distance (km) 3 286
Average speed 38.909

All about year 1988

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.                 Team                    Times           Gap       B P
78   PATRICE ESNAULT                151        RMO-LIBERIA-MAVIC                  85h 58' 52''  + 01h 30' 59''
79   ALESSANDRO POZZI               95         CHATEAU D'AX                       86h 00' 12''  + 01h 32' 19''
80   DIRK DE WOLF                   83         HITACHI-BOSAL-B.C.E                86h 01' 18''  + 01h 33' 25''
81   FRÉDERIC BRUN                  123        Z-PEUGEOT                          86h 01' 25''  + 01h 33' 32''
82   LUIS-JAVIER LUKIN              178        REYNOLDS                           86h 01' 53''  + 01h 34' 00''
83   RAIMUND DIETZEN                131        TEKA                               86h 02' 18''  + 01h 34' 25''
84   ADRI VAN DER POEL              18         P.D.M                              86h 02' 36''  + 01h 34' 43''
86   ENNIO VANOTTI                  98         CHATEAU D'AX                       86h 03' 56''  + 01h 36' 03''
87   RUDY DHAENENS                  13         P.D.M                              86h 04' 09''  + 01h 36' 16''
88   MICHEL BIBOLLET                152        RMO-LIBERIA-MAVIC                  86h 06' 07''  + 01h 38' 14''
89   LUDO PEETERS                   165        SUPERCONFEX-YOKO-OPEL              86h 10' 40''  + 01h 42' 47''
90   MALCOLM ELLIOTT                104        FAGOR                              86h 12' 20''  + 01h 44' 27''
91   ROLF GOLZ                      161        SUPERCONFEX-YOKO-OPEL              86h 12' 40''  + 01h 44' 47''
92   ACACIO DA SILVA                144        KAS-CANAL 10-MAVIC                 86h 13' 19''  + 01h 45' 26''
93   DOMINIQUE GARDE                34         SYSTEME U                          86h 14' 37''  + 01h 46' 44''
94   RÉGIS CLERE                    135        TEKA                               86h 15' 06''  + 01h 47' 13''
95   HENNIE KUIPER                  211        SIGMA-FINA-DIAMANT                 86h 17' 30''  + 01h 49' 37''
96   WILLEM WIJNANT                 218        SIGMA-FINA-DIAMANT                 86h 17' 49''  + 01h 49' 56''
97   ARSENIO GONZALEZ               136        TEKA                               86h 18' 06''  + 01h 50' 13''
98   THIERRY MARIE                  36         SYSTEME U                          86h 19' 04''  + 01h 51' 11''
99   SOREN LILHOLT                  215        SIGMA-FINA-DIAMANT                 86h 19' 51''  + 01h 51' 58''
100  DANTE REZZE                    157        RMO-LIBERIA-MAVIC                  86h 20' 56''  + 01h 53' 03''
101  STEFAN MORJEAN                 85         HITACHI-BOSAL-B.C.E                86h 22' 49''  + 01h 54' 56''
102  FRANK DE WOLF                  202        A.D.R. - I.O.C.                    86h 23' 49''  + 01h 55' 56''
103  ETIENNE DE WILDE               212        SIGMA-FINA-DIAMANT                 86h 25' 10''  + 01h 57' 17''
104  ROQUE DE LA CRUZ               73         CAJA RURAL-ORBEA                   86h 25' 45''  + 01h 57' 52''
105  DAVIS PHINNEY                  66         SEVEN ELEVEN-HOONVED               86h 26' 01''  + 01h 58' 08''
106  GUIDO BONTEMPI                 3          CARRERA JEANS-VAGABOND             86h 27' 00''  + 01h 59' 07''
107  VICENTE RIDAURA                78         CAJA RURAL-ORBEA                   86h 29' 24''  + 02h 01' 31''
108  FRÉDÉRIC GARNIER               22         TOSHIBA                            86h 30' 45''  + 02h 02' 52''
109  MARCO BERGAMO                  2          CARRERA JEANS-VAGABOND             86h 33' 36''  + 02h 05' 43''
110  ANDRÉAS KAPPES                 25         TOSHIBA                            86h 33' 55''  + 02h 06' 02''
111  JOSÉ-SALVADOR SANCHIS          79         CAJA RURAL-ORBEA                   86h 34' 53''  + 02h 07' 00''
112  INAKI GASTON                   185        KELME                              86h 35' 42''  + 02h 07' 49''
113  JENS VEGGERBY                  69         SEVEN ELEVEN-HOONVED               86h 37' 20''  + 02h 09' 27''
114  JAVIER MURGUIALDAY             57         B.H.                               86h 37' 25''  + 02h 09' 32''
115  EDDY PLANCKAERT                208        A.D.R. - I.O.C.                    86h 37' 27''  + 02h 09' 34''
116  ANGEL CAMARILLO LLORENS        134        TEKA                               86h 38' 22''  + 02h 10' 29''
117  CELESTINO PRIETO               146        KAS-CANAL 10-MAVIC                 86h 39' 09''  + 02h 11' 16''
118  HERMINIO DIAZ ZABALA           174        REYNOLDS                           86h 39' 35''  + 02h 11' 42''
119  JACQUES HANEGRAAF              24         TOSHIBA                            86h 40' 04''  + 02h 12' 11''
120  JOËL PELIER                    38         SYSTEME U                          86h 41' 21''  + 02h 13' 28''
122  JELLE NIJDAM                   164        SUPERCONFEX-YOKO-OPEL              86h 43' 52''  + 02h 15' 59''
123  RÉGIS SIMON                    158        RMO-LIBERIA-MAVIC                  86h 46' 11''  + 02h 18' 18''
124  FRANK HOSTE                    203        A.D.R. - I.O.C.                    86h 46' 43''  + 02h 18' 50''
125  ALFRED ACHERMANN               142        KAS-CANAL 10-MAVIC                 86h 47' 19''  + 02h 19' 26''
126  FRANS MAASSEN                  163        SUPERCONFEX-YOKO-OPEL              86h 47' 36''  + 02h 19' 43''
127  TWAN POELS                     166        SUPERCONFEX-YOKO-OPEL              86h 47' 55''  + 02h 20' 02''
128  MANUEL-JORGE DOMINGUEZ         55         B.H.                               86h 48' 52''  + 02h 20' 59''
129  PHILIPPE CASADO                124        Z-PEUGEOT                          86h 49' 24''  + 02h 21' 31''
130  JOHAN LAMMERTS                 26         TOSHIBA                            86h 51' 10''  + 02h 23' 17''
131  RENÉ MARTENS                   205        A.D.R. - I.O.C.                    86h 52' 45''  + 02h 24' 52''
132  GERRIT SOLLEVELD               167        SUPERCONFEX-YOKO-OPEL              86h 54' 49''  + 02h 26' 56''
133  MICHEL VERMOTE                 159        RMO-LIBERIA-MAVIC                  86h 54' 53''  + 02h 27' 00''
134  JUAN MARTINEZ-OLIVER           187        KELME                              86h 55' 37''  + 02h 27' 44''
