Tour de France 2016

Number of stages 21
Distance (km) 3 525
Average speed 39.571

All about year 2016

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.              Team                  Times           Gap       B P
102  LUKA PIBERNIK                  158        LAMPRE - MERIDA               92h 43' 05''  + 03h 38' 17''
103  VASILI KIRYIENKA               3          TEAM SKY                      92h 43' 29''  + 03h 38' 41''
104  SEP VANMARCKE                  57         TEAM LOTTO NL - JUMBO         92h 44' 50''  + 03h 40' 02''
105  FLORIAN VACHON                 219        FORTUNEO - VITAL CONCEPT      92h 44' 57''  + 03h 40' 09''
106  NICOLAS EDET                   194        COFIDIS, SOLUTIONS CREDITS    92h 47' 30''  + 03h 42' 42''
107  ANTOINE DUCHESNE               173        DIRECT ENERGIE                92h 49' 42''  + 03h 44' 54''
108  IMANOL ERVITI                  14         MOVISTAR TEAM                 92h 51' 30''  + 03h 46' 42''
109  EDVALD BOASSON HAGEN           103        TEAM DIMENSION DATA           92h 52' 17''  + 03h 47' 29''
110  MICHAEL MATTHEWS               207        ORICA-BIKEEXCHANGE            92h 52' 28''  + 03h 47' 40''
111  TIMO ROOSEN                    56         TEAM LOTTO NL - JUMBO         92h 55' 31''  + 03h 50' 43''
112  LUKE DURBRIDGE                 203        ORICA-BIKEEXCHANGE            92h 56' 43''  + 03h 51' 55''
113  BRYAN COQUARD                  171        DIRECT ENERGIE                92h 56' 45''  + 03h 51' 57''
114  JULIEN VERMOTE                 189        ETIXX-QUICK STEP              92h 57' 38''  + 03h 52' 50''
115  REINARDT JANSE VAN RENSBURG    106        TEAM DIMENSION DATA           93h 01' 18''  + 03h 56' 30''
116  YUKIYA ARASHIRO                152        LAMPRE - MERIDA               93h 01' 54''  + 03h 57' 06''
117  BRENT BOOKWALTER               92         BMC RACING TEAM               93h 02' 37''  + 03h 57' 49''
118  PETR VAKOC                     188        ETIXX-QUICK STEP              93h 02' 46''  + 03h 57' 58''
119  CHRISTOPHER JUUL-JENSEN        206        ORICA-BIKEEXCHANGE            93h 02' 58''  + 03h 58' 10''
120  MARKEL IRIZAR ARRANBURU        63         TREK - SEGAFREDO              93h 03' 05''  + 03h 58' 17''
121  JEROME COUSIN                  193        COFIDIS, SOLUTIONS CREDITS    93h 03' 24''  + 03h 58' 36''
122  ROY CURVERS                    112        TEAM GIANT-ALPECIN            93h 08' 04''  + 04h 03' 16''
123  GREGORY RAST                   64         TREK - SEGAFREDO              93h 08' 32''  + 04h 03' 44''
124  LAWSON CRADDOCK                83         CANNONDALE DRAPAC TEAM        93h 08' 32''  + 04h 03' 44''
125  NATNAEL BERHANE                102        TEAM DIMENSION DATA           93h 09' 15''  + 04h 04' 27''
126  JURGEN ROELANDTS               168        LOTTO SOUDAL                  93h 10' 10''  + 04h 05' 22''
127  WILLIAM BONNET                 122        FDJ                           93h 11' 06''  + 04h 06' 18''
128  CESARE BENEDETTI               134        BORA-ARGON 18                 93h 11' 11''  + 04h 06' 23''
129  ANGEL VICIOSO                  148        TEAM KATUSHA                  93h 12' 55''  + 04h 08' 07''
130  SAMUEL DUMOULIN                44         AG2R LA MONDIALE              93h 12' 56''  + 04h 08' 08''
131  ALEX HOWES                     84         CANNONDALE DRAPAC TEAM        93h 13' 10''  + 04h 08' 22''
132  MICHAEL ALBASINI               202        ORICA-BIKEEXCHANGE            93h 13' 52''  + 04h 09' 04''
133  ANDRÉ GREIPEL                  161        LOTTO SOUDAL                  93h 13' 55''  + 04h 09' 07''
134  RAMUNAS NAVARDAUSKAS           87         CANNONDALE DRAPAC TEAM        93h 14' 28''  + 04h 09' 40''
135  MATHEW HAYMAN                  204        ORICA-BIKEEXCHANGE            93h 15' 21''  + 04h 10' 33''
136  MATTEO BONO                    153        LAMPRE - MERIDA               93h 17' 41''  + 04h 12' 53''
137  CYRIL LEMOINE                  197        COFIDIS, SOLUTIONS CREDITS    93h 18' 37''  + 04h 13' 49''
138  MAARTEN WYNANTS                59         TEAM LOTTO NL - JUMBO         93h 21' 41''  + 04h 16' 53''
139  ILJO KEISSE                    183        ETIXX-QUICK STEP              93h 21' 45''  + 04h 16' 57''
140  STEPHEN CUMMINGS               104        TEAM DIMENSION DATA           93h 21' 51''  + 04h 17' 03''
141  SONDRE HOLST ENGER             75         IAM CYCLING                   93h 22' 20''  + 04h 17' 32''
142  GEOFFREY SOUPE                 199        COFIDIS, SOLUTIONS CREDITS    93h 23' 03''  + 04h 18' 15''
143  RAMON SINKELDAM                117        TEAM GIANT-ALPECIN            93h 26' 29''  + 04h 21' 41''
144  MAXIMILIANO ARIEL RICHEZE      186        ETIXX-QUICK STEP              93h 26' 50''  + 04h 22' 02''
145  MATTEO TOSATTO                 38         TINKOFF                       93h 26' 53''  + 04h 22' 05''
146  ARMINDO FONSECA                215        FORTUNEO - VITAL CONCEPT      93h 27' 49''  + 04h 23' 01''
147  ALEXIS GOUGEARD                47         AG2R LA MONDIALE              93h 28' 30''  + 04h 23' 42''
148  JOHN DEGENKOLB                 113        TEAM GIANT-ALPECIN            93h 29' 12''  + 04h 24' 24''
149  ALEXANDER KRISTOFF             144        TEAM KATUSHA                  93h 29' 12''  + 04h 24' 24''
150  FABIO SABATINI                 187        ETIXX-QUICK STEP              93h 31' 27''  + 04h 26' 39''
151  LUKE ROWE                      7          TEAM SKY                      93h 32' 37''  + 04h 27' 49''
152  KRISTIJAN KOREN                85         CANNONDALE DRAPAC TEAM        93h 32' 49''  + 04h 28' 01''
153  ALBERT TIMMER                  119        TEAM GIANT-ALPECIN            93h 32' 59''  + 04h 28' 11''
154  ANDREAS SCHILLINGER            138        BORA-ARGON 18                 93h 33' 21''  + 04h 28' 33''
155  GREGORY HENDERSON              167        LOTTO SOUDAL                  93h 34' 10''  + 04h 29' 22''
156  OSCAR GATTO                    34         TINKOFF                       93h 34' 26''  + 04h 29' 38''
157  CHRISTOPHE LAPORTE             196        COFIDIS, SOLUTIONS CREDITS    93h 34' 35''  + 04h 29' 47''
158  YOHANN GENE                    174        DIRECT ENERGIE                93h 34' 50''  + 04h 30' 02''
159  MACIEJ BODNAR                  33         TINKOFF                       93h 35' 18''  + 04h 30' 30''
160  DYLAN GROENEWEGEN              53         TEAM LOTTO NL - JUMBO         93h 35' 22''  + 04h 30' 34''
161  IAN STANNARD                   8          TEAM SKY                      93h 36' 22''  + 04h 31' 34''
