Tour de France 1989

Number of stages 21
Distance (km) 3 285
Average speed 37.487

All about year 1989

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.                Team                    Times           Gap       B P
77   JEAN-PHILIPPE VANDENBRANDE    219        TVM                               89h 28' 59''  + 01h 50' 24''
78   JOKIN MUJIKA                  116        PATERNINA-MARCOS-EQUIZABAL        89h 29' 31''  + 01h 50' 56''
79   CHRISTIAN CHAUBET             154        FAGOR                             89h 30' 53''  + 01h 52' 18''
80   ALFRED ACHERMANN              192        DOMEX-WEINMANN-EDDY MERCKX        89h 31' 37''  + 01h 53' 02''
81   CLAUDIO CHIAPPUCCI            124        CARRERA JEANS-VAGABOND            89h 31' 39''  + 01h 53' 04''
82   BERNARD RICHARD               57         CAFÉ DE COLOMBIA                  89h 31' 49''  + 01h 53' 14''
83   STEPHEN HODGE                 114        PATERNINA-MARCOS-EQUIZABAL        89h 32' 10''  + 01h 53' 35''
84   ACACIO DA SILVA               125        CARRERA JEANS-VAGABOND            89h 32' 51''  + 01h 54' 16''
85   PER PEDERSEN                  136        RMO- MAVIC-LIBERIA                89h 33' 17''  + 01h 54' 42''
86   JEFF PIERCE                   106        SEVEN ELEVEN-AMERICAN AIRLINES    89h 33' 33''  + 01h 54' 58''
87   MARC VAN ORSOUW               19         PDM                               89h 34' 23''  + 01h 55' 48''
88   JESPER WORRE                  59         CAFÉ DE COLOMBIA                  89h 35' 58''  + 01h 57' 23''
89   FRANÇOIS LEMARCHAND           65         Z-PEUGEOT                         89h 37' 25''  + 01h 58' 50''
90   PHILIPPE LELEU                184        TOSHIBA                           89h 39' 21''  + 02h 00' 46''
91   RENÉ MARTENS                  145        ADR-AGRIGEL-BOTTECCHIA            89h 39' 55''  + 02h 01' 20''
92   MELCHOR MAURI                 6          REYNOLDS-BANESTO                  89h 39' 57''  + 02h 01' 22''
93   PHILIPPE CASADO               62         Z-PEUGEOT                         89h 40' 18''  + 02h 01' 43''
94   CAMILLO PASSERA               174        CHATEAU D'AX                      89h 41' 45''  + 02h 03' 10''
95   BJARNE RIIS                   47         SUPER U                           89h 42' 12''  + 02h 03' 37''
96   ANDRÉAS KAPPES                183        TOSHIBA                           89h 42' 31''  + 02h 03' 56''
97   VINCENT BARTEAU               42         SUPER U                           89h 45' 53''  + 02h 07' 18''
98   RIK VAN SLIJCKE               169        HISTOR-SIGMA-FINA                 89h 46' 04''  + 02h 07' 29''
99   PATRICK TOLHOEK               208        SUPERCONFEX-YOKO-OPEL             89h 46' 41''  + 02h 08' 06''
100  THOMAS WEGMULLER              199        DOMEX-WEINMANN-EDDY MERCKX        89h 48' 33''  + 02h 09' 58''
