Tour de France 1995

Number of stages 20
Distance (km) 3 635
Average speed 39.193

All about year 1995

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.            Team                Times           Gap        B P
1    MIGUEL INDURAIN               1          BANESTO                   92h 44' 59''
60   NEIL STEPHENS                 68         ONCE                      95h 01' 00''  + 02h 16' 01''
61   MIGUEL ARROYO                 181        CHAZAL-MBK-KONIG          95h 04' 05''  + 02h 19' 06''
62   ARMAND DE LAS CUEVAS          141        CASTORAMA                 95h 04' 22''  + 02h 19' 23''
63   GILLES BOUVARD                184        CHAZAL-MBK-KONIG          95h 09' 17''  + 02h 24' 18''
64   STEPHEN HODGE                 56         FESTINA WATCHES           95h 13' 16''  + 02h 28' 17''
65   ALBERTO VOLPI                 19         GEWISS-BALLAN             95h 13' 42''  + 02h 28' 43''
66   JENS HEPPNER                  203        TELECOM-ZG-SELLE ITALIA   95h 15' 46''  + 02h 30' 47''
67   ROLF JAERMANN                 155        MG-TECHNOGYM              95h 17' 13''  + 02h 32' 14''
68   FABIAN JEKER                  57         FESTINA WATCHES           95h 23' 20''  + 02h 38' 21''
69   JOSÉ-RAMON URIARTE            9          BANESTO                   95h 23' 21''  + 02h 38' 22''
70   ERIK DEKKER                   163        NOVELL                    95h 23' 27''  + 02h 38' 28''
71   ANDREI TCHMIL                 131        LOTTO-ISOGLASS            95h 24' 01''  + 02h 39' 02''
72   MASSIMO DONATI                172        MERCATONE UNO-SAECO       95h 25' 03''  + 02h 40' 04''
73   JOHAN MUSEEUW                 47         MAPEI-GB                  95h 26' 53''  + 02h 41' 54''
74   SERGUEI OUTSCHAKOV            97         TEAM POLTI                95h 27' 06''  + 02h 42' 07''
75   ARTURAS KASPUTIS              187        CHAZAL-MBK-KONIG          95h 30' 49''  + 02h 45' 50''
76   JIM VAN DE LAER               128        TVM-POLIS DIRECT          95h 30' 51''  + 02h 45' 52''
77   FRANCESCO FRATTINI            16         GEWISS-BALLAN             95h 31' 10''  + 02h 46' 11''
78   MARINO ALONSO                 2          BANESTO                   95h 32' 24''  + 02h 47' 25''
79   DARIO BOTTARO                 13         GEWISS-BALLAN             95h 32' 25''  + 02h 47' 26''
81   DAVIDE PERONA                 76         LAMPRE-PANARIA            95h 36' 33''  + 02h 51' 34''
82   FRANKIE ANDREU                112        MOTOROLA                  95h 37' 14''  + 02h 52' 15''
83   ALESSIO GALETTI               74         LAMPRE-PANARIA            95h 37' 21''  + 02h 52' 22''
84   MARCELLO SIBONI               26         CARRERA-TASSONI           95h 38' 15''  + 02h 53' 16''
85   MARCO MILESI                  196        BRESCIALAT                95h 39' 09''  + 02h 54' 10''
86   FLAVIO VANZELLA               158        MG-TECHNOGYM              95h 39' 09''  + 02h 54' 10''
87   GIANCARLO PERINI              197        BRESCIALAT                95h 39' 17''  + 02h 54' 18''
88   WILFRIED PEETERS              48         MAPEI-GB                  95h 39' 37''  + 02h 54' 38''
89   GUIDO BONTEMPI                12         GEWISS-BALLAN             95h 40' 27''  + 02h 55' 28''
90   ERIK ZABEL                    206        TELECOM-ZG-SELLE ITALIA   95h 41' 47''  + 02h 56' 48''
91   ARVIS PIZIKS                  167        NOVELL                    95h 42' 54''  + 02h 57' 55''
92   FRANÇOIS LEMARCHAND           86         GAN                       95h 43' 25''  + 02h 58' 26''
93   JOSÉ ANGEL VIDAL              109        KELME-AVIANCA             95h 43' 37''  + 02h 58' 38''
94   THIERRY MARIE                 146        CASTORAMA                 95h 43' 53''  + 02h 58' 54''
95   AITOR GARMENDIA               5          BANESTO                   95h 44' 42''  + 02h 59' 43''
96   ALEXANDER GONTCHENKOV         75         LAMPRE-PANARIA            95h 45' 24''  + 03h 00' 25''
97   FRANS MAASSEN                 165        NOVELL                    95h 46' 42''  + 03h 01' 43''
98   MARIO SCIREA                  99         TEAM POLTI                95h 46' 54''  + 03h 01' 55''
99   MAURO BETTIN                  32         AKI-GIPIEMME              95h 48' 59''  + 03h 04' 00''
100  NICOLA LODA                   156        MG-TECHNOGYM              95h 49' 44''  + 03h 04' 45''
101  STEVE BAUER                   113        MOTOROLA                  95h 50' 32''  + 03h 05' 33''
102  ROSSANO BRASI                 94         TEAM POLTI                95h 51' 22''  + 03h 06' 23''
103  GIUSEPPE LOMBARDI             96         TEAM POLTI                95h 51' 39''  + 03h 06' 40''
104  GILLES TALMANT                148        CASTORAMA                 95h 52' 18''  + 03h 07' 19''
105  PETER FARAZIJN                134        LOTTO-ISOGLASS            95h 54' 31''  + 03h 09' 32''
106  STEFANO COLAGE                207        TELECOM-ZG-SELLE ITALIA   95h 55' 03''  + 03h 10' 04''
107  GIAN MATTEO FAGNINI           173        MERCATONE UNO-SAECO       95h 57' 10''  + 03h 12' 11''
108  GIOVANNI FIDANZA              95         TEAM POLTI                95h 57' 19''  + 03h 12' 20''
109  STEPHEN SWART                 118        MOTOROLA                  95h 59' 14''  + 03h 14' 15''
110  GIANLUCA GORINI               35         AKI-GIPIEMME              95h 59' 19''  + 03h 14' 20''
111  MARCO SERPELLINI              77         LAMPRE-PANARIA            96h 01' 04''  + 03h 16' 05''
112  DAVIDE CASSANI                153        MG-TECHNOGYM              96h 01' 50''  + 03h 16' 51''
113  BART VOSKAMP                  129        TVM-POLIS DIRECT          96h 02' 40''  + 03h 17' 41''
114  EROS POLI                     178        MERCATONE UNO-SAECO       96h 06' 25''  + 03h 21' 26''
115  BRUNO CORNILLET               185        CHAZAL-MBK-KONIG          96h 21' 25''  + 03h 36' 26''

Next rankings
