Tour de France 2013

Number of stages 21
Distance (km) 3 404
Average speed 40.542

All about year 2013

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
90    KANSTANTSIN SIUTSOU                 7          SKY PROCYCLING               86h 41' 23''  + 02h 44' 43''
91    BRENT BOOKWALTER                    32         BMC RACING TEAM              86h 41' 45''  + 02h 45' 05''
92    MATTEO TOSATTO                      99         TEAM SAXO-TINKOFF            86h 44' 19''  + 02h 47' 39''
93    JUAN ANTONIO FLECHA GIANNONI        204        VACANSOLEIL-DCM              86h 44' 43''  + 02h 48' 03''
94    MORENO MOSER                        17         CANNONDALE                   86h 50' 07''  + 02h 53' 27''
95    ENRICO GASPAROTTO                   64         ASTANA PRO TEAM              86h 50' 16''  + 02h 53' 36''
96    THOMAS DE GENDT                     203        VACANSOLEIL-DCM              86h 50' 21''  + 02h 53' 41''
97    JONATHAN CASTROVIEJO                123        MOVISTAR TEAM                86h 50' 21''  + 02h 53' 41''
98    MARCUS BURGHARDT                    33         BMC RACING TEAM              86h 50' 41''  + 02h 54' 01''
99    YUKIYA ARASHIRO                     52         TEAM EUROPCAR                86h 51' 33''  + 02h 54' 53''
100   KRISTIJAN KOREN                     15         CANNONDALE                   86h 53' 43''  + 02h 57' 03''
101   JOHNNY HOOGERLAND                   205        VACANSOLEIL-DCM              86h 54' 39''  + 02h 57' 59''
102   REIN TAARAMÄE                       131        COFIDIS, SOLUTIONS CREDITS   86h 55' 49''  + 02h 59' 09''
103   MARKEL IRIZAR ARRANBURU             45         RADIOSHACK LEOPARD           86h 56' 19''  + 02h 59' 39''
104   BRICE FEILLU                        211        SOJASUN                      86h 56' 25''  + 02h 59' 45''
105   LARS BOOM                           161        BELKIN PRO CYCLING           86h 59' 32''  + 03h 02' 52''
106   TONY MARTIN                         154        OMEGA PHARMA-QUICK STEP      87h 02' 05''  + 03h 05' 25''
107   DANIELE BENNATI                     92         TEAM SAXO-TINKOFF            87h 02' 35''  + 03h 05' 55''
108   LARS BAK YTTING                     22         LOTTO-BELISOL                87h 03' 52''  + 03h 07' 12''
109   ALBERTO LOSADA ALGUACIL             105        KATUSHA TEAM                 87h 04' 06''  + 03h 07' 26''
110   PAVEL BRUTT                         102        KATUSHA TEAM                 87h 06' 27''  + 03h 09' 47''
111   ALAN MARANGONI                      16         CANNONDALE                   87h 06' 41''  + 03h 10' 01''
112   CYRIL LEMOINE                       215        SOJASUN                      87h 08' 18''  + 03h 11' 38''
113   DAVID MILLAR                        176        GARMIN - SHARP               87h 11' 05''  + 03h 14' 25''
114   MACIEJ BODNAR                       12         CANNONDALE                   87h 11' 55''  + 03h 15' 15''
115   EGOITZ GARCIA ECHEGUIBEL            134        COFIDIS, SOLUTIONS CREDITS   87h 13' 08''  + 03h 16' 28''
116   JEAN MARC MARINO                    216        SOJASUN                      87h 13' 10''  + 03h 16' 30''
117   FABIO SABATINI                      18         CANNONDALE                   87h 15' 20''  + 03h 18' 40''
118   IMANOL ERVITI                       125        MOVISTAR TEAM                87h 15' 52''  + 03h 19' 12''
119   GATIS SMUKULIS                      107        KATUSHA TEAM                 87h 17' 46''  + 03h 21' 06''
120   RAMUNAS NAVARDAUSKAS                177        GARMIN - SHARP               87h 18' 09''  + 03h 21' 29''
121   JOHN DEGENKOLB                      191        TEAM ARGOS-SHIMANO           87h 20' 03''  + 03h 23' 23''
122   ROMAIN SICARD                       119        EUSKALTEL - EUSKADI          87h 20' 34''  + 03h 23' 54''
123   DAVID VEILLEUX                      58         TEAM EUROPCAR                87h 20' 56''  + 03h 24' 16''
124   SÉBASTIEN MINARD                    88         AG2R LA MONDIALE             87h 21' 08''  + 03h 24' 28''
125   BLEL KADRI                          87         AG2R LA MONDIALE             87h 23' 57''  + 03h 27' 17''
