Tour de France 2008

Number of stages 21
Distance (km) 3 559
Average speed 40.492

All about year 2008

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider              Rider No.               Team                   Times           Gap       B P
118  NICKI SORENSEN                  18         TEAM CSC SAXO BANK              91h 09' 53''  + 03h 17' 01''
119  FLORENT BRARD                   183        COFIDIS CREDIT PAR TELEPHONE    91h 10' 37''  + 03h 17' 45''
120  MARCUS BURGHARDT                42         TEAM COLUMBIA                   91h 13' 20''  + 03h 20' 28''
121  JÉRÉMY ROY                      168        FRANCAISE DES JEUX              91h 14' 24''  + 03h 21' 32''
122  ROBBIE MC EWEN                  6          SILENCE - LOTTO                 91h 15' 28''  + 03h 22' 36''
123  RALF GRABSCH                    152        TEAM MILRAM                     91h 16' 09''  + 03h 23' 17''
124  LEIF HOSTE                      5          SILENCE - LOTTO                 91h 16' 45''  + 03h 23' 53''
125  STEVEN DE JONGH                 94         QUICK STEP                      91h 17' 00''  + 03h 24' 08''
126  HEINRICH HAUSSLER               114        GEROLSTEINER                    91h 18' 26''  + 03h 25' 34''
127  DANIELE RIGHI                   77         LAMPRE                          91h 19' 08''  + 03h 26' 16''
128  ALIAKSANDR KUSCHYNSKI           66         LIQUIGAS                        91h 19' 39''  + 03h 26' 47''
129  BRETT DANIEL LANCASTER          154        TEAM MILRAM                     91h 20' 21''  + 03h 27' 29''
130  MANUEL QUINZIATO                68         LIQUIGAS                        91h 20' 55''  + 03h 28' 03''
131  SEBASTIAN LANGEVELD             134        RABOBANK                        91h 20' 59''  + 03h 28' 07''
132  ARNAUD GERARD                   164        FRANCAISE DES JEUX              91h 22' 52''  + 03h 30' 00''
133  WILLIAM FRISCHKORN              194        GARMIN CHIPOTLE                 91h 23' 39''  + 03h 30' 47''
134  MARTIJN MAASKANT                197        GARMIN CHIPOTLE                 91h 24' 22''  + 03h 31' 30''
135  FREDDY BICHOT                   122        AGRITUBEL                       91h 25' 17''  + 03h 32' 25''
136  NIKI TERPSTRA                   157        TEAM MILRAM                     91h 26' 32''  + 03h 33' 40''
137  CHRISTOPHE RIBLON               108        AG2R-LA MONDIALE                91h 28' 16''  + 03h 35' 24''
138  JIMMY ENGOULVENT                84         CREDIT AGRICOLE                 91h 28' 22''  + 03h 35' 30''
139  STÉPHANE AUGE                   182        COFIDIS CREDIT PAR TELEPHONE    91h 28' 44''  + 03h 35' 52''
140  MASSIMILIANO MORI               76         LAMPRE                          91h 30' 14''  + 03h 37' 22''
141  VICENTE GARCIA ACOSTA           34         CAISSE D'EPARGNE                91h 32' 40''  + 03h 39' 48''
142  MATTHIEU SPRICK                 146        BOUYGUES TELECOM                91h 41' 10''  + 03h 48' 18''
143  SVEN KRAUSS                     116        GEROLSTEINER                    91h 44' 47''  + 03h 51' 55''
144  BERNHARD EISEL                  45         TEAM COLUMBIA                   91h 47' 44''  + 03h 54' 52''
145  WIM VANSEVENANT                 9          SILENCE - LOTTO                 91h 48' 37''  + 03h 55' 45''

Next rankings
