Tour de France 1965

Number of stages 22
Distance (km) 4 188
Average speed 35.886

All about year 1965

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                 Team                    Times            Gap       B P
88    FRANÇOIS LE HER           18         MARGNAT-PALOMA-INURI-DUNLOP        118h 29' 54''  + 01h 47' 48''
89    LÉO VAN DONGEN            88         TELEVIZIER                         118h 30' 00''  + 01h 47' 54''
90    GIACOMO FORCONI           113        MOLTENI-IGNIS                      118h 30' 18''  + 01h 48' 12''
91    MARIO MINIERI             125        SALVARANI                          118h 34' 40''  + 01h 52' 34''
92    HUBERT FERRER             32         PELFORTH-SAUVAGE-LEJEUNE-WOLBER    118h 49' 53''  + 02h 07' 47''
93    ANDRÉ DARRIGADE           14         MARGNAT-PALOMA-INURI-DUNLOP        118h 53' 04''  + 02h 10' 58''
94    JEAN MILESI               20         MARGNAT-PALOMA-INURI-DUNLOP        119h 03' 44''  + 02h 21' 38''
95    RAUL REY                  99         FERRYS                             119h 04' 43''  + 02h 22' 37''
96    GEORGES GROUSSARD         35         PELFORTH-SAUVAGE-LEJEUNE-WOLBER    119h 18' 44''  + 02h 36' 38''

Next rankings
